Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,ORIGIN ENERGY LTD.,ORG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PROCTER & GAMBLE CO.,PG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NORTHERN STAR RESOURCES LTD.,NST AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,GUZMAN Y GOMEZ LTD.,GYG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,UNILEVER PLC,UNA NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,"INTUIT, INC.",INTU US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,VINCI SA,DG FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,COMPUTERSHARE LTD.,CPU AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"DELTA AIR LINES, INC.",DAL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SONIC HEALTHCARE LTD.,SHL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ASML HOLDING NV,ASML US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,AMADEUS IT GROUP SA,AMS SM,BB Ticker,Spain,,,
Balanced Growth,LISTED EQUITY,AMCOR PLC,AMC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,NOVARTIS AG,NOVN SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,HUB24 LTD.,HUB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"THERMO FISHER SCIENTIFIC, INC.",TMO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BNP PARIBAS SA,BNP FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,"WORKDAY, INC.",WDAY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CIGNA GROUP,CI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MERCADOLIBRE, INC.",MELI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COSTCO WHOLESALE CORP.,COST US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ELI LILLY & CO.,LLY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CHARTER COMMUNICATIONS, INC.",CHTR US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SAMSUNG ELECTRONICS CO. LTD.,005930 KS,BB Ticker,South Korea,,,
Balanced Growth,LISTED EQUITY,ING GROEP NV,INGA NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,"INTERCONTINENTAL EXCHANGE, INC.",ICE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BECTON DICKINSON & CO.,BDX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TECHNOLOGY ONE LTD.,TNE AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ZOETIS, INC.",ZTS US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,QANTAS AIRWAYS LTD.,QAN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,BLUESCOPE STEEL LTD.,BSL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SANTOS LTD.,STO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"S&P GLOBAL, INC.",SPGI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,HDFC BANK LTD.,HDB US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,UNILEVER PLC,ULVR LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,"BOOKING HOLDINGS, INC.",BKNG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"HOME DEPOT, INC.",HD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BANK OF AMERICA CORP.,BAC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,CIE FINANCIERE RICHEMONT SA,CFR SW,BB Ticker,Switzerland,,,
Balanced Growth,LISTED EQUITY,"WALMART, INC.",WMT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,HSBC HOLDINGS PLC,HSBA LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,WORLEY LTD.,WOR AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,AUCKLAND INTERNATIONAL AIRPORT LTD.,AIA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,MEITUAN,3690 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,"MSCI, INC.",MSCI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"SERVICENOW, INC.",NOW US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DANAHER CORP.,DHR US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,AIA GROUP LTD.,1299 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,NEWMONT CORP.,NEM AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,AENA SME SA,AENA SM,BB Ticker,Spain,,,
Balanced Growth,LISTED EQUITY,ACCENTURE PLC,ACN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"FISERV, INC.",FI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"INTUITIVE SURGICAL, INC.",ISRG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,JOHNSON & JOHNSON,JNJ US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ASX LTD.,ASX AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ATLASSIAN CORP.,TEAM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,PRO MEDICUS LTD.,PME AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ORICA LTD.,ORI AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"TRADE DESK, INC.",TTD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"SYNOPSYS, INC.",SNPS US,BB Ticker,United States,,,
