Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
HC Balanced - Class A Option,Listed Equity,MONDELEZ INTERNATIONAL INC,B8CKK03,SEDOL,United States,US,MDLZ,
HC Balanced - Class A Option,Listed Equity,MONDI PLC,BMWC6P4,SEDOL,United Kingdom,LN,MNDI,
HC Balanced - Class A Option,Listed Equity,MONGODB INC MDB,BF2FJ99,SEDOL,United States,US,MDB,
HC Balanced - Class A Option,Listed Equity,MONOLITHIC POWER SYSTEMS INC COM STK USD,B01Z7J1,SEDOL,United States,US,MPWR,
HC Balanced - Class A Option,Listed Equity,MONOTARO CO LTD MONOTARO CO,B1GHR88,SEDOL,Japan,JP,3064,
HC Balanced - Class A Option,Listed Equity,MONSTER BEVERAGE CORP MNST,BZ07BW4,SEDOL,United States,US,MNST,
HC Balanced - Class A Option,Listed Equity,MONTAUK RENEWABLES INC,BMDMWB1,SEDOL,South Africa,SJ,MKR,
HC Balanced - Class A Option,Listed Equity,MONTAUK RENEWABLES INC,BN6HHQ0,SEDOL,United States,US,MNTK,
HC Balanced - Class A Option,Listed Equity,MOODYS CORP COM,2252058,SEDOL,United States,US,MCO,
HC Balanced - Class A Option,Listed Equity,MORGAN STANLEY COM NEW,2262314,SEDOL,United States,US,MS,
HC Balanced - Class A Option,Listed Equity,MOSAIC CO COM USD0.01,B3NPHP6,SEDOL,United States,US,MOS,
HC Balanced - Class A Option,Listed Equity,MOTOR OIL (HELLAS) SA EUR0.3 (CR),5996234,SEDOL,Greece,GA,MOH,
HC Balanced - Class A Option,Listed Equity,MOTORCOMM ELECTRONIC TECHN-A,CNE100005ZK0,ISIN,China,,,688515.SS
HC Balanced - Class A Option,Listed Equity,MOTOROLA SOLUTIONS INC,B5BKPQ4,SEDOL,United States,US,MSI,
HC Balanced - Class A Option,Listed Equity,MOUNT GIBSON IRON LTD,6963743,SEDOL,Australia,AU,MGX,
HC Balanced - Class A Option,Listed Equity,MOWI ASA,B02L486,SEDOL,Belgium,NO,MOWI,
HC Balanced - Class A Option,Listed Equity,MP MATERIALS CORP,BN15Y35,SEDOL,United States,US,MP,
HC Balanced - Class A Option,Listed Equity,MS&AD INSURANCE GROUP HOLDIN,B2Q4CS1,SEDOL,Japan,JP,8725,
HC Balanced - Class A Option,Listed Equity,MSC INDUSTRIAL DIRECT CO-A CL A COM USD0,2567655,SEDOL,United States,US,MSM,
