Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,ENGIE SA,ENGI FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,CONOCOPHILLIPS,COP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,INFRATIL LTD.,IFT AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,UNILEVER PLC,ULVR LN,BB Ticker,United Kingdom,,,
Balanced Growth,LISTED EQUITY,RAMSAY HEALTH CARE LTD.,RHC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,CHEVRON CORP.,CVX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,VIVA ENERGY GROUP LTD.,VEA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RECRUIT HOLDINGS CO. LTD.,6098 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,"SALESFORCE, INC.",CRM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CITIGROUP, INC.",C US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COLGATE-PALMOLIVE CO.,CL US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CME GROUP, INC.",CME US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"BOOKING HOLDINGS, INC.",BKNG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"UBER TECHNOLOGIES, INC.",UBER US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BRISTOL-MYERS SQUIBB CO.,BMY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,COCHLEAR LTD.,COH AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SAP SE,SAP GR,BB Ticker,Germany,,,
Balanced Growth,LISTED EQUITY,ORORA LTD.,ORA AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TRANE TECHNOLOGIES PLC,TT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"AUTOMATIC DATA PROCESSING, INC.",ADP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TPG TELECOM LTD.,TPG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ICICI BANK LTD.,ICICIBC IN,BB Ticker,India,,,
Balanced Growth,LISTED EQUITY,AUB GROUP LTD.,AUB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,INTACT FINANCIAL CORP.,IFC CN,BB Ticker,Canada,,,
Balanced Growth,LISTED EQUITY,FINECOBANK BANCA FINECO SPA,FBK IM,BB Ticker,Italy,,,
Balanced Growth,LISTED EQUITY,AMPOL LTD.,ALD AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,ADYEN NV,ADYEN NA,BB Ticker,Netherlands,,,
Balanced Growth,LISTED EQUITY,NOVO NORDISK AS,NOVOB DC,BB Ticker,Denmark,,,
Balanced Growth,LISTED EQUITY,LOTTERY CORP. LTD.,TLC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"INTUITIVE SURGICAL, INC.",ISRG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DBS GROUP HOLDINGS LTD.,DBS SP,BB Ticker,Singapore,,,
Balanced Growth,LISTED EQUITY,ENDEAVOUR GROUP LTD.,EDV AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,PILBARA MINERALS LTD.,PLS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"MOTOROLA SOLUTIONS, INC.",MSI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",8306 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,"VERIZON COMMUNICATIONS, INC.",VZ US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,ILUKA RESOURCES LTD.,ILU AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,LYNAS RARE EARTHS LTD.,LYC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,GENERAL ELECTRIC CO.,GE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,HUB24 LTD.,HUB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,AURIZON HOLDINGS LTD.,AZJ AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"CONSTELLATION SOFTWARE, INC.",CSU CN,BB Ticker,Canada,,,
Balanced Growth,LISTED EQUITY,SCHNEIDER ELECTRIC SE,SU FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,"GOLDMAN SACHS GROUP, INC.",GS US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"S&P GLOBAL, INC.",SPGI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,HDFC BANK LTD.,HDFCB IN,BB Ticker,India,,,
Balanced Growth,LISTED EQUITY,EDWARDS LIFESCIENCES CORP.,EW US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,WELLS FARGO & CO.,WFC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,MEDTRONIC PLC,MDT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"KENVUE, INC.",KVUE US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"TJX COS., INC.",TJX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,METCASH LTD.,MTS AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,IBERDROLA SA,IBE SM,BB Ticker,Spain,,,
Balanced Growth,LISTED EQUITY,MEITUAN,3690 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,"ADVANCED MICRO DEVICES, INC.",AMD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,AMERICAN EXPRESS CO.,AXP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,REECE LTD.,REH AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"APPLIED MATERIALS, INC.",AMAT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NORTHERN TRUST CORP.,NTRS US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,INDUSTRIA DE DISENO TEXTIL SA,ITX SM,BB Ticker,Spain,,,
Balanced Growth,LISTED EQUITY,SONIC HEALTHCARE LTD.,SHL AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,RYMAN HEALTHCARE LTD.,RYM NZ,BB Ticker,New Zealand,,,
