Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,LISTED EQUITY,"AMGEN, INC.",AMGN US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,PINNACLE INVESTMENT MANAGEMENT GROUP LTD.,PNI AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SGH LTD.,SGH AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"ARISTA NETWORKS, INC.",ANET US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BRISTOL-MYERS SQUIBB CO.,BMY US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BENDIGO & ADELAIDE BANK LTD.,BEN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"THERMO FISHER SCIENTIFIC, INC.",TMO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"LIFE360, INC.",360 AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SIEMENS AG,SIE GR,BB Ticker,Germany,,,
Balanced Growth,LISTED EQUITY,"PEPSICO, INC.",PEP US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,TATA CONSULTANCY SERVICES LTD.,TCS IN,BB Ticker,India,,,
Balanced Growth,LISTED EQUITY,LAM RESEARCH CORP.,LRCX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DOMAIN HOLDINGS AUSTRALIA LTD.,DHG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,TPG TELECOM LTD.,TPG AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"CME GROUP, INC.",CME US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"AIRBNB, INC.",ABNB US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,WALT DISNEY CO.,DIS US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"CATERPILLAR, INC.",CAT US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"SK HYNIX, INC.",000660 KS,BB Ticker,South Korea,,,
Balanced Growth,LISTED EQUITY,L'OREAL SA,OR FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,MOODY'S CORP.,MCO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,WELLS FARGO & CO.,WFC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,NANOSONICS LTD.,NAN AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,"CHENIERE ENERGY, INC.",LNG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"INTUITIVE SURGICAL, INC.",ISRG US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,LENDLEASE CORP. LTD.,LLC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,IGO LTD.,IGO AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,HITACHI LTD.,6501 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,"GILEAD SCIENCES, INC.",GILD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,LYNAS RARE EARTHS LTD.,LYC AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,SAMSUNG ELECTRONICS CO. LTD.,005930 KS,BB Ticker,South Korea,,,
Balanced Growth,LISTED EQUITY,"CISCO SYSTEMS, INC.",CSCO US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"LOWE'S COS., INC.",LOW US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,RECRUIT HOLDINGS CO. LTD.,6098 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,TECHTRONIC INDUSTRIES CO. LTD.,669 HK,BB Ticker,Hong Kong,,,
Balanced Growth,LISTED EQUITY,JOHNSON CONTROLS INTERNATIONAL PLC,JCI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MERCADOLIBRE, INC.",MELI US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,BARRICK GOLD CORP.,GOLD US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",8306 JP,BB Ticker,Japan,,,
Balanced Growth,LISTED EQUITY,ARB CORP. LTD.,ARB AU,BB Ticker,Australia,,,
Balanced Growth,LISTED EQUITY,BOSTON SCIENTIFIC CORP.,BSX US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"TRAVELERS COS., INC.",TRV US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,"MARSH & MCLENNAN COS., INC.",MMC US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,SOCIETE GENERALE SA,GLE FP,BB Ticker,France,,,
Balanced Growth,LISTED EQUITY,"PALANTIR TECHNOLOGIES, INC.",PLTR US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,INTERNATIONAL BUSINESS MACHINES CORP.,IBM US,BB Ticker,United States,,,
Balanced Growth,LISTED EQUITY,DEUTSCHE TELEKOM AG,DTE GR,BB Ticker,Germany,,,
Balanced Growth,LISTED EQUITY,"HCA HEALTHCARE, INC.",HCA US,BB Ticker,United States,,,
