Option Name,Asset Class Name,Name/Kind of Investment Item,Stock ID,ID_Type,Listed Country,Exchange Code,Ticker,Yahoo Ticker
Balanced Growth,Listed Equity,Bayerische Motoren Werke AG,DE0005190003,ISIN,Germany,,,BMW.DE
Balanced Growth,Listed Equity,Bayerische Motoren Werke AG,DE0005190037,ISIN,Germany,,,BMW3.DE
Balanced Growth,Listed Equity,Beach Energy Ltd,AU000000BPT9,ISIN,Australia,,,BPT.AX
Balanced Growth,Listed Equity,Bechtle AG,DE0005158703,ISIN,Germany,,,BC8.DE
Balanced Growth,Listed Equity,Becton Dickinson & Co,US0758871091,ISIN,United States,,,BDX
Balanced Growth,Listed Equity,Bega Cheese Ltd,AU000000BGA8,ISIN,Australia,,,BGA.AX
Balanced Growth,Listed Equity,BeiGene Ltd,US07725L1026,ISIN,United States,,,ONC
Balanced Growth,Listed Equity,Beiersdorf AG,DE0005200000,ISIN,Germany,,,BEI.DE
Balanced Growth,Listed Equity,Beijer Ref AB,SE0015949748,ISIN,Sweden,,,BEIJ-B.ST
Balanced Growth,Listed Equity,Bellevue Gold Ltd,AU0000019374,ISIN,Australia,,,BGL.AX
Balanced Growth,Listed Equity,Bendigo & Adelaide Bank Ltd,AU000000BEN6,ISIN,Australia,,,BEN.AX
Balanced Growth,Listed Equity,Bentley Systems Inc,US08265T2087,ISIN,United States,,,BSY
Balanced Growth,Listed Equity,Berkeley Group Holdings PLC,GB00BP0RGD03,ISIN,United Kingdom,,,BKG.L
Balanced Growth,Listed Equity,Berkshire Hathaway Inc,US0846707026,ISIN,United States,,,BRK-B
Balanced Growth,Listed Equity,Best Buy Co Inc,US0865161014,ISIN,United States,,,BBY
Balanced Growth,Listed Equity,Betmakers Technology Group Ltd,AU0000050585,ISIN,Australia,,,BET.AX
Balanced Growth,Listed Equity,Bharti Airtel Ltd,INE397D01024,ISIN,India,,,BHARTIARTL.BO
Balanced Growth,Listed Equity,Bilibili Inc,US0900401060,ISIN,United States,,,BILI
Balanced Growth,Listed Equity,Bio-Rad Laboratories Inc,US0905722072,ISIN,United States,,,BIO
Balanced Growth,Listed Equity,Bio-Techne Corp,US09073M1045,ISIN,United States,,,TECH
Balanced Growth,Listed Equity,BioMarin Pharmaceutical Inc,US09061G1013,ISIN,United States,,,BMRN
Balanced Growth,Listed Equity,BioMerieux,FR0013280286,ISIN,France,,,BIM.PA
Balanced Growth,Listed Equity,BioNTech SE,US09075V1026,ISIN,US,,,
Balanced Growth,Listed Equity,Biogen Inc,US09062X1037,ISIN,United States,,,BIIB
Balanced Growth,Listed Equity,Blackrock Inc,US09290D1019,ISIN,United States,,,BLK
Balanced Growth,Listed Equity,Blackstone Inc,US09260D1072,ISIN,United States,,,BX
Balanced Growth,Listed Equity,Block Inc,US8522341036,ISIN,United States,,,XYZ
Balanced Growth,Listed Equity,Block Inc,AU0000187353,ISIN,AU,,,
Balanced Growth,Listed Equity,Blue Bird Corp,US0953061068,ISIN,United States,,,BLBD
Balanced Growth,Listed Equity,BlueScope Steel Ltd,AU000000BSL0,ISIN,Australia,,,BSL.AX
Balanced Growth,Listed Equity,Boeing Co/The,US0970231058,ISIN,United States,,,BA
Balanced Growth,Listed Equity,Boliden AB,SE0020050417,ISIN,Sweden,,,BOL.ST
Balanced Growth,Listed Equity,Bollore SE,SE0020050417,ISIN,Sweden,,,BOL.ST
Balanced Growth,Listed Equity,Booking Holdings Inc,US09857L1089,ISIN,United States,,,BKNG
Balanced Growth,Listed Equity,Booz Allen Hamilton Holding Corp,US0995021062,ISIN,United States,,,BAH
Balanced Growth,Listed Equity,Boss Energy Ltd,AU000000BOE4,ISIN,Australia,,,BOE.AX
Balanced Growth,Listed Equity,Boston Scientific Corp,US1011371077,ISIN,United States,,,BSX
Balanced Growth,Listed Equity,Bouygues SA,FR0000120503,ISIN,France,,,EN.PA
Balanced Growth,Listed Equity,BrainChip Holdings Ltd,AU000000BRN8,ISIN,Australia,,,BRN.AX
Balanced Growth,Listed Equity,Brambles Ltd,AU000000BXB1,ISIN,Australia,,,BXB.AX
Balanced Growth,Listed Equity,Brenntag SE,DE000A1DAHH0,ISIN,Germany,,,BNR.DE
Balanced Growth,Listed Equity,Breville Group Ltd,AU000000BRG2,ISIN,Australia,,,BRG.AX
Balanced Growth,Listed Equity,Bridgestone Corp,JP3830800003,ISIN,Japan,,,5108.T
Balanced Growth,Listed Equity,Bristol-Myers Squibb Co,US1101221083,ISIN,United States,,,BMY
Balanced Growth,Listed Equity,Broadcom Inc,US11135F1012,ISIN,United States,,,AVGO
Balanced Growth,Listed Equity,Broadridge Financial Solutions Inc,US11133T1034,ISIN,United States,,,BR
Balanced Growth,Listed Equity,Brookfield Asset Management Ltd,CA1130041058,ISIN,Canada,,,BAM.TO
Balanced Growth,Listed Equity,Brookfield Corp,CA11271J1075,ISIN,Canada,,,BN.TO
Balanced Growth,Listed Equity,Brookfield Renewable Corp,CA11285B1085,ISIN,United States,,,BEPC
Balanced Growth,Listed Equity,Brother Industries Ltd,JP3830000000,ISIN,Japan,,,6448.T
Balanced Growth,Listed Equity,Brown & Brown Inc,US1152361010,ISIN,United States,,,BRO
Balanced Growth,Listed Equity,Brown-Forman Corp,US1156372096,ISIN,United States,,,BF-B
Balanced Growth,Listed Equity,Builders FirstSource Inc,US12008R1077,ISIN,United States,,,BLDR
Balanced Growth,Listed Equity,Bunge Global SA,CH1300646267,ISIN,United States,,,BG
Balanced Growth,Listed Equity,Bunzl PLC,GB00B0744B38,ISIN,United Kingdom,,,BNZL.L
Balanced Growth,Listed Equity,Bureau Veritas SA,FR0006174348,ISIN,France,,,BVI.PA
Balanced Growth,Listed Equity,Burlington Stores Inc,US1220171060,ISIN,United States,,,BURL
