Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Listed Equity,1,CPFL Energia SA,,CPFE3 BZ,BB Ticker,Brazil,Utilities,Utilities - Regulated Electric,34939,,,288552,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Credicorp Ltd,,BAP US,BB Ticker,United States,Financial Services,Banks - Regional,16795,,,4972713,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Credit Agricole SA,,ACA FP,BB Ticker,France,Industrials,Engineering & Construction,76670,,,1704128,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Credit Agricole SA,,XCA TH,BB Ticker,Germany,,,43130,,,961883,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Credit Corp Group Ltd,,CCP AU,BB Ticker,Australia,Communication Services,Entertainment,443409,,,7090102,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,CRH PLC,,CRH LN,BB Ticker,United Kingdom,Basic Materials,Building Materials,38775,,,5815085,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,CRH PLC,,CRH US,BB Ticker,United States,Basic Materials,Building Materials,31307,,,4678300,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Criteo SA,,CRTO US,BB Ticker,United States,Communication Services,Advertising Agencies,53681,,,3429872,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Croda International PLC,,CRDA LN,BB Ticker,United Kingdom,Basic Materials,Specialty Chemicals,55718,,,3815077,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Crowdstrike Holdings Inc,,CRWD US,BB Ticker,United States,Technology,Software - Infrastructure,9475,,,5236080,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Crown Holdings Inc,,CCK US,BB Ticker,United States,Consumer Cyclical,Packaging & Containers,6180,,,825343,0
31/12/2024,Care Super,Balanced,Listed Equity,1,CRRC Corp Ltd,,1766 HK,BB Ticker,Hong Kong,Real Estate,Real Estate Services,239443,,,249423,0
31/12/2024,Care Super,Balanced,Listed Equity,1,CSL Ltd,,CSL AU,BB Ticker,Australia,Industrials,Building Products & Equipment,1578777,,,444552067,0.0105
31/12/2024,Care Super,Balanced,Listed Equity,1,CSPC Pharmaceutical Group Ltd,,1093 HK,BB Ticker,Hong Kong,Healthcare,Drug Manufacturers - General,498838,,,495776,0
31/12/2024,Care Super,Balanced,Listed Equity,1,CSX Corp,,CSX US,BB Ticker,United States,Industrials,Railroads,49881,,,2599793,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,CTBC Financial Holding Co Ltd,,2891 TT,SEDOL,Taiwan,,,434512,,,836978,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Cummins Inc,,CMI US,BB Ticker,United States,Industrials,Specialty Industrial Machinery,18695,,,10525674,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Cummins India Ltd,,KKC IN,BB Ticker,India,Consumer Cyclical,Apparel Manufacturing,18788,,,1160436,0
31/12/2024,Care Super,Balanced,Listed Equity,1,CVS Health Corp,,CVS US,BB Ticker,United States,Healthcare,Healthcare Plans,265205,,,19228080,0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,CyberArk Software Ltd,,CYBR US,BB Ticker,United States,Technology,Software - Infrastructure,13111,,,7054553,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Dai Nippon Printing Co Ltd,,7912 JP,BB Ticker,Japan,Industrials,Conglomerates,2072,,,47267,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Dai-ichi Life Holdings Inc,,8750 JP,BB Ticker,Japan,Financial Services,Insurance - Life,104618,,,4553238,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Daiichi Sankyo Co Ltd,,4568 JP,BB Ticker,Japan,Industrials,Specialty Industrial Machinery,21324,,,953710,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Daimler Truck Holding AG,,DTG GR,BB Ticker,Germany,,,384697,,,23708867,0.0006
31/12/2024,Care Super,Balanced,Listed Equity,1,Daiwa Securities Group Inc,,8601 JP,BB Ticker,Japan,Industrials,Engineering & Construction,227249,,,2447514,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Danaher Corp,,DHR US,BB Ticker,United States,Healthcare,Diagnostics & Research,99072,,,36730865,0.0009
31/12/2024,Care Super,Balanced,Listed Equity,1,Danone SA,,BN FP,BB Ticker,France,Financial Services,Asset Management,36942,,,4023412,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Danske Bank A/S,,DANSKE DC,BB Ticker,Denmark,Financial Services,Banks - Regional,18344,,,838026,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Daqin Railway Co Ltd,,601006 C1,BB Ticker,China,Industrials,Railroads,16397,,,24599,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Darden Restaurants Inc,,DRI US,BB Ticker,United States,Consumer Cyclical,Restaurants,5241,,,1580266,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Dassault Aviation SA,,AM FP,BB Ticker,France,Energy,Oil & Gas Midstream,2621,,,864497,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Data#3 Ltd,,DTL AU,BB Ticker,Australia,,,867060,,,5540514,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Datadog Inc,,DDOG US,BB Ticker,United States,Technology,Software - Application,82743,,,19095683,0.0005
31/12/2024,Care Super,Balanced,Listed Equity,1,DaVita Inc,,DVA US,BB Ticker,United States,Healthcare,Medical Care Facilities,426,,,102826,0
31/12/2024,Care Super,Balanced,Listed Equity,1,DB Insurance Co Ltd,,005830 KS,BB Ticker,South Korea,Financial Services,Insurance - Property & Casualty,5804,,,654639,0
31/12/2024,Care Super,Balanced,Listed Equity,1,DBS Group Holdings Ltd,,DBS SP,BB Ticker,Singapore,Financial Services,Banks - Regional,264511,,,13691457,0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,De Grey Mining Ltd,,DEG AU,BB Ticker,Australia,Financial Services,Asset Management,2960698,,,5225632,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Deckers Outdoor Corp,,DECK US,BB Ticker,United States,Consumer Cyclical,Footwear & Accessories,18966,,,6221222,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Deere & Co,,DE US,BB Ticker,United States,Industrials,Farm & Heavy Construction Machinery,4182,,,2861601,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Dell Technologies Inc,,DELL US,BB Ticker,United States,Technology,Computer Hardware,11142,,,2073869,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Delta Air Lines Inc,,DAL US,BB Ticker,United States,Industrials,Airlines,52597,,,5139543,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Delta Electronics Inc,,2308 TT,BB Ticker,Taiwan,Technology,Electronic Components,104453,,,2215276,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Descartes Systems Group Inc/The,,DSG CN,BB Ticker,Canada,Technology,Software - Application,2033,,,373070,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Deterra Royalties Ltd,,DRR AU,BB Ticker,Australia,Healthcare,Drug Manufacturers - Specialty & Generic,2898799,,,10783532,0.0003
31/12/2024,Care Super,Balanced,Listed Equity,1,Deutsche Boerse AG,,DB1 GR,BB Ticker,Germany,Financial Services,Financial Data & Stock Exchanges,10277,,,3822460,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Deutsche Lufthansa AG,,LHA GR,BB Ticker,Germany,Industrials,Airlines,76151,,,786574,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Deutsche Post AG,,DHL GR,BB Ticker,Germany,Industrials,Integrated Freight & Logistics,19553,,,1111212,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Deutsche Telekom AG,,DTE GR,BB Ticker,Germany,Utilities,Utilities - Regulated Electric,131865,,,6371356,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Develop Global Ltd,,DVP AU,BB Ticker,Australia,,,563992,,,1319742,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Devon Energy Corp,,DVN US,BB Ticker,United States,Energy,Oil & Gas E&P,8884,,,469655,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Dexco SA,,DXCO3 BZ,BB Ticker,Brazil,Basic Materials,Lumber & Wood Production,733167,,,1142394,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Dexcom Inc,,DXCM US,BB Ticker,United States,Healthcare,Medical Devices,134804,,,16932458,0.0004
31/12/2024,Care Super,Balanced,Listed Equity,1,Dexerials Corp,,4980 JP,BB Ticker,Japan,Technology,Communication Equipment,24018,,,610046,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Diageo PLC,,DGE LN,BB Ticker,United Kingdom,Consumer Defensive,Beverages - Wineries & Distilleries,682964,,,35055112,0.0008
31/12/2024,Care Super,Balanced,Listed Equity,1,Diamondback Energy Inc,,FANG US,BB Ticker,United States,Energy,Oil & Gas E&P,7252,,,1918818,0
31/12/2024,Care Super,Balanced,Listed Equity,1,DiaSorin SpA,,DIA IM,BB Ticker,Italy,,,13436,,,2237276,0.0001
31/12/2024,Care Super,Balanced,Listed Equity,1,Dicker Data Ltd,,DDR AU,BB Ticker,Australia,Technology,Electronics & Computer Distribution,48379,,,407348,0
31/12/2024,Care Super,Balanced,Listed Equity,1,Dick's Sporting Goods Inc,,DKS US,BB Ticker,United States,Consumer Cyclical,Specialty Retail,3127,,,1155743,0
31/12/2024,Care Super,Balanced,Listed Equity,1,DiDi Global Inc,,DIDIY US,BB Ticker,United States,Technology,Software - Application,1005016,,,7418110,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Diploma PLC,,DPLM LN,BB Ticker,United Kingdom,Industrials,Industrial Distribution,81706,,,7024128,0.0002
31/12/2024,Care Super,Balanced,Listed Equity,1,Disco Corp,,6146 JP,BB Ticker,Japan,Technology,Semiconductor Equipment & Materials,770,,,338050,0
