Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
12/31/2024,NGS,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,AUD,,,,,,,,-,105326287,0.0101
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,,,,,,,-,45796134,0.0044
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,,,,,,,-,44732444,0.0043
12/31/2024,NGS,Balanced Growth,CASH,1,UBS AG,USD,,,,,,,,-,38266542,0.0037
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,,,,,,,-,13682413,0.0013
12/31/2024,NGS,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,,,,,,,-,7020216,0.0007
12/31/2024,NGS,Balanced Growth,CASH,1,UBS AG,AUD,,,,,,,,-,6152880,0.0006
12/31/2024,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,AUD,,,,,,,,-,5827238,0.0006
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,,,,,,,-,1772395,0.0002
12/31/2024,NGS,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,USD,,,,,,,,-,1037977,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RUB,,,,,,,,-,793015,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,,,,,,,-,776292,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",USD,,,,,,,,-,745393,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HKD,,,,,,,,-,685915,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,,,,,,,-,574430,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TWD,,,,,,,,-,573364,0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNH,,,,,,,,-,488017,0
12/31/2024,NGS,Balanced Growth,CASH,1,UBS AG,EUR,,,,,,,,-,484462,0
12/31/2024,NGS,Balanced Growth,CASH,1,"GOLDMAN SACHS GROUP, INC.",AUD,,,,,,,,-,467003,0
12/31/2024,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,USD,,,,,,,,-,445341,0
12/31/2024,NGS,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,USD,,,,,,,,-,440388,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NOK,,,,,,,,-,421462,0
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",AUD,,,,,,,,-,366164,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SGD,,,,,,,,-,283103,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,DKK,,,,,,,,-,253486,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SEK,,,,,,,,-,235632,0
12/31/2024,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,AUD,,,,,,,,-,199039,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CHF,,,,,,,,-,188400,0
12/31/2024,NGS,Balanced Growth,CASH,1,"GOLDMAN SACHS GROUP, INC.",USD,,,,,,,,-,177152,0
12/31/2024,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,GBP,,,,,,,,-,175580,0
12/31/2024,NGS,Balanced Growth,CASH,1,ROYAL BANK OF CANADA,AUD,,,,,,,,-,146672,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ILS,,,,,,,,-,139459,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ZAR,,,,,,,,-,60771,0
12/31/2024,NGS,Balanced Growth,CASH,1,HONGKONG & SHANGHAI BANKING CORP. LTD.,USD,,,,,,,,-,56638,0
12/31/2024,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,EUR,,,,,,,,-,53908,0
12/31/2024,NGS,Balanced Growth,CASH,1,UBS AG,JPY,,,,,,,,-,40500,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,BRL,,,,,,,,-,36402,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NZD,,,,,,,,-,31049,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SAR,,,,,,,,-,22048,0
12/31/2024,NGS,Balanced Growth,CASH,1,MORGAN STANLEY,USD,,,,,,,,-,21808,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PHP,,,,,,,,-,9219,0
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",CAD,,,,,,,,-,8112,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AED,,,,,,,,-,7597,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,MXN,,,,,,,,-,6517,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,INR,,,,,,,,-,3991,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TRY,,,,,,,,-,3156,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,THB,,,,,,,,-,3006,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PLN,,,,,,,,-,2876,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CLP,,,,,,,,-,1046,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,MYR,,,,,,,,-,496,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RON,,,,,,,,-,464,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HUF,,,,,,,,-,309,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KRW,,,,,,,,-,80,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,COP,,,,,,,,-,6,0
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",GBP,,,,,,,,-,-14,0
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",JPY,,,,,,,,-,-10337,0
12/31/2024,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,CAD,,,,,,,,-,-59791,0
12/31/2024,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",EUR,,,,,,,,-,-332689,0
12/31/2024,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,,,,,,,-,-489836,0
12/31/2024,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,USD,,,,,,,,-,-1157704,-0.0001
12/31/2024,NGS,Balanced Growth,CASH,1,SUB TOTAL,,,,,,,,,,276993923,0.0265
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,COMMONWEALTH BANK OF AUSTRALIA,-,,,,,,,,-,34308473,0.0033
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,WESTPAC BANKING CORPORATION,-,,,,,,,,-,28204023,0.0027
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,GOLDMAN SACHS BANK USA,-,,,,,,,,-,11777123,0.0011
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,P&N BANK LTD.,-,,,,,,,,-,10531667,0.001
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,HERITAGE & PEOPLE'S CHOICE LTD.,-,,,,,,,,-,7877373,0.0008
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,BEYOND BANK AUSTRALIA LTD.,-,,,,,,,,-,4456296,0.0004
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,NATIONAL AUSTRALIA BANK LIMITED,-,,,,,,,,-,3519677,0.0003
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,RACQ BANK,-,,,,,,,,-,1676036,0.0002
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,TEACHERS MUTUAL BANK LTD.,-,,,,,,,,-,838018,0.0001
12/31/2024,NGS,Balanced Growth,FIXED INCOME,0,SUB TOTAL,,,,,,,,,,103188686,0.0099
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,IFM INVESTORS PTY LTD,-,,,,,,,,-,324782617,0.0311
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,BLACKSTONE CREDIT SYSTEMATIC STRATEGIES LLC,-,,,,,,,,-,187709998,0.018
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,BRIDGEPOINT ADVISERS LIMITED,-,,,,,,,,-,130292492,0.0125
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,J.P. MORGAN ASSET MANAGEMENT AUSTRALIA LIMITED,-,,,,,,,,-,118541944,0.0114
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,BLUE OWL CAPITAL INC,-,,,,,,,,-,87821659,0.0084
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,"BRANDYWINE GLOBAL INVESTMENT MANAGEMENT, LLC",-,,,,,,,,-,80656724,0.0077
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,ALCEON GROUP PTY LIMITED,-,,,,,,,,-,72767307,0.007
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,MADISON REALTY CAPITAL,-,,,,,,,,-,65860950,0.0063
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,KENNEDY LEWIS INVESTMENT MANAGEMENT LLC,-,,,,,,,,-,53021197,0.0051
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,MONROE CAPITAL,-,,,,,,,,-,15468617,0.0015
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,CHALLENGER INVESTMENT SOLUTIONS MANAGEMENT PTY LTD,-,,,,,,,,-,8656188,0.0008
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,SOCIAL VENTURES AUSTRALIA LIMITED,-,,,,,,,,-,1104512,0.0001
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,MACQUARIE INVESTMENT MANAGEMENT LTD,-,,,,,,,,-,738000,0.0001
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,STATE STREET BANK AND TRUST COMPANY,-,,,,,,,,-,76462,0
12/31/2024,NGS,Balanced Growth,FIXED INCOME,1,SUB TOTAL,,,,,,,,,,1147498667,0.11
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,BB Ticker,Australia,Industrials,Electrical Equipment & Parts,1380991,,-,211636910,0.0203
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,BHP GROUP LTD.,-,BHP AU,BB Ticker,Australia,Basic Materials,Other Industrial Metals & Mining,4451394,,-,176052619,0.0169
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"AMAZON.COM, INC.",-,AMZN US,BB Ticker,United States,Consumer Cyclical,Internet Retail,415725,,-,147308157,0.0141
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,CSL LTD.,-,CSL AU,BB Ticker,Australia,Industrials,Building Products & Equipment,446807,,-,125811778,0.0121
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"APPLE, INC.",-,AAPL US,BB Ticker,United States,Technology,Consumer Electronics,311030,,-,125798344,0.0121
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,NVIDIA CORP.,-,NVDA US,BB Ticker,United States,Technology,Semiconductors,531084,,-,115188947,0.011
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,MICROSOFT CORP.,-,MSFT US,BB Ticker,United States,Technology,Software - Infrastructure,167880,,-,114288868,0.011
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,BB Ticker,Australia,Energy,Oil & Gas Drilling,2891304,,-,107267364,0.0103
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,WESTPAC BANKING CORP.,-,WBC AU,BB Ticker,Australia,,,2758267,,-,89147206,0.0085
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,BB Ticker,Australia,Financial Services,Banks - Diversified,3087554,,-,88118806,0.0084
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,MACQUARIE GROUP LTD.,-,MQG AU,BB Ticker,Australia,Financial Services,Capital Markets,375109,,-,83142856,0.008
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,WESFARMERS LTD.,-,WES AU,BB Ticker,Australia,Energy,Oil & Gas Midstream,792550,,-,56691075,0.0054
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"ALPHABET, INC.",-,GOOGL US,BB Ticker,United States,Communication Services,Internet Content & Information,178629,,-,54614525,0.0052
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"META PLATFORMS, INC.",-,META US,BB Ticker,United States,Communication Services,Internet Content & Information,52769,,-,49901742,0.0048
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,QBE INSURANCE GROUP LTD.,-,QBE AU,BB Ticker,Australia,Financial Services,Insurance - Property & Casualty,2361488,,-,45340546,0.0043
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,RIO TINTO LTD.,-,RIO AU,BB Ticker,Australia,Basic Materials,Other Industrial Metals & Mining,381048,,-,44757700,0.0043
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,ARISTOCRAT LEISURE LTD.,-,ALL AU,BB Ticker,Australia,Financial Services,Insurance - Property & Casualty,645820,,-,44148228,0.0042
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,TELSTRA GROUP LTD.,-,TLS AU,BB Ticker,Australia,Technology,Software - Infrastructure,10787103,,-,43256285,0.0041
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"TESLA, INC.",-,TSLA US,BB Ticker,United States,Consumer Cyclical,Auto Manufacturers,61788,,-,40300676,0.0039
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,COLES GROUP LTD.,-,COL AU,BB Ticker,Australia,Consumer Defensive,Beverages - Non-Alcoholic,1755222,,-,33156118,0.0032
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"BROADCOM, INC.",-,AVGO US,BB Ticker,United States,Technology,Semiconductors,85091,,-,31862108,0.0031
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,COCHLEAR LTD.,-,COH AU,BB Ticker,Australia,Technology,Scientific & Technical Instruments,108542,,-,31464208,0.003
12/31/2024,NGS,Balanced Growth,LISTED EQUITY,1,"ALPHABET, INC.",-,GOOG US,BB Ticker,United States,Communication Services,Internet Content & Information,99525,,-,30612206,0.0029
