Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CLP,,N/A,,,,-,1046.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,MYR,,N/A,,,,-,496.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,RON,,N/A,,,,-,464.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HUF,,N/A,,,,-,309.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KRW,,N/A,,,,-,80.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,COP,,N/A,,,,-,6.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",GBP,,N/A,,,,-,-14.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",JPY,,N/A,,,,-,-10337.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,CAD,,N/A,,,,-,-59791.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",EUR,,N/A,,,,-,-332689.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,N/A,,,,-,-489836.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,USD,,N/A,,,,-,-1157704.0,-0.0001
2024-12-31,NGS,Balanced Growth,CASH,1,SUB TOTAL,,,N/A,,,,,276993923.0,0.0265
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,COMMONWEALTH BANK OF AUSTRALIA,-,,N/A,,,,-,34308473.0,0.0033
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,WESTPAC BANKING CORPORATION,-,,N/A,,,,-,28204023.0,0.0027
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,GOLDMAN SACHS BANK USA,-,,N/A,,,,-,11777123.0,0.0011
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,P&N BANK LTD.,-,,N/A,,,,-,10531667.0,0.001
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,HERITAGE & PEOPLE'S CHOICE LTD.,-,,N/A,,,,-,7877373.0,0.0008
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,BEYOND BANK AUSTRALIA LTD.,-,,N/A,,,,-,4456296.0,0.0004
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,NATIONAL AUSTRALIA BANK LIMITED,-,,N/A,,,,-,3519677.0,0.0003
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,RACQ BANK,-,,N/A,,,,-,1676036.0,0.0002
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,TEACHERS MUTUAL BANK LTD.,-,,N/A,,,,-,838018.0,0.0001
