Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PLN,,N/A,,,,-,148851.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,HUF,,N/A,,,,-,130909.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,GBP,,N/A,,,,-,105491.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,SAR,,N/A,,,,-,98969.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,THB,,N/A,,,,-,82608.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KRW,,N/A,,,,-,78728.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,JPY,,N/A,,,,-,71156.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MACQUARIE GROUP LTD.,AUD,,N/A,,,,-,46792.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TWD,,N/A,,,,-,26508.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,CHF,,N/A,,,,-,25131.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KWD,,N/A,,,,-,22583.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,PHP,,N/A,,,,-,20234.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,SEK,,N/A,,,,-,18333.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,QAR,,N/A,,,,-,14444.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,TRY,,N/A,,,,-,10230.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,ZAR,,N/A,,,,-,9839.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AED,,N/A,,,,-,7419.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CLP,,N/A,,,,-,3446.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,UBS AG,GBP,,N/A,,,,-,-2.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,EUR,,N/A,,,,-,-3583.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,UBS AG,EUR,,N/A,,,,-,-4300.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNH,,N/A,,,,-,-41374.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,HKD,,N/A,,,,-,-160693.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,SUB TOTAL,,,N/A,,,,,592231129.0,0.0242
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,WESTPAC BANKING CORPORATION,-,,N/A,,,,-,242782462.0,0.0098999999999999
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,UNITED STATES TREASURY,-,,N/A,,,,-,189286541.0,0.0077
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,,N/A,,,,-,177817768.0,0.0073
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,COMMONWEALTH BANK OF AUSTRALIA,-,,N/A,,,,-,68690796.0,0.0028
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,NATIONAL AUSTRALIA BANK LIMITED,-,,N/A,,,,-,59793116.0,0.0024
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,STANDARD CHARTERED BANK,-,,N/A,,,,-,46805835.0,0.0019
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,AUSTRALIA GOVERNMENT,-,,N/A,,,,-,44346702.0,0.0018
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,,N/A,,,,-,34957385.0,0.0014
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,DBS BANK LTD.,-,,N/A,,,,-,33978422.0,0.0014
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,BENDIGO & ADELAIDE BANK LTD.,-,,N/A,,,,-,29948309.0,0.0012
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,COOPERATIEVE RABOBANK UA,-,,N/A,,,,-,29129076.0,0.0012
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,MIZUHO BANK LTD.,-,,N/A,,,,-,25158135.0,0.001
2024-12-31,aware,Balanced Growth,FIXED INCOME,0,THE BANK OF NOVA SCOTIA,-,,N/A,,,,-,23330091.0,0.001
