Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VIBRA ENERGIA SA COMMON STOCK BRL,,BPBLV81,SEDOL,,218800.0,,,1020492.327,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VISA INC COMMON STOCK USD 0.0001,,B2PZN04,SEDOL,,22408.0,,,11447537.28,0.0016
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VIVA ENERGY GROUP LTD COMMON STOCK AUD,,BYQM3N1,SEDOL,,818866.0,,,2153617.673,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VOLVO AB COMMON STOCK SEK 1.26,,B1QH830,SEDOL,,31726.0,,,1241480.262,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VULCAN MATERIALS CO COMMON STOCK USD 1,,2931205,SEDOL,,4731.0,,,1966607.604,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,VULCAN STEEL LTD COMMON STOCK AUD,,0H2985S,BB Ticker,,73943.0,,,499114.3369,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WALMART INC COMMON STOCK USD 0.1,,2936921,SEDOL,,80961.0,,,11822123.18,0.0016
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WARTSILA OYJ ABP COMMON STOCK EUR 0,,4525189,SEDOL,,13099.0,,,375271.0459,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WASHINGTON H SOUL PATTINSON & CO LTD COMMON STOCK,,6821807,SEDOL,,7926.0,,,271238.9517,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WEB TRAVEL GROUP LTD COMMON STOCK AUD 0,,6015815,SEDOL,,52342.0,,,240248.2437,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WEG SA COMMON STOCK BRL 0,,2945422,SEDOL,,105153.0,,,1450693.653,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WELLS FARGO & CO COMMON STOCK USD 1.666,,2649100,SEDOL,,25356.0,,,2878170.99,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WESFARMERS LTD COMMON STOCK AUD 0,,6948836,SEDOL,,689674.0,,,45380581.5,0.0063
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WEST AFRICAN RESOURCES LTD COMMON STOCK AUD 0,,B4KBBN0,SEDOL,,1260932.0,,,1809437.469,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WESTGOLD RESOURCES LTD COMMON STOCK AUD 0,,BYVQ673,SEDOL,,390890.0,,,1106219.002,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP COMMON,,2955733,SEDOL,,11386.0,,,3487321.988,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WESTPAC BANKING CORP COMMON STOCK AUD 0,,6076146,SEDOL,,1252532.0,,,40481841.26,0.0056
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WH GROUP LTD COMMON STOCK HKD 0.0001,,BLLHKZ1,SEDOL,,1245955.0,,,1556949.365,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WHEATON PRECIOUS METALS CORP,,BF13KN5,SEDOL,,36617.0,,,3318533.157,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WHITEHAVEN COAL LTD COMMON STOCK AUD 0,,B1XQXC4,SEDOL,,330776.0,,,2050814.1,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WILLIAMS-SONOMA INC COMMON STOCK USD 0.01,,2967589,SEDOL,,5467.0,,,1635491.298,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WIPRO LTD COMMON STOCK INR 2,,6206051,SEDOL,,246501.0,,,1402988.593,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WISETECH GLOBAL LTD COMMON STOCK AUD,,BZ8GX83,SEDOL,,103540.0,,,11702100.41,0.0016
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WIX.COM LTD COMMON STOCK USD 0.01,,BFZCHN7,SEDOL,,992.0,,,343335.0349,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WOLTERS KLUWER NV COMMON STOCK EUR 0.12,,5671519,SEDOL,,9494.0,,,2541315.895,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WOODSIDE ENERGY GROUP LTD COMMON STOCK AUD 0,,1H8121S,BB Ticker,,675853.0,,,16024469.03,0.0022
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WOOLWORTHS GROUP LTD COMMON STOCK AUD 0,,6981239,SEDOL,,877124.0,,,25348883.73,0.0035
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WOORI FINANCIAL GROUP INC COMMON STOCK KRW 5000,,BGHWH98,SEDOL,,10095.0,,,170225.138,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WORKDAY INC COMMON STOCK USD 0.001,,B8K6ZD1,SEDOL,,7962.0,,,3317845.358,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WORLEY LTD COMMON STOCK AUD 0,,6562474,SEDOL,,274399.0,,,3759260.96,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WSP GLOBAL INC COMMON STOCK CAD 0,,BHR3R21,SEDOL,,12173.0,,,3452099.66,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,WYNN RESORTS LTD COMMON STOCK USD 0.01,,2963811,SEDOL,,4329.0,,,602383.8413,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,XERO LTD COMMON STOCK AUD 0,,B8P4LP4,SEDOL,,92144.0,,,15418398.21,0.0021
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,XIAOMI CORP COMMON STOCK HKD 0.0000025,,BG0ZMJ9,SEDOL,,411352.0,,,2950734.72,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,XP INC COMMON STOCK USD,,BK4Y052,SEDOL,,40169.0,,,768156.421,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,YOKOGAWA ELECTRIC CORP COMMON STOCK,,6986427,SEDOL,,29107.0,,,1013760.309,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,YUANTA FINANCIAL HOLDING CO LTD COMMON STOCK TWD,,6424110,SEDOL,,876661.0,,,1468406.182,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,YUNNAN ALUMINIUM CO LTD COMMON STOCK CNY 1,,BD5CB75,SEDOL,,430134.0,,,1286787.329,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZEBRA TECHNOLOGIES CORP COMMON STOCK USD 0.01,,2989356,SEDOL,,4743.0,,,2958584.043,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZIJIN MINING GROUP CO LTD COMMON STOCK HKD 0.1,,6725299,SEDOL,,234492.0,,,689404.6841,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZIP CO LTD COMMON STOCK AUD,,BPP1Y77,SEDOL,,262335.0,,,776511.1519,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZOOM COMMUNICATIONS INC COMMON STOCK USD 0.001,,BGSP7M9,SEDOL,,25382.0,,,3344320.701,0.0005
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZURICH INSURANCE GROUP AG COMMON STOCK CHF 0.1,,5983816,SEDOL,,5106.0,,,4901511.901,0.0007
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,ZYDUS LIFESCIENCES LTD COMMON STOCK INR 1,,BYM8TG8,SEDOL,,7650.0,,,140078.1048,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Equity,1,Sub Total,,,N/A,,,,,3748001429.92751,0.5183
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,0,Industry Super Holdings Ptl Limited,,,N/A,,,0.029,,,
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,0,ISPT OPERATIONS TRUST AUD,,,N/A,,,0.036,,,
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,0,Sub Total,,,N/A,,,,,37375481.8,0.0052
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Baillie Gifford Overseas Limited,,,N/A,,,,,9030777.547,0.0013
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,BlackRock Realty Advisors,,,N/A,,,,,210600.0174,0.0
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Generation Investment Management LLP,,,N/A,,,,,117602.7777,0.0
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,IFM Investors Pty Ltd,,,N/A,,,,,4595797.68,0.0006
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Lexington Partners,,,N/A,,,,,322562.4758,0.0
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,"Mesirow Financial Investment Management, Inc",,,N/A,,,,,2410855.667,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Metrics Credit Partners Pty Ltd,,,N/A,,,,,21549.3607,0.0
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,ROC Capital Pty Limited,,,N/A,,,,,1429676.914,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Stafford Capital Partners Pty Limited,,,N/A,,,,,1552275.009,0.0002
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,"StepStone VC Global Partners IV, L.P.",,,N/A,,,,,6686963.506,0.0009
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,VenCap International plc,,,N/A,,,,,25082655.28,0.0035
2024-12-31,Vision Super Fund,Balanced growth,Unlisted Equity,1,Sub Total,,,N/A,,,,,51461316.2346,0.007
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,ABACUS STORAGE KING REIT AUD,,BQYLGZ7,SEDOL,,746117.0,,,839381.7085,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,AGREE REALTY CORP REIT USD 0.0001,,2062161,SEDOL,,6374.0,,,725136.8193,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,APN CONVENIENCE RETAIL REIT,,BPG8J16,SEDOL,,168337.0,,,488176.278,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,ARENA REIT REIT AUD 0,,B99K263,SEDOL,,486554.0,,,1892695.297,0.0003
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,AVALONBAY COMMUNITIES INC REIT USD 0.01,,2131179,SEDOL,,814.0,,,289303.7524,0.0
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,BIG YELLOW GROUP PLC REIT GBP 10,,286941,SEDOL,,137827.0,,,2676415.6,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,BRITISH LAND CO PLC/THE REIT GBP 25,,136701,SEDOL,,118289.0,,,861855.419,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,BWP TRUST REIT AUD 0,,6127453,SEDOL,,813589.0,,,2668570.739,0.0004
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,BXP INC REIT USD 0.01,,2019479,SEDOL,,4654.0,,,559433.1206,0.0001
2024-12-31,Vision Super Fund,Balanced growth,Listed Property,1,CANADIAN APARTMENT PROPERTIES REIT REIT CAD 0,,2117599,SEDOL,,35374.0,,,1691922.691,0.0002
