Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,CURRENCY,Stock ID,Listed Country,% Ownership,Units Held,Adress,Value (AUD),Weighting (%)
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,KRW,,,,,-,80.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,COP,,,,,-,6.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",GBP,,,,,-,-14.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",JPY,,,,,-,-10337.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,CAD,,,,,-,-59791.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,"CITIGROUP, INC.",EUR,,,,,-,-332689.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,,,,-,-489836.0,0.0
2024-12-31,NGS,Balanced Growth,CASH,1,THE BANK OF NEW YORK MELLON,USD,,,,,-,-1157704.0,-0.01
2024-12-31,NGS,Balanced Growth,CASH,1,SUB TOTAL,,,,,,,276993923.0,2.65
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,34308473.0,0.33
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,28204023.0,0.27
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,11777123.0,0.11
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,10531667.0,0.1
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,7877373.0,0.08
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,4456296.0,0.04
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,3519677.0,0.03
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,1676036.0,0.02
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,-,-,,,,,-,838018.0,0.01
2024-12-31,NGS,Balanced Growth,FIXED INCOME,0,SUB TOTAL,,,,,,,103188686.0,0.99
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,324782617.0,3.11
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,187709998.0,1.8
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,130292492.0,1.25
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,118541944.0,1.14
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,87821659.0,0.84
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,80656724.0,0.77
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,72767307.0,0.7
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,65860950.0,0.63
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,53021197.0,0.51
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,15468617.0,0.15
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,8656188.0,0.08
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,1104512.0,0.01
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,738000.0,0.01
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,-,-,,,,,-,76462.0,0.0
2024-12-31,NGS,Balanced Growth,FIXED INCOME,1,SUB TOTAL,,,,,,,1147498667.0,11.0
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CBA,AU,,"1,380,991",-,211636910.0,2.03
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,BHP,AU,,"4,451,394",-,176052619.0,1.69
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AMZN,US,,"415,725",-,147308157.0,1.41
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,CSL,AU,,"446,807",-,125811778.0,1.21
2024-12-31,NGS,Balanced Growth,LISTED EQUITY,1,-,-,AAPL,US,,"311,030",-,125798344.0,1.21
