Portfolio Holdings Information for Investment Option: Growth Accumulation Option - Assets,,,,,,,,,,,,,
Section,Table Order,Security Name,Portfolio Name,Manager Name,Issuer,Institution,Security Identifier,Ownership%,Address,Local Currency,Units Held,Market Value,Weight
Fixed income internal (PRIVATE DEBT),2,,,,AARDVARK BIDCO PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,APM GLOBAL HOLDINGS PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,BPT BORROWER PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,CENTURIA FUNDS MANAGEMENT LIMITED AS TRUSTEE OF THE CENTURIA CAPITAL NO. 2 FUND,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,CRESCENT FINANCE CO PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,CX BIDCO PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,DEVINE NORTHCLIFFE PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,DEVLIN STREET HOLD TC PTY LIMITED IN ITS OWN CAPACITY AND ATF DEVLIN STREET HOLD TRUST,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,FORTKN FINANCE CO PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,FULCRUM MEDIA FINANCE 2 PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,HB ACQUISITIONCO PTY LTD.,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,NEWCOLD FINANCING PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,PROJECT QUILL IV PTY LTD ,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,STACK INFRASTRUCTURE AUSTRALIA (PALMERS ROAD) PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,VICTORIA PLAZA FINANCE PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,VOYAGE AUSTRALIA PTY LTD,,,,,,,,
Fixed income internal (PRIVATE DEBT),2,,,,APOG BIDCO PTY LTD,,,,,,,,
Fixed income internal,2,,,,LENDLEASE FINANCE LTD,,,,,,,13927064.93,0.02%
Fixed income internal,2,,,,NATIONAL AUSTRALIA BANK,,,,,,,440201782.2,0.58%
Fixed income internal,2,,,,QANTAS AIRWAYS LTD,,,,,,,45708659.76,0.06%
Fixed income internal,2,,,,QBE INSURANCE GROUP LTD,,,,,,,50117819.1,0.07%
Fixed income internal,2,,,,RESOLUTION LIFE,,,,,,,23288158.83,0.03%
Fixed income internal,2,,,,SCENTRE GROUP TRST 1,,,,,,,23772282.8,0.03%
Fixed income internal,2,,,,WESTPAC BANKING CORPORATION,,,,,,,431334036.1,0.57%
Fixed income internal TOTAL,2.5,,,,,,,,,,,3040843759,4.01%
Fixed income external,3,,,Barings,,,,,,,,1076177360,1.42%
Fixed income external,3,,,Blackrock,,,,,,,,4628020536,6.11%
Fixed income external,3,,,Hayfin Capital Management,,,,,,,,59735.63,0.00%
Fixed income external,3,,,IFM Investors,,,,,,,,2041198019,2.69%
Fixed income external,3,,,Maxcap,,,,,,,,43420606.84,0.06%
Fixed income external,3,,,Oaktree Capital Management,,,,,,,,1609779531,2.12%
Fixed income external,3,,,Westbourne Capital,,,,,,,,1045047.41,0.00%
Fixed income external TOTAL,3.5,,,,,,,,,,,9399700836,12.40%
Listed equities,4,361 DEGREES INTERNATIONAL LTD COMMON STOCK HKD 0.1,,,,,B51BL70,,,,459817.09,405367.11,0.00%
Listed equities,4,3I GROUP,,,,,B1YW440,,,,26009.59,1875072.8,0.00%
Listed equities,4,3SBIO,,,,,BY9D3L9,,,,468084.35,591732.25,0.00%
Listed equities,4,AAC TECHNOLOGIES (CN),,,,,B85LKS1,,,,1568164.22,12227012.39,0.02%
Listed equities,4,ABB INDIA LTD COMMON STOCK INR 2,,,,,B1Y9QS9,,,,42544.93,5547888.32,0.01%
Listed equities,4,ABB LTD,,,,,7108899,,,,274175.39,23977306.07,0.03%
Listed equities,4,ABB LTD COMMON STOCK CHF 0.12,,,,,7113815,,,,20269.75,1764120.81,0.00%
Listed equities,4,ABBOTT LABORATORIES,,,,,2002305,,,,497948.84,90968252.13,0.12%
Listed equities,4,ABBVIE,,,,,B92SR70,,,,166336.47,47739628.2,0.06%
Listed equities,4,ABN AMRO BANK,,,,,BYQP136,,,,248518.54,6188815.07,0.01%
Listed equities,4,ABOITIZ EQUITY VENTURES,,,,,6068411,,,,54975.1,52726.74,0.00%
Listed equities,4,ABOITIZ POWER,,,,,B1Z9Q99,,,,54894.61,57784.21,0.00%
Listed equities,4,ABSA GROUP,,,,,BFX05H3,,,,23150.71,375991.7,0.00%
Listed equities,4,ABU DHABI ISLAMIC BK(AE),,,,,6001728,,,,443725.49,2696494.25,0.00%
Listed equities,4,ACCENT GROUP LTD,,,,,BD20RS5,,,,1972389.47,4615391.36,0.01%
Listed equities,4,ACCENTURE A,,,,,B4BNMY3,,,,3070.7,1744714.95,0.00%
Listed equities,4,ACCOR,,,,,5852842,,,,790700.37,62206142.01,0.08%
Listed equities,4,ACS ACTIV CONST Y SVCS,,,,,B01FLQ6,,,,101484.15,8221600.56,0.01%
Listed equities,4,ADAIRS LTD,,,,,BYYT7Q5,,,,879553.75,2374795.12,0.00%
Listed equities,4,ADANI ENTERPRISES,,,,,B01VRK0,,,,142107,6778984.88,0.01%
Listed equities,4,ADANI GREEN ENERGY,,,,,BD6H7M6,,,,192110.19,3771693.81,0.01%
Listed equities,4,ADANI PORTS AND SEZ,,,,,B28XXH2,,,,290253.22,6741101.06,0.01%
Listed equities,4,ADANI POWER,,,,,B3WQH49,,,,553408.46,5527531.32,0.01%
Listed equities,4,ADANI TRANSMISSION,,,,,BYPCLL6,,,,179672.78,2732659.69,0.00%
Listed equities,4,ADARO ENERGY INDONESIA,,,,,B3BQFC4,,,,382656,93309.92,0.00%
