Portfolio Holdings Information for Investment Option: Growth Accumulation Option - Assets,,,,,,,,,,,,,
Section,Table Order,Security Name,Portfolio Name,Manager Name,Issuer,Institution,Security Identifier,Ownership%,Address,Local Currency,Units Held,Market Value,Weight
Listed equities,4,AUTODESK,,,,,2065159,,,,5774.48,2756624.69,0.00%
Listed equities,4,AUTOHOME ADR,,,,,BH5QGR0,,,,36420.03,1526447.32,0.00%
Listed equities,4,AUTOLIV,,,,,2064253,,,,428951.08,64978312.03,0.09%
Listed equities,4,AUTOZONE,,,,,2065955,,,,10482.1,54209280.67,0.07%
Listed equities,4,AVERY DENNISON CORP,,,,,2066408,,,,1574.72,475937.36,0.00%
Listed equities,4,AVIVA,,,,,BPQY8M8,,,,172543.21,1636185.36,0.00%
Listed equities,4,AVZ MINERALS LTD COMMON STOCK AUD 0,,,,,AU000000AVZ6,,,,2337389.31,23373.89,0.00%
Listed equities,4,AXA,,,,,7088429,,,,166991.55,9585081.18,0.01%
Listed equities,4,AXIS BANK,,,,,BPFJHC7,,,,482417.34,9689706.62,0.01%
Listed equities,4,AYALA CORP,,,,,B09JBT3,,,,4225.76,70675.61,0.00%
Listed equities,4,AYALA LAND,,,,,6055112,,,,646339.71,472824.85,0.00%
Listed equities,4,AZTECH GLOBAL LTD COMMON STOCK SGD,,,,,BMFZSZ4,,,,605084.65,505046.12,0.00%
Listed equities,4,B3,,,,,BG36ZK1,,,,3199718.67,8632928.07,0.01%
Listed equities,4,BABY BUNTING GROUP LIMITED,,,,,BYRJS58,,,,1199879.84,2015798.14,0.00%
Listed equities,4,BAIC MOTOR CORP H,,,,,BTF8BT7,,,,8365778.56,4174602.69,0.01%
Listed equities,4,BAIDU (HK),,,,,B0J2D41,,,,37281.4,641055,0.00%
Listed equities,4,BAIRONG INC COMMON STOCK HKD 0.00002,,,,,BMVXJ26,,,,99207.11,181519.39,0.00%
Listed equities,4,BAJAJ AUTO,,,,,B2QKXW0,,,,4878.55,809775.36,0.00%
Listed equities,4,BAJAJ FINANCE,,,,,BD2N0P2,,,,18573.21,2390687.68,0.00%
Listed equities,4,BAKER HUGHES CO,,,,,BDHLTQ5,,,,1338.51,88679.03,0.00%
Listed equities,4,BANCA GENERALI SPA COMMON STOCK EUR 1,,,,,B1HKSV6,,,,28159.86,2112728.91,0.00%
Listed equities,4,BANCO BBVA ARGENTINA SA ADR USD,,,,,BKT4TC7,,,,123287.67,3795304.84,0.01%
Listed equities,4,BANCO BPM,,,,,BYMD5K9,,,,682900.82,8922239.59,0.01%
Listed equities,4,BANCO BRADESCO ON,,,,,B00FM86,,,,33620.19,93520.84,0.00%
Listed equities,4,BANCO BRADESCO PN,,,,,B00FM53,,,,318373.64,962191.63,0.00%
Listed equities,4,BANCO BRASIL ON,,,,,2328595,,,,1535270.84,9701263.05,0.01%
Listed equities,4,BANCO BTG PACTUAL,,,,,BZBZVC7,,,,719566.86,5116897.18,0.01%
Listed equities,4,BANCO DE CHILE,,,,,2100845,,,,11059401.87,2030441.54,0.00%
Listed equities,4,BANCO DE CHILE ADR USD,,,,,2834252,,,,417237.56,15283772.52,0.02%
Listed equities,4,BANCO DE CREDITO E INVER,,,,,2069355,,,,1262.13,56572.21,0.00%
Listed equities,4,BANCO SABADELL,,,,,B1X8QN2,,,,119291.83,374480.3,0.00%
Listed equities,4,BANCO SANTANDER,,,,,5705946,,,,3402551.2,25405720.17,0.03%
Listed equities,4,BANCOLOMBIA,,,,,BJ62K57,,,,142378.74,1962627.28,0.00%
Listed equities,4,BANCOLOMBIA PREF,,,,,BJ62LW1,,,,260095.85,3354548.71,0.00%
Listed equities,4,BANCOLOMBIA SA ADR,,,,,2082567,,,,22511.62,1145669.19,0.00%
Listed equities,4,BANDAI NAMCO HOLDINGS,,,,,B0JDQD4,,,,1338.51,51982.84,0.00%
Listed equities,4,BANGKOK DUSIT MEDICAL SERVICES PCL FOREIGN SH. THB 0.1,,,,,BLZGSM7,,,,4329107.74,5024325.51,0.01%
Listed equities,4,BANK CENTRAL ASIA,,,,,B01C1P6,,,,28648583.64,27814236.1,0.04%
Listed equities,4,BANK CIMB NIAGA TBK PT COMMON STOCK IDR 5000,,,,,B00ZNP0,,,,221956.23,38532.44,0.00%
Listed equities,4,BANK HAPOALIM,,,,,6075808,,,,45427.41,886411.25,0.00%
Listed equities,4,BANK LEUMI LE-ISRAEL,,,,,6076425,,,,33509.96,643917.52,0.00%
Listed equities,4,BANK MANDIRI,,,,,6651048,,,,31008536.56,17736549.42,0.02%
Listed equities,4,BANK NEW YORK MELLON,,,,,B1Z77F6,,,,840544.07,104302674.1,0.14%
Listed equities,4,BANK OF AMERICA CORP,,,,,2295677,,,,3170549.07,225059568.2,0.30%
Listed equities,4,BANK OF BEIJING A (HK-C),,,,,BP3R2W8,,,,571858.14,778196.33,0.00%
Listed equities,4,BANK OF CHANGSHA A(HK-C),,,,,BK94875,,,,27688.77,54466.73,0.00%
Listed equities,4,BANK OF CHENGDU A (HK-C),,,,,BFYQHF2,,,,579525.43,2194058.8,0.00%
Listed equities,4,BANK OF CHINA A (HK-C),,,,,BP3R239,,,,3243521.41,3954523.14,0.01%
Listed equities,4,BANK OF CHINA H,,,,,B154564,,,,44286920.22,36556409.12,0.05%
Listed equities,4,BANK OF CHONGQING CO LTD COMMON STOCK HKD 1,,,,,BFZCJC0,,,,1144576.68,1446924.98,0.00%
Listed equities,4,BANK OF COMMU A (HK-C),,,,,BP3R2G2,,,,8384087.52,14414599.33,0.02%
Listed equities,4,BANK OF COMMUNICATIONS H,,,,,B0B8Z29,,,,11655434.78,15485558.72,0.02%
Listed equities,4,BANK OF HANGZHOU A(HK-C),,,,,BYW5MZ9,,,,1150959.97,3720798.82,0.00%
Listed equities,4,BANK OF IRELAND GROUP PLC COMMON STOCK EUR 1,,,,,BD1RP61,,,,22477.5,331040.13,0.00%
Listed equities,4,BANK OF JIANGSU A (HK-C),,,,,BYW5MY8,,,,41572.5,90332.37,0.00%
Listed equities,4,BANK OF NANJING A (HK-C),,,,,BP3R529,,,,6168333.68,14535943.29,0.02%
Listed equities,4,BANK OF PHIL ISLANDS,,,,,6074968,,,,206579.19,703695.15,0.00%
Listed equities,4,BANK OF QINGDAO CO LTD COMMON STOCK CNY 1,,,,,BHZM366,,,,2292147.61,1967886.57,0.00%
Listed equities,4,BANK OF QUEENSLAND LTD,,,,,6076243,,,,2995456.4,20069557.88,0.03%
Listed equities,4,BANK OF SHANGHAI A(HK-C),,,,,BD8P9J9,,,,483568.53,979050.02,0.00%
Listed equities,4,BANK OF SUZHOU A (HK-C),,,,,BK71760,,,,8500702.33,15254620.79,0.02%
Listed equities,4,BANK OF ZHENGZHOU CO LTD COMMON STOCK HKD 1,,,,,BYQ3YQ4,,,,1039938.87,222711.46,0.00%
Listed equities,4,BANK PEKAO,,,,,5473113,,,,136548.09,7362760.86,0.01%
Listed equities,4,BANK RAKYAT INDONESIA,,,,,6709099,,,,67433929.05,27609060.92,0.04%
Listed equities,4,BANNERMAN ENERGY LTD,,,,,B07DXJ1,,,,781864.15,2267406.04,0.00%
Listed equities,4,BAOSHAN IRON A (HK-C),,,,,BP3R2Y0,,,,4100500.69,6351271.56,0.01%
Listed equities,4,BAPCOR LIMITED,,,,,BLD2CY7,,,,2638422.26,12453353.09,0.02%
Listed equities,4,BARCLAYS,,,,,3134865,,,,3017204.79,16365512.24,0.02%
Listed equities,4,BARRICK GOLD CORP,,,,,2024644,,,,38375.83,960621.86,0.00%
Listed equities,4,BATH & BODY WORKS,,,,,BNNTGJ5,,,,4684.78,293352.07,0.00%
Listed equities,4,BAYER,,,,,5069211,,,,1860479,60096753.8,0.08%
Listed equities,4,BAYERISCHE MOTOREN WERKE AG COMMON STOCK EUR 1,,,,,B23V5Q4,,,,2425.85,321242.85,0.00%
Listed equities,4,BB SEGURIDADE PART ON,,,,,B9N3SQ0,,,,124213.75,1174910.74,0.00%
Listed equities,4,BBVA,,,,,5501906,,,,1945995.53,30762354.01,0.04%
Listed equities,4,BCO SANTANDER CHILE (NEW,,,,,2000257,,,,1225635.37,94147.92,0.00%
Listed equities,4,BDO UNIBANK,,,,,B5VJH76,,,,2121547.73,8530087,0.01%
Listed equities,4,BEACH ENERGY LIMITED,,,,,6088204,,,,9149387.01,12763394.89,0.02%
Listed equities,4,BEACON LIGHTING GROUP LTD COMMON STOCK AUD 0,,,,,BKXF175,,,,238310.6,726847.33,0.00%
Listed equities,4,BEACON ROOFING SUPPLY INC COMMON STOCK USD 0.01,,,,,B02TS99,,,,52123.1,8551505.57,0.01%
Listed equities,4,BECTON DICKINSON,,,,,2087807,,,,109521.5,40131055.82,0.05%
Listed equities,4,BEGA CHEESE LTD,,,,,B56CQJ5,,,,500225.88,2886303.33,0.00%
Listed equities,4,BEIGENE ADR (CN),,,,,BYYWPW6,,,,103365.94,30836989.82,0.04%
Listed equities,4,BEIJING AOSAIKANG PHARMACEUTICAL CO LTD COMMON STOCK CNY 1,,,,,BKDQ7Z8,,,,240774.09,677144.02,0.00%
Listed equities,4,BEIJING ENTERPRISES HLDG,,,,,6081690,,,,24801.78,137686.58,0.00%
Listed equities,4,BEIJING ORIENT NATIONAL COMMUNICATION SCIENCE & TECHNOLOGY C,,,,,BD5CFD9,,,,1971168.94,4099939.56,0.01%
Listed equities,4,BEIJING SHANGHAI A(HK-C),,,,,BL58M76,,,,121782.31,165993.35,0.00%
Listed equities,4,BEIJING SIFANG AUTOMATION CO LTD COMMON STOCK CNY 1,,,,,BP3RFT6,,,,1473634.25,5530205.99,0.01%
Listed equities,4,BEIJING TEAMSUN TECHNOLOGY CO LTD COMMON STOCK CNY 1,,,,,BP3RFM9,,,,1826512.38,2926085.01,0.00%
Listed equities,4,BELLEVUE GOLD LTD,,,,,BFZ31P0,,,,7377690,8299901.25,0.01%
Listed equities,4,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,,,,,B4XY9X2,,,,754.29,853841.28,0.00%
Listed equities,4,BERKLEY (W.R.) CORP,,,,,2093644,,,,151296.36,14300028.8,0.02%
Listed equities,4,BERKSHIRE HATHAWAY B,,,,,2073390,,,,125403.3,91807814.46,0.12%
Listed equities,4,BEST BUY CO,,,,,2094670,,,,7733.43,1071676.24,0.00%
Listed equities,4,BET SHEMESH ENGINES HOLDINGS 1997 LTD COMMON STOCK ILS 1,,,,,6103936,,,,4350.15,565952.4,0.00%
Listed equities,4,BEYONDSOFT CORP COMMON STOCK CNY 1,,,,,BD5C799,,,,1985953.16,5325953.56,0.01%
Listed equities,4,BGF RETAIL (NEW),,,,,BD95QN1,,,,8194.75,921534.34,0.00%
Listed equities,4,BHARAT ELECTRONICS LTD COMMON STOCK INR 1,,,,,BF1THH6,,,,94379.03,521946.37,0.00%
Listed equities,4,BHARAT PETROLEUM CORP,,,,,6099723,,,,23199.81,127996.05,0.00%
Listed equities,4,BHARTI AIRTEL,,,,,6442327,,,,780115.13,23366910.18,0.03%
Listed equities,4,BHARTI HEXACOM LTD COMMON STOCK INR 5,,,,,BMDR2V6,,,,7319.01,201160.49,0.00%
Listed equities,4,BHP GROUP (AU),,,,,6144690,,,,33281095.95,1316267345,1.74%
Listed equities,4,BID CORPORATION,,,,,BZBFKT7,,,,4396.4,162021.57,0.00%
Listed equities,4,BIDVEST GROUP,,,,,6100089,,,,50556.34,1140954.74,0.00%
Listed equities,4,BIONTECH SE ADR USD,,,,,BK6H543,,,,205059.53,37739696.31,0.05%
Listed equities,4,BK SANTANDER BRASIL UNIT,,,,,B4V5RY4,,,,224997.15,1401152.5,0.00%
Listed equities,4,BKI HOLDINGS PCL FOREIGN SH. THB 10,,,,,BS0BB49,,,,82593.86,1138555.04,0.00%
Listed equities,4,BKW AG COMMON STOCK CHF 2.5,,,,,B76D410,,,,73950.24,19795450.42,0.03%
Listed equities,4,BLACK CAT SYNDICATE LTD COMMON STOCK AUD,,,,,BFX28Y7,,,,11976870.42,6766931.79,0.01%
Listed equities,4,BLACKSTONE GROUP,,,,,BKF2SL7,,,,173377.81,48282003.68,0.06%
Listed equities,4,BLOCK,,,,,BYNZGK1,,,,3070.7,421510.91,0.00%
Listed equities,4,BLOCK INC CDI AUD,,,,,BMHJ8W1,,,,1551336.54,218707425,0.29%
Listed equities,4,BLUESCOPE STEEL,,,,,6533232,,,,9520421.63,177936680.3,0.23%
Listed equities,4,BLUESTAR ADISSEO CO COMMON STOCK CNY 1,,,,,BYV1QK1,,,,380451.4,1056497.97,0.00%
Listed equities,4,BMW VORZUG,,,,,5756030,,,,452.73,54819.2,0.00%
Listed equities,4,BNK FINANCIAL GROUP,,,,,B3S98W7,,,,159260.36,1806675.5,0.00%
Listed equities,4,BNP PARIBAS,,,,,7309681,,,,56884.26,5633969.58,0.01%
Listed equities,4,BOC HONG KONG HOLDINGS,,,,,6536112,,,,182667.06,947607.17,0.00%
Listed equities,4,BOOKING HOLDINGS,,,,,BDRXDB4,,,,3922.62,31477367.86,0.04%
Listed equities,4,BOOZ ALLEN HAMILTON A,,,,,B5367T7,,,,1259.77,261863.47,0.00%
Listed equities,4,BORALEX INC COMMON STOCK CAD 0,,,,,2099084,,,,15431.67,497543.11,0.00%
Listed equities,4,BOROUGE PLC,,,,,BN2SB32,,,,13304.3,14040.42,0.00%
Listed equities,4,BOSIDENG INTL HLDGS,,,,,B24FZ32,,,,2621902.25,2115172.36,0.00%
Listed equities,4,BOSS ENERGY LTD,,,,,B1XLCQ6,,,,4275704.08,10389960.92,0.01%
Listed equities,4,BOSTON SCIENTIFIC CORP,,,,,2113434,,,,31856.51,4595692.67,0.01%
Listed equities,4,BP,,,,,798059,,,,359624.21,2858830.98,0.00%
Listed equities,4,BRAMBLES,,,,,B1FJ0C0,,,,1621326.75,31194326.62,0.04%
Listed equities,4,BRAVURA SOLUTIONS LIMITED,,,,,BZBHBM3,,,,360682.19,811534.92,0.00%
Listed equities,4,BRAZILIAN RARE EARTHS LTD COMMON STOCK AUD,,,,,BMVMLB6,,,,1973223.22,4656806.81,0.01%
Listed equities,4,BREVILLE GROUP LTD,,,,,6158709,,,,1634781.32,57838563.2,0.08%
Listed equities,4,BRILLIANCE CHINA AUTO,,,,,6181482,,,,2108544.81,1674725.91,0.00%
Listed equities,4,BRISTOL-MYERS SQUIBB CO,,,,,2126335,,,,723470.23,66089761.78,0.09%
Listed equities,4,BRITANNIA INDUSTRIES,,,,,BGSQG47,,,,962.94,86520.09,0.00%
Listed equities,4,BROADCOM,,,,,BDZ78H9,,,,99791.91,37366963.18,0.05%
Listed equities,4,BROADRIDGE FINANCIAL,,,,,B1VP7R6,,,,2677.02,977544.77,0.00%
Listed equities,4,BROOKFIELD RENEWABLE CORP COMMON STOCK CAD,,,,,BSQLLY3,,,,4023.4,179739.09,0.00%
Listed equities,4,BROS EASTERN CO LTD COMMON STOCK CNY 1,,,,,BTFRHP2,,,,1410709.39,1698095.88,0.00%
Listed equities,4,BROTHER INDUSTRIES,,,,,6146500,,,,141094.56,3911413.14,0.01%
Listed equities,4,BRUNSWICK CORP/DE COMMON STOCK USD 0.75,,,,,2149309,,,,308959.29,32275679.54,0.04%
Listed equities,4,BT GROUP,,,,,3091357,,,,5022641.92,14634992.1,0.02%
Listed equities,4,BUDIMEX,,,,,4149330,,,,8522.36,1554875.39,0.00%
Listed equities,4,BUILDERS FIRSTSOURCE,,,,,B0BV2M7,,,,115284.96,26613388.94,0.04%
Listed equities,4,BUNGE GLOBAL,,,,,BQ6BPG9,,,,78705.1,9884693.99,0.01%
Listed equities,4,BUNZL,,,,,B0744B3,,,,4450.15,296693.91,0.00%
Listed equities,4,BUPA ARABIA FOR COPR INS,,,,,B2RLCR0,,,,17443.12,1552069.41,0.00%
Listed equities,4,BUREAU VERITAS SA,,,,,B28DTJ6,,,,5727.24,281034.53,0.00%
Listed equities,4,BURJEEL HOLDINGS PLC COMMON STOCK AED 0.1,,,,,BQ1LDD7,,,,1371736.51,1182235.09,0.00%
Listed equities,4,BURLINGTON STORES,,,,,BF311Y5,,,,29736.15,13690684.23,0.02%
Listed equities,4,BURSA MALAYSIA BHD COMMON STOCK MYR 0,,,,,B06FV38,,,,363916.88,1177771.33,0.00%
Listed equities,4,BUZZI SPA COMMON STOCK EUR 0,,,,,5782206,,,,73680.96,4384451.4,0.01%
Listed equities,4,BYD CO H,,,,,6536651,,,,386612.65,21430571.44,0.03%
Listed equities,4,BYD ELECTRONIC INTL,,,,,B29SHS5,,,,28344.89,247821.11,0.00%
Listed equities,4,C&A MODAS SA COMMON STOCK BRL,,,,,BKPHNH3,,,,66689.23,140351.86,0.00%
Listed equities,4,CADENCE DESIGN SYSTEMS,,,,,2302232,,,,151935.69,73731079.77,0.10%
Listed equities,4,CAIXA SEGURIDADE PAR,,,,,BMDWWN3,,,,302801.96,1128080.7,0.00%
Listed equities,4,CAIXABANK,,,,,B283W97,,,,115307.8,1009746.42,0.00%
Listed equities,4,CANADIAN NAT RESOURCES,,,,,2171573,,,,23148.33,1153696.3,0.00%
Listed equities,4,CANADIAN NATIONAL RAILWAY CO COMMON STOCK CAD 0,,,,,2210959,,,,11707.23,1919406.56,0.00%
Listed equities,4,CANADIAN NATL RAILWAY,,,,,2180632,,,,1680.75,275518.57,0.00%
Listed equities,4,CANADIAN TIRE CORP A,,,,,2172286,,,,19703.63,3346109.83,0.00%
Listed equities,4,CANARA BANK,,,,,BS5WYP9,,,,77350.05,146097.21,0.00%
Listed equities,4,CANON INC,,,,,6172323,,,,494854.52,26246619.29,0.03%
Listed equities,4,CAP SA COMMON STOCK CLP 0,,,,,2174312,,,,10009.01,85499.81,0.00%
Listed equities,4,CAPCOM CO,,,,,6173694,,,,551.15,19677.15,0.00%
Listed equities,4,CAPGEMINI,,,,,4163437,,,,267197.82,70673422.55,0.09%
Listed equities,4,CAPITAL ONE FINANCIAL,,,,,2654461,,,,209724.62,60402317.09,0.08%
Listed equities,4,CAPITAL SECURIT A (HK-C),,,,,BPXYT73,,,,308880.56,1503623.15,0.00%
Listed equities,4,CAPITEC BANK HOLDINGS,,,,,6440859,,,,6230.36,1671443.21,0.00%
Listed equities,4,CAPRAL LTD COMMON STOCK AUD 0,,,,,6013972,,,,539823.81,5371246.87,0.01%
Listed equities,4,CAPRICORN METALS LTD,,,,,BDD98W2,,,,2972732.81,18668762.06,0.02%
Listed equities,4,CAPSTONE COPPER CORP CDI,,,,,BQXH1K6,,,,3111860.39,30527350.44,0.04%
Listed equities,4,CAR GROUP,,,,,BW0BGZ3,,,,858863.39,30944847.82,0.04%
Listed equities,4,CARAVEL MINERALS LTD COMMON STOCK AUD 0,,,,,B90KY77,,,,5023369.85,954440.27,0.00%
Listed equities,4,CARDINAL HEALTH,,,,,2175672,,,,134334.3,25660531.45,0.03%
Listed equities,4,CARLISLE COS,,,,,2176318,,,,27875.62,16606064.88,0.02%
Listed equities,4,CARNABY RESOURCES LTD COMMON STOCK AUD,,,,,BKB0C46,,,,9005464.59,3106885.28,0.00%
Listed equities,4,CARNARVON ENERGY LIMITED,,,,,6110497,,,,22390892.86,3358633.93,0.00%
Listed equities,4,CARNIVAL CORP (US),,,,,2523044,,,,360793.43,14521476.78,0.02%
Listed equities,4,CARREFOUR,,,,,5641567,,,,337428.58,7748299.87,0.01%
Listed equities,4,CARVANA A,,,,,BYQHPG3,,,,393.68,129303.99,0.00%
Listed equities,4,CATALYST METALS LTD COMMON STOCK AUD 0,,,,,B17P5V0,,,,2766262.87,7136958.22,0.01%
Listed equities,4,CATAPULT GROUP INTERNATIONAL LTD COMMON STOCK AUD,,,,,BTL0Y76,,,,5064607.04,18789692.1,0.02%
Listed equities,4,CATCHER TECH CO,,,,,6186669,,,,56010.02,535306.97,0.00%
Listed equities,4,CATERPILLAR,,,,,2180201,,,,149971.23,87868149.49,0.12%
Listed equities,4,CATHAY FINANCIAL HOLDING,,,,,6425663,,,,406477.65,1367706.19,0.00%
Listed equities,4,CBOE GLOBAL MARKETS,,,,,B5834C5,,,,314.94,99394.17,0.00%
Listed equities,4,CBRE GROUP,,,,,B6WVMH3,,,,424105.68,89931090.52,0.12%
Listed equities,4,CCL INDUSTRIES B,,,,,2159795,,,,4487.94,372709.02,0.00%
Listed equities,4,CDW CORP,,,,,BBM5MD6,,,,208475.08,58601314.36,0.08%
Listed equities,4,CELLNEX TELECOM,,,,,BX90C05,,,,22228.3,1134233.26,0.00%
Listed equities,4,CEMEX SAB DE CV ADR USD 0,,,,,2488671,,,,99618.42,907450.33,0.00%
Listed equities,4,CEMIG PN,,,,,B1YBRG0,,,,1403917.22,4077764.95,0.01%
Listed equities,4,CENCORA,,,,,2795393,,,,179487.71,65133326.43,0.09%
Listed equities,4,CENCOSUD,,,,,B00R3L2,,,,1520185.77,5431347.97,0.01%
Listed equities,4,CENOVUS ENERGY,,,,,B57FG04,,,,19526.48,477821.61,0.00%
Listed equities,4,CENOVUS ENERGY INC COMMON STOCK CAD 0,,,,,B5BQMT4,,,,30484.14,745917.36,0.00%
Listed equities,4,CENTENE CORP,,,,,2807061,,,,1113802.18,108978658.3,0.14%
Listed equities,4,CENTRICA,,,,,B033F22,,,,3155730.2,8528120.68,0.01%
Listed equities,4,CEZ CESKE ENER ZAVODY,,,,,5624030,,,,46729.4,2970888.56,0.00%
Listed equities,4,CF INDUSTRIES HOLDINGS,,,,,B0G4K50,,,,183582.76,25298039.49,0.03%
Listed equities,4,CGI A,,,,,BJ2L575,,,,116617.96,20597928.69,0.03%
Listed equities,4,CGI INC COMMON STOCK CAD 0,,,,,BJ2L553,,,,4461.96,787824.02,0.00%
Listed equities,4,CH ROBINSON WORLDWIDE,,,,,2116228,,,,5354.03,893448.85,0.00%
Listed equities,4,CHAILEASE HOLDING,,,,,B58J1S8,,,,427405.22,2379324.6,0.00%
Listed equities,4,CHALICE MINING LTD,,,,,B0ZGW28,,,,2154623.31,2380858.76,0.00%
Listed equities,4,CHAMPION IRON LIMITED,,,,,BLD1SB3,,,,1242482.18,7144272.54,0.01%
Listed equities,4,CHANGHONG MEILING CO LTD COMMON STOCK CNY 1,,,,,BPDWSH0,,,,463596.41,837058.82,0.00%
Listed equities,4,CHANGJIANG SEC A (HK-C),,,,,BD5CP40,,,,34449.99,51987.53,0.00%
Listed equities,4,CHAROEN POKPHAND FOODS PCL FOREIGN SH. THB 1,,,,,B5L2DG6,,,,681433.63,735989.63,0.00%
Listed equities,4,CHARTER COMM A (NEW),,,,,BZ6VT82,,,,137682.15,76222741.53,0.10%
Listed equities,4,Chartwell Retirement Residences,,,,,B8S8C94,,,,135793.95,2299674.44,0.00%
Listed equities,4,CHECK POINT SOFTW (USD),,,,,2181334,,,,50146.83,15121398.25,0.02%
Listed equities,4,CHEVRON CORP,,,,,2838555,,,,472.41,110513.71,0.00%
Listed equities,4,CHINA BOHAI BANK CO H,,,,,BMQ8Q14,,,,1309376.41,242299.25,0.00%
Listed equities,4,CHINA CINDA ASSET MGMT H,,,,,BGY6SV2,,,,8642278.35,2282072.9,0.00%
Listed equities,4,CHINA CITIC BANK H,,,,,B1W0JF2,,,,5608378.05,6261942.98,0.01%
Listed equities,4,CHINA CITIC BK A (HK-C),,,,,BP3R2H3,,,,6956828.66,10744655.19,0.01%
Listed equities,4,CHINA COAL ENERGY H,,,,,B1JNK84,,,,42517.33,82125.73,0.00%
Listed equities,4,CHINA COMMU SERVICES H,,,,,B1HVJ16,,,,891836.12,845565.87,0.00%
Listed equities,4,CHINA CONSTRUCTION BK H,,,,,B0LMTQ3,,,,32978682.12,44433021.31,0.06%
Listed equities,4,CHINA CSSC HLDG A (HK-C),,,,,BP3R4N3,,,,534575.16,4253576.14,0.01%
Listed equities,4,CHINA DEVELOPMENT BANK FINANCIAL LEASING CO LTD COMMON STOCK,,,,,BD8CRP2,,,,730854.87,212743.71,0.00%
Listed equities,4,CHINA EASTERN AIRLINES CORP LTD COMMON STOCK CNY 1,,,,,BP3R5X0,,,,2100198.81,1858857.74,0.00%
Listed equities,4,CHINA EVERBRIGHT BANK H,,,,,B5NRRJ0,,,,1085013.62,681302.02,0.00%
Listed equities,4,CHINA EVERBRIGHT ENVIRONMENT GROUP LTD COMMON STOCK HKD 0,,,,,6630940,,,,68417.03,55051.95,0.00%
Listed equities,4,CHINA FEIHE,,,,,BK0SBL1,,,,2250947.57,2550700.24,0.00%
Listed equities,4,CHINA GALAXY SEC H,,,,,B92NYF2,,,,1794722.89,2645703.55,0.00%
Listed equities,4,CHINA HONGQIAO GROUP,,,,,B44ZV94,,,,2705191.13,6614588.31,0.01%
Listed equities,4,CHINA INTERNATIONAL MARINE CONTAINERS GROUP CO LTD COMMON ST,,,,,B87RSJ4,,,,623641.36,701503.3,0.00%
Listed equities,4,CHINA INTL CPTL CORP H,,,,,BZ169C6,,,,222034.96,591843.58,0.00%
Listed equities,4,CHINA JINMAO HLDGS GROUP,,,,,B23TGR6,,,,4459180.59,908612.44,0.00%
Listed equities,4,CHINA LESSO GROUP HLDGS,,,,,BCDBKF8,,,,1192066.15,860057.27,0.00%
Listed equities,4,CHINA LIFE INSURANCE H,,,,,6718976,,,,2051619.12,6262104.87,0.01%
Listed equities,4,CHINA MENGNIU DAIRY CO,,,,,B01B1L9,,,,1922921.02,7020749.87,0.01%
Listed equities,4,CHINA MERCH ENER A(HK-C),,,,,BP3R8G4,,,,4576880.42,6491623.88,0.01%
Listed equities,4,CHINA MERCH SEC A (HK-C),,,,,BP3R303,,,,1084601.44,4598237.86,0.01%
Listed equities,4,CHINA MERCHANTS BANK H,,,,,B1DYPZ5,,,,1240916.29,10320482.9,0.01%
Listed equities,4,CHINA MERCHANTS PORT,,,,,6416139,,,,614139.26,1767260.2,0.00%
Listed equities,4,CHINA MERCHANTS PORT GROUP CO LTD COMMON STOCK CNY 1,,,,,BD25NM6,,,,568787.44,2576283.16,0.00%
Listed equities,4,CHINA MINSHENG BANK H,,,,,B57JY24,,,,7823838.54,5595976.28,0.01%
Listed equities,4,CHINA NATL BUILDING H,,,,,B0Y91C1,,,,3045765.23,2241801.88,0.00%
Listed equities,4,CHINA OILFIELD SVCS H,,,,,6560995,,,,36218.47,53015.19,0.00%
Listed equities,4,CHINA OVERSEAS GRAND OCEANS GROUP LTD COMMON STOCK HKD 0,,,,,6803247,,,,523189.06,192543.76,0.00%
Listed equities,4,CHINA OVERSEAS LAND &INV,,,,,6192150,,,,2877137.37,7417880.38,0.01%
Listed equities,4,CHINA PACIFIC INS GRP H,,,,,B2Q5H56,,,,2294507.42,12022299.7,0.02%
Listed equities,4,CHINA RAILWAY GROUP H,,,,,B297KM7,,,,83459.95,68718.06,0.00%
Listed equities,4,CHINA REINSURANCE (GRP)H,,,,,BYYN347,,,,5210963.03,942615.96,0.00%
Listed equities,4,CHINA RESOURCES CEMENT,,,,,B41XC98,,,,482943.75,159658.19,0.00%
Listed equities,4,CHINA RESOURCES LAND,,,,,6193766,,,,69221.94,324554.65,0.00%
Listed equities,4,CHINA RESOURCES PHARMA,,,,,BYNGG26,,,,712744.48,844707.33,0.00%
Listed equities,4,CHINA SHENHUA ENERGY H,,,,,B09N7M0,,,,637720.18,4455197.69,0.01%
Listed equities,4,CHINA STATE CON A (HK-C),,,,,BP3R2Q2,,,,62673.7,83207.47,0.00%
Listed equities,4,CHINA STATE CONSTRUCTION,,,,,B0BM5T8,,,,96057.68,244861.28,0.00%
Listed equities,4,CHINA TAIPING INSURANCE,,,,,6264048,,,,485421.91,1172797.54,0.00%
Listed equities,4,CHINA TOWER CORP H,,,,,BFZ2PK0,,,,13435797.88,3128808.82,0.00%
Listed equities,4,CHINA VANKE CO H,,,,,BN320P8,,,,2470498.74,2717301.64,0.00%
Listed equities,4,CHINA XD ELEC A (HK-C),,,,,BP3R671,,,,2134594.55,3584948.54,0.00%
