Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,283208441.0,0.12,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,Australia Dollar,,,,,,,-7124.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,Euro Member Countries,,,,,,,-1.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase & Co,Name of Institution,United States Dollar,,,,,,,-184809.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,-1145891218.0,-0.48,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,7054203.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,1350157.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Chile Peso,,,,,,,12754.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,China Yuan Renminbi (offshore),,,,,,,2.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Colombia Peso,,,,,,,25035.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Czech Republic Koruna,,,,,,,285546.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Denmark Krone,,,,,,,84727168.0,0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Euro Member Countries,,,,,,,105043144.0,0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hong Kong Dollar,,,,,,,1403932.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hungary Forint,,,,,,,61250.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,India Rupee,,,,,,,3012688.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Israel Shekel,,,,,,,-30247.0,0.0,,,,,,,nan,nan
