Name,Stock ID,Yahoo ticker,LC
American Water Works Co Inc,US0304201033,AWK,United States
Ameriprise Financial Inc,AU000000AMP6,AMP.AX,Australia
Amgen Inc,US0311621009,AMGN,United States
Amotiv Ltd,AU0000340770,AOV.AX,Australia
Amphenol Corp,US0320951017,APH,United States
Amplifon SpA,AU000000AMP6,AMP.AX,Australia
Amplitude Energy Ltd,AU0000361909,AEL.AX,Australia
Ampol Ltd,AU0000088338,ALD.AX,Australia
Amundi SA,FR0004125920,AMUN.PA,France
Analog Devices Inc,US0326541051,ADI,United States
Anglo American PLC,GB00B1XZS820,AAM.SW,Switzerland
Anheuser-Busch InBev SA/NV,BE0974293251,ABI.BR,Belgium
Ansell Ltd,AU000000ANN9,ANN.AX,Australia
Antofagasta PLC,GB0000456144,ANTO.L,United Kingdom
Aon PLC,IE00BLP1HW54,AON,United States
Apollo Global Management Inc,US03769M1062,APO,United States
AppLovin Corp,US03831W1080,APP,United States
Apple Inc,US0378331005,AAPL,United States
Applied Materials Inc,US0382221051,AMAT,United States
Aptiv PLC,JE00BTDN8H13,APTV,United States
Arafura Rare Earths Ltd,AU000000ARU5,ARU.AX,Australia
Arcadium Lithium PLC,AU0000305724,,
ArcelorMittal SA,LU1598757687,MT.AS,Netherlands
Arch Capital Group Ltd,BMG0450A1053,ACGL,United States
Archer-Daniels-Midland Co,GB00B02J6398,ADM.L,United Kingdom
Ares Management Corp,US03990B1017,ARES,United States
Argenx SE,US04016X1019,ARGX,United States
Arista Networks Inc,US0404132054,ANET,United States
Aristocrat Leisure Ltd,US0200021014,ALL,United States
Arkema SA,FR0010313833,AKE.PA,France
Armstrong World Industries Inc,US04247X1028,AWI,United States
Arthur J Gallagher & Co,US3635761097,AJG,United States
Asahi Group Holdings Ltd,JP3116000005,2502.T,Japan
Asahi Kasei Corp,JP3111200006,3407.T,Japan
Ashtead Group PLC,GB0000536739,AHT.L,United Kingdom
Asia Vital Components Co Ltd,TW0003017000,3017.TW,Taiwan
Asics Corp,JP3118000003,7936.T,Japan
Aspen Technology Inc,US29109X1063,,
Assa Abloy AB,SE0007100581,ASSA-B.ST,Sweden
Associated British Foods PLC,GB0006731235,ABF.L,United Kingdom
Assurant Inc,NZAIRE0001S2,AIR.NZ,New Zealand
Assured Guaranty Ltd,BMG0585R1060,AGO,United States
Astellas Pharma Inc,JP3942400007,4503.T,Japan
AstraZeneca PLC,GB0009895292,AZN.L,United Kingdom
Astral Ltd,INE006I01046,ASTRAL.NS,India
Atkore Inc,US0476491081,ATKR,United States
Atlas Copco AB,SE0017486889,ATCO-A.ST,Sweden
Atlas Copco AB,SE0017486897,0XXV.IL,United Kingdom
Atlassian Corp,US0494681010,TEAM,United States
Atmos Energy Corp,US0495601058,ATO,United States
Auckland International Airport Ltd,NZAIAE0002S6,AIA.NZ,New Zealand
Audinate Group Ltd,AU000000AD88,AD8.AX,Australia
Aurelia Metals Ltd,AU000000AMI1,AMI.AX,Australia
Aurizon Holdings Ltd,AU000000AZJ1,AZJ.AX,Australia
Aussie Broadband Ltd,AU0000106643,ABB.AX,Australia
Austal Ltd,AU000000ASB3,ASB.AX,Australia
Australia & New Zealand Banking Group Ltd,AU000000ANZ3,ANZ.AX,Australia
Australian Clinical Labs Ltd,AU0000148496,ACL.AX,Australia
Australian Finance Group Ltd,US0259321042,AFG,United States
Australian Vintage Ltd,AU000000AVG6,AVG.AX,Australia
Auto Trader Group PLC,GB00BVYVFW23,AUTO.L,United Kingdom
AutoZone Inc,US0533321024,AZO,United States
Autodesk Inc,US0527691069,ADSK,United States
Automatic Data Processing Inc,FR0010340141,ADP.PA,France
Avantor Inc,US05352A1007,AVTR,United States
Avery Dennison Corp,US0536111091,AVY,United States
Aviva PLC,GB00BPQY8M80,AV.L,United Kingdom
Avolta AG,CH0023405456,AVOL.SW,Switzerland
Axis Bank Ltd,INE238A01034,AXISBANK.BO,India
Axis Capital Holdings Ltd,BMG0692U1099,AXS,United States
