Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,NOK,,,,,,"$226,539",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,EUR,,,,,,"$224,652",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CHF,,,,,,"$223,615",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,SAR,,,,,,"$222,590",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,JPY,,,,,,"$213,111",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,SEK,,,,,,"$201,850",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,RUB,,,,,,"$186,226",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,MYR,,,,,,"$182,157",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,PHP,,,,,,"$175,385",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,KRW,,,,,,"$141,343",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,AED,,,,,,"$140,964",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,ILS,,,,,,"$140,244",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,GBP,,,,,,"$131,215",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,DKK,,,,,,"$128,649",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"CITIGROUP, INC.",JPY,,,,,,"$100,677",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,KWD,,,,,,"$87,577",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,THB,,,,,,"$67,431",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,QAR,,,,,,"$66,021",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CZK,,,,,,"$64,358",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,TRY,,,,,,"$59,819",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,TWD,,,,,,"$36,338",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,HUF,,,,,,"$33,789",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,CLP,,,,,,"$20,890",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,STATE STREET BANK AND TRUST,RON,,,,,,"$15,520",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,JPMORGAN CHASE & CO,CAD,,,,,,"$11,792",0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"CITIGROUP, INC.",GBP,,,,,,$206,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,MACQUARIE GROUP LTD.,SGD,,,,,,$142,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Cash,1,"CITIGROUP, INC.",EUR,,,,,,$87,0.0
