Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,KRW,,,,,,"12,130",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,MXN,,,,,,"304,722",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NOK,,,,,,"22,800",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,NZD,,,,,,"165,070",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PHP,,,,,,"1,218",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PLN,,,,,,"132,982",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RON,,,,,,"5,570",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RUB,,,,,,"93,726",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SAR,,,,,,"82,627",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SEK,,,,,,"106,521",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SGD,,,,,,"2,733,053",0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,THB,,,,,,862,0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TRY,,,,,,"15,144",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TWD,,,,,,"216,525",0.0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,USD,,,,,,"293,896,978",0.0069
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,ZAR,,,,,,"256,731",0.0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,AUD,,,,,,"38,983,009",0.0009
