Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Aroundtown SA,GR,AROUNDTOWN SA
Ashtead Group PLC,LN,ASHTEAD GROUP PLC
Assa Abloy AB,SS,ASSA ABLOY AB
Associated British Foods PLC,LN,ASSOCIATED BRITISH FOODS PLC
Assurant Inc,US,ASSURANT INC
Assured Guaranty Ltd,US,ASSURED GUARANTY LTD
AstraZeneca PLC,LN,ASTRAZENECA PLC
Asustek Computer Inc,TT,ASUSTEK COMPUTER INC
Atco Ltd/Canada,CN,ATCO LTD
Atlas Copco AB,M0,ATLAS COPCO AB
Atlas Copco AB,SS,ATLAS COPCO AB
Atlas Copco AB,M0,ATLAS COPCO AB SER`B`NPV (POST SPLIT)
Atlas Copco AB,SS,ATLAS COPCO AB SER`B`NPV (POST SPLIT)
Atmos Energy Corp,US,ATMOS ENERGY CORP
Atrium Ljungberg AB,SS,ATRIUM LJUNGBERG AB
Auckland International Airport Ltd,NZ,AUCKLAND INTERNATIONAL AIRPORT LTD
Auckland International Airport Ltd,AU,AUCKLAND INTERNATIONAL AIRPORT LTD
Audinate Group Ltd,AU,AUDINATE GROUP LTD
Australian Clinical Labs Ltd,AU,AUSTRALIAN CLINICAL LABS LTD ORD FULLY PAID DEFERRED SETTLEMENT
Auto Trader Group PLC,LN,AUTO TRADER GROUP PLC
AutoZone Inc,US,AUTOZONE INC
Autodesk Inc,US,AUTODESK INC
Autohome Inc,US,AUTOHOME INC
Automatic Data Processing Inc,US,AUTOMATIC DATA PROC.
AvalonBay Communities Inc,US,AVALONBAY COMMUNITIES INC
Avista Corp,US,AVISTA CORP
Avnet Inc,US,AVNET INC
Axis Capital Holdings Ltd,US,AXIS CAPITAL HOLDING
Azrieli Group Ltd,IT,AZRIELI GROUP
B3 SA - Brasil Bolsa Balcao,BZ,B3 SA BRASIL BOLSA BALCAO
BAE Systems PLC,LN,BAE SYSTEMS PLC
BASF SE,GR,BASF SE
BDO Unibank Inc,PM,BDO UNIBANK INC
BNP Paribas SA,FP,BNP PARIBAS SA
BNP Paribas SA,FP,BNP PARIBAS SA (AUSTRALIA)
BWP Trust,AU,BWP TRUST ORD
BXP Inc,US,BXP INC
Bachem Holding AG,SW,BACHEM HOLDING AG CHF0.01 REGD SUBD
Bajaj Auto Ltd,IN,BAJAJ AUTO
Baker Hughes Co,US,BAKER HUGHES COMPANY
Ball Corp,US,BALL CORP COM NPV
Banco BPM SpA,IM,BANCO BPM SPA
Banco Bradesco SA,BZ,BANCO BRADESCO SA-PREF
Banco Santander SA,SM,BANCO SANTANDER SA
Bank Central Asia Tbk PT,IJ,BANK CENTRAL ASIA TBK PT
Bank Leumi Le-Israel BM,IT,BANK LEUMI LE-ISRAEL
Bank OZK,US,BANK OZK COM USD0.01
Bank of America Corp,US,BANK OF AMERICA CORPORATION
Bank of China Ltd,HK,BANK OF CHINA LTD HK
Bank of New York Mellon Corp/The,US,BANK OF NEW YORK MELLON CORP
Bank of Queensland Ltd,AU,BANK OF QUEENSLAND
