Name/Kind of Investment Item (file1),Listed Country,Name/Kind of Investment Item (file2)
Global Net Lease Inc,US,GLOBAL NET LEASE INC
Global Payments Inc,US,GLOBAL PAYMENTS INC
GoDaddy Inc,US,GODADDY INC
Gold Road Resources Ltd,AU,GOLD ROAD RESOURCES LTD
Goldman Sachs Group Inc/The,US,GOLDMAN SACHS GROUP INC
Goldman Sachs Group Inc/The,US,GOLDMAN SACHS GROUP INC.
Goodman Group,AU,GOODMAN GROUP
Goodman Property Trust,NZ,GOODMAN PROPERTY TRUST
Grab Holdings Ltd,US,GRAB HOLDINGS LTD
Graco Inc,US,GRACO INC
Grand City Properties SA,GR,GRAND CITY PROPERTIES SA
Great-West Lifeco Inc,CN,GREAT WEST LIFECO
Growthpoint Properties Australia Ltd,AU,GROWTHPOINT PROPERTIES AUSTRALIA
Guidewire Software Inc,US,GUIDEWIRE SOFTWARE INC
H Lundbeck A/S,DC,H LUNDBECK A S SER B DKK1
H&R Block Inc,US,H & R BLOCK INCORPORATED
HCA Healthcare Inc,US,HCA HEALTHCARE INC
HDFC Life Insurance Co Ltd,IN,HDFC LIFE INSURANCE CO LTD
HEICO Corp,US,HEICO CORP
HEICO Corp,US,HEICO CORP COM
HF Sinclair Corp,US,HF SINCLAIR CORPOR COM
HMC Capital Ltd,AU,HMC CAPITAL LTD
HSBC Holdings PLC,LN,HSBC HOLDINGS PLC
HSBC Holdings PLC,HK,HSBC HOLDINGS PLC
Haidilao International Holding Ltd,HK,HAIDILAO INTERNATIONAL HOLDING LTD
Haleon PLC,LN,HALEON PLC
Halliburton Co,US,HALLIBURTON CO
Hamilton Lane Inc,US,HAMILTON LANE INC
Hana Financial Group Inc,KS,HANA FINANCIAL GROUP
Hang Seng Bank Ltd,HK,HANG SENG BANK
Hannover Rueck SE,GR,HANNOVER RUECK SE
Hargreaves Lansdown PLC,LN,HARGREAVES LANSDOWN PLC
Hartford Financial Services Group Inc/The,US,HARTFORD FINANCIAL SERVICES GROUP INC
Harvey Norman Holdings Ltd,AU,HARVEY NORMAN HOLDINGS LTD
Hasbro Inc,US,HASBRO INC
Healius Ltd,AU,HEALIUS LTD ORDINARY FULLY PAID
Healthcare Realty Trust Inc,US,HEALTHCARE REALTY TRUST INC
Healthpeak Properties Inc,US,HEALTHPEAK PROPERTIES INC
Heineken Holding NV,,HEINEKEN HOLDING NV
Heineken NV,,HEINEKEN NV
Heiwa Real Estate REIT Inc,JP,HEIWA REAL ESTATE REIT
Helios Towers PLC,LN,HELIOS TOWERS PLC
Henkel AG & Co KGaA,GR,HENKEL AG & CO KGAA
Henkel AG & Co KGaA,GR,HENKEL AG & CO KGAA NON VTG PREF
Hermes International SCA,FP,HERMES INTERNATIONAL
Hewlett Packard Enterprise Co,US,HEWLETT PACKARD ENTERPRISE CO
Highwoods Properties Inc,US,HIGHWOODS PROPERTIES INC
Hokuriku Electric Power Co,JP,HOKURIKU ELECTRIC POWER COMPANY
Hologic Inc,US,HOLOGIC INC
Home Depot Inc/The,US,HOME DEPOT INC
HomeCo Daily Needs REIT,AU,HOMECO DAILY NEEDS REIT ORDINARY UNITS FULLY PAID DEFERRED SETTLEMENT
Hon Hai Precision Industry Co Ltd,TT,HON HAI PRECISION INDUSTRY
Honda Motor Co Ltd,JP,HONDA MOTOR CO LTD
Hong Leong Bank Bhd,MK,HONG LEONG BANK BHD
Hongkong Land Holdings Ltd,SP,HONGKONG LAND HOLDINGS LTD
Hoshino Resorts REIT Inc,JP,HOSHINO RESORTS REIT
Host Hotels & Resorts Inc,US,HOST HOTELS & RESORTS INC
Hoya Corp,JP,HOYA CORPORATION JPY
HubSpot Inc,US,HUBSPOT INC
Hubbell Inc,US,HUBBELL INC
Hufvudstaden AB,SS,HUFVUDSTADEN AB-A SHS
Hulic Reit Inc,JP,HULIC REIT INC
Humana Inc,US,HUMANA INC
Huntington Ingalls Industries Inc,US,HUNTINGTON INGALLS INDUSTRIES INC
Hydro One Ltd,CN,HYDRO ONE LTD
Hysan Development Co Ltd,HK,HYSAN DEVELOPMENT CO
Hyundai Mobis Co Ltd,KS,HYUNDAI MOBIS
Hyundai Motor Co,KS,HYUNDAI MOTOR CO LTD
ICADE,FP,ICADE
ICL Group Ltd,IT,ICL GROUP LTD
ICON PLC,US,ICON PLC
IDEX Corp,US,IDEX CORP
IDEXX Laboratories Inc,US,IDEXX LABORATORIES INC
IDP Education Ltd,AU,IDP EDUCATION LTD
IGM Financial Inc,CN,IGM FINANCIAL INC
ING Groep NV,,ING GROEP NV
IQVIA Holdings Inc,US,IQVIA HOLDINGS INC
ITOCHU Corp,JP,ITOCHU CORP JPY
Iberdrola SA,SM,IBERDROLA SA
Illinois Tool Works Inc,US,ILLINOIS TOOL WORKS
Illumina Inc,US,ILLUMINA INC
Imperial Oil Ltd,CN,IMPERIAL OIL LTD
InPost SA,,INPOST SA
Incitec Pivot Ltd,AU,INCITEC PIVOT LTD
Incyte Corp,US,INCYTE CORP
Independence Realty Trust Inc,US,INDEPENDENCE REALTY TRUST INC
Industrial & Commercial Bank of China Ltd,HK,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
Industrial & Commercial Bank of China Ltd,C1,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
Industrivarden AB,SS,INDUSTRIVARDEN AB
Industrivarden AB,SS,INDUSTRIVARDEN AB SER C NPV
Infineon Technologies AG,GR,INFINEON TECHNOLOGIES AG
Informa PLC,LN,INFORMA PLC
Infosys Ltd,US,INFOSYS LTD
Infosys Ltd,IN,INFOSYS LTD
Ingenia Communities Group,AU,INGENIA COMMUNITIES GROUP
Ingersoll Rand Inc,US,INGERSOLL RAND INC
Innovative Industrial Properties Inc,US,INNOVATIVE INDUSTRIAL PROPERTIES INC
Inpex Corp,JP,INPEX CORPORATION
Insignia Financial Ltd,AU,INSIGNIA FINANCIAL LTD
Inspire Medical Systems Inc,US,INSPIRE MEDICAL SYSTEMS INC
Intact Financial Corp,CN,INTACT FINANCIAL CORPORATION
Integral Diagnostics Ltd,AU,INTEGRAL DIAGNOSTICS LTD
Intel Corp,US,INTEL CORP
InterContinental Hotels Group PLC,LN,INTERCONTINENTAL HOTELS GROUP PLC
InterGlobe Aviation Ltd,IN,INTERGLOBE AVIATION LTD
Intercontinental Exchange Inc,US,INTERCONTINENTAL EXCHANGE INC
International Business Machines Corp,US,INTERNATIONAL BUSINESS MACHINES CORP CAP STK
International Flavors & Fragrances Inc,US,INTERNATIONAL FLAVORS & FRAGRANCES INC
Intesa Sanpaolo SpA,IM,INTESA SANPAOLO SPA
Intuit Inc,US,INTUIT INC
Intuitive Surgical Inc,US,INTUITIVE SURGICAL INC
InvenTrust Properties Corp,US,INVENTRUST PROPERTIES CORP
Investec PLC,LN,INVESTEC PLC
Invincible Investment Corp,JP,INVINCIBLE INVESTMENT CORP REIT
Invitation Homes Inc,US,INVITATION HOMES INC
Iron Mountain Inc,US,IRON MOUNTAIN INC
Isuzu Motors Ltd,JP,ISUZU MOTORS
Itau Unibanco Holding SA,US,ITAU UNIBANCO HOLDING SA
JBG SMITH Properties,US,JBG SMITH PROPERTIES
JD.com Inc,HK,JD.COM INC
JD.com Inc,US,JD.COM INC
JTEKT Corp,JP,JTEKT CORPORATION
Jabil Inc,US,JABIL INC
James Hardie Industries PLC,AU,JAMES HARDIE INDUSTRIES PLC
Japan Airlines Co Ltd,JP,JAPAN AIRLINES CO LTD
Japan Aviation Electronics Industry Ltd,JP,JAPAN AVIATION ELECTRONICS
Japan Excellent Inc,JP,JAPAN EXCELLENT INC
Japan Exchange Group Inc,JP,JAPAN EXCHANGE GROUP INC
Japan Hotel REIT Investment Corp,JP,JAPAN HOTEL REIT INVESTMENT CORP
Japan Logistics Fund Inc,JP,JAPAN LOGISTICS FUND INC
Japan Metropolitan Fund Invest,JP,JAPAN METROPOLITAN FUND INVESTMENT CORPORATION
Japan Post Holdings Co Ltd,JP,JAPAN POST HOLDINGS CO LTD
Jeronimo Martins SGPS SA,PL,JERONIMO MARTINS SGPS SA
Johnson & Johnson,US,JOHNSON & JOHNSON COM
Johnson Controls International plc,US,JOHNSON CONTROLS INTERNATIONAL PLC
Judo Capital Holdings Ltd,AU,JUDO CAPITAL HOLDINGS LTD
K's Holdings Corp,JP,K S HOLDINGS CORP
KB Financial Group Inc,KS,KB FINANCIAL GROUP INC
KBC Group NV,BB,KBC GROUP NV
KDDI Corp,JP,KDDI CORP
KE Holdings Inc,US,KE HOLDINGS INC ADR
KKR & Co Inc,US,KKR AND CO INC
Kao Corp,JP,KAO CORPORATION
Karoon Energy Ltd,AU,KAROON ENERGY LTD ORDINARY FULLY PAID
Kasikornbank PCL,TB,KASIKORNBANK PCL NVDR
Kennedy-Wilson Holdings Inc,US,KENNEDY WILSON HOLDINGS INC
Keppel DC REIT,SP,KEPPEL DC REIT UNITS
Kerry Group PLC,LN,KERRY GROUP PLC-A
Kerry Group PLC,ID,KERRY GROUP PLC-A
Keurig Dr Pepper Inc,US,KEURIG DR PEPPER INC
Keyence Corp,JP,KEYENCE CORP NPV
Kia Corp,KS,KIA CORPORATION
Kikkoman Corp,JP,KIKKOMAN CORPORATION JPY
Kilroy Realty Corp,US,KILROY REALTY CORP
Kimberly-Clark Corp,US,KIMBERLY CLARK CORP
Kimco Realty Corp,US,KIMCO REALTY CORP
Kinder Morgan Inc,US,KINDER MORGAN INC
Kingfisher PLC,LN,KINGFISHER PLC GBP0.1571
Kingspan Group PLC,ID,KINGSPAN GROUP PLC
Kinross Gold Corp,CN,KINROSS GOLD CORP
Klepierre SA,FP,KLEPIERRE
Knorr-Bremse AG,GR,KNORR BREMSE AG
Kogan.com Ltd,AU,KOGAN COM LTD ORDINARY FULLY PAID
Kojamo Oyj,FH,KOJAMO OYJ
Komatsu Ltd,JP,KOMATSU LTD JPY
Konami Group Corp,JP,KONAMI GROUP CORP
Kongsberg Gruppen ASA,NO,KONGSBERG GRUPPEN AS
Koninklijke Ahold Delhaize NV,,KONINKLIJKE AHOLD DELHAIZE NV
Koninklijke KPN NV,,KONINKLIJKE KPN NV
Koninklijke Philips NV,,KONINKLIJKE PHILIPS NV
Koninklijke Vopak NV,,KONINKLIJKE VOPAK NV
Korea Electric Power Corp,KS,KOREA ELECTRIC POWER CORPORATION
Kyowa Kirin Co Ltd,JP,KYOWA KIRIN CO LTD
Kyushu Electric Power Co Inc,JP,KYUSHU ELECTRIC POWER
L'Oreal SA,FP,L'OREAL
LEG Immobilien SE,GR,LEG IMMOBILIEN SE
LG Chem Ltd,KS,LG CHEM LTD
LPL Financial Holdings Inc,US,LPL FINANCIAL HOLDINGS INC
LTC Properties Inc,US,LTC PROPERTIES INC
LXP Industrial Trust,US,LXP INDUSTRIAL TRUST
La Francaise des Jeux SAEM,FP,LA FRANCAISE DES JEUX SA
LaSalle Logiport REIT,JP,LASALLE LOGIPORT REIT
Lam Research Corp,US,LAM RESEARCH CORP COM USD 0.001 P S
Land Securities Group PLC,LN,LAND SECURITIES GROUP PLC
Largan Precision Co Ltd,TT,LARGAN PRECISION CO LTD
Las Vegas Sands Corp,US,LAS VEGAS SANDS CORP
Latam Airlines Group SA,CI,LATAM AIRLINES GROUP SA ADR
Legal & General Group PLC,LN,LEGAL & GENERAL GROUP PLC
Legrand SA,FP,LEGRAND SA
Lendlease Corp Ltd,AU,LENDLEASE
Lendlease Global Commercial REIT,SP,LENDLEASE
Lendlease Global Commercial REIT,SP,LENDLEASE GLOBAL COMMERCIAL REIT
Lennar Corp,US,LENNAR CORPORATION CLASS A
Lenovo Group Ltd,HK,LENOVO GROUP LTD
Leonardo SpA,IM,LEONARDO  SpA
Li Ning Co Ltd,HK,LI NING CO LTD
Life360 Inc,AU,LIFE360 INC
Light & Wonder Inc,AU,LIGHT AND WONDER INC
Linde PLC,US,LINDE PLC
Linde PLC,GR,LINDE PLC
Lloyds Banking Group PLC,LN,LLOYDS BANKING GROUP PLC
Lockheed Martin Corp,US,LOCKHEED MARTIN CORP COM STK USD0.01
Loews Corp,US,LOEWS CORP
Logitech International SA,SW,LOGITECH INTERNATIONAL SA
Lojas Renner SA,BZ,LOJAS RENNER SA
London Stock Exchange Group PLC,LN,LONDON STOCK EXCHANGE
LondonMetric Property PLC,LN,LONDONMETRIC PROPERTY PLC
Lupin Ltd,IN,LUPIN LTD
Lynas Rare Earths Ltd,AU,LYNAS RARE EARTHS LTD
LyondellBasell Industries NV,US,LYONDELLBASELL INDUSTRIES
MEG Energy Corp,CN,MEG ENERGY CORP
MGM Resorts International,US,MGM RESORTS INTERNATIONAL
MS&AD Insurance Group Holdings Inc,JP,MS & AD INSURANCE GROUP HOLDINGS
MSCI Inc,US,MSCI INC
MTR Corp Ltd,HK,MTR CORP
MTU Aero Engines AG,GR,MTU AERO ENGINES AG
Macerich Co/The,US,MACERICH CO
Macquarie Group Ltd,AU,MACQUARIE GROUP LTD
Magna International Inc,CN,MAGNA INTERNATIONAL INC
Magna International Inc,US,MAGNA INTERNATIONAL INC
MakeMyTrip Ltd,US,MAKEMYTRIP LTD
Makita Corp,JP,MAKITA CORPORATION
Manhattan Associates Inc,US,MANHATTAN ASSOCIATES INC
Manulife Financial Corp,CN,MANULIFE FINANCIAL CORP
Mapletree Industrial Trust,SP,MAPLETREE INDUSTRIAL TRUST
Mapletree Logistics Trust,SP,MAPLETREE LOGISTICS TRUST
Mapletree Pan Asia Commercial Trust,SP,MAPLETREE PAN ASIA COMMERCIAL TRUST
Marks & Spencer Group PLC,LN,MARKS & SPENCER GROUP
Masco Corp,US,MASCO CORP USD
Mastercard Inc,US,MASTERCARD INC - CLASS A
Match Group Inc,US,MATCH GROUP INC
Max Healthcare Institute Ltd,IN,MAX HEALTHCARE INSTITUTE LTD
Mazda Motor Corp,JP,MAZDA MOTOR CORP
McDonald's Corp,US,MCDONALD'S CORP
McKesson Corp,US,MCKESSON CORP
MediaTek Inc,TT,MEDIATEK INC
Medical Properties Trust Inc,US,"MEDICAL PROPERTIES TRUST, INC."
Medipal Holdings Corp,JP,MEDIPAL HOLDINGS CORPORATION
Medpace Holdings Inc,US,MEDPACE HOLDINGS INC
Medtronic PLC,US,MEDTRONIC PLC
Meituan,HK,MEITUAN
Melisron Ltd,IT,MELISRON LTD
MercadoLibre Inc,US,MERCADOLIBRE INC
Mercedes-Benz Group AG,GR,MERCEDES-BENZ GROUP AG
Mercialys SA,FP,MERCIALYS
Merck & Co Inc,US,MERCK & CO INC NEW COM
Merlin Properties Socimi SA,SM,MERLIN PROPERTIES SOCIMI SA
MetLife Inc,US,METLIFE INC
Meta Platforms Inc,US,META PLATFORMS INC
Metropolitan Bank & Trust Co,PM,METROPOLITAN BANK & TRUST COMPANY
Microchip Technology Inc,US,MICROCHIP TECHNOLOGY INC
Micron Technology Inc,US,MICRON TECHNOLOGY INC USD
Microsoft Corp,US,MICROSOFT CORP
Mid-America Apartment Communities Inc,US,MID-AMERICA APARTMENT COMMUNITIES
Midea Group Co Ltd,C2,MIDEA GROUP CO LTD
Mineral Resources Ltd,AU,MINERAL RESOURCES LTD
Mirvac Group,AU,MIRVAC GROUP FINANCE LTD
Mirvac Group,AU,MIRVAC GROUP PROPERTY TRUST
Mitsubishi Chemical Group Corp,JP,MITSUBISHI CHEMICAL GROUP CORPORATION
Mitsubishi Corp,JP,MITSUBISHI CORP
Mitsubishi Electric Corp,JP,MITSUBISHI ELECTRIC
Mitsubishi Estate Co Ltd,JP,MITSUBISHI ESTATE
Mitsubishi Estate Logistics REIT Investment Corp,JP,MITSUBISHI ESTATE
Mitsubishi Estate Logistics REIT Investment Corp,JP,MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORPORATION
Mitsubishi Heavy Industries Ltd,JP,MITSUBISHI HEAVY INDUSTRIES LTD
Mitsubishi UFJ Financial Group Inc,JP,MITSUBISHI UFJ FINANCIAL
Mitsui Fudosan Co Ltd,JP,MITSUI FUDOSAN CO
Mitsui Fudosan Logistics Park Inc,JP,MITSUI FUDOSAN LOGISTICS PARK INC
Mizuho Financial Group Inc,JP,MIZUHO FINANCIAL GROUP INC
Moderna Inc,US,MODERNA INC
Moncler SpA,IM,MONCLER SPA
Monday.com Ltd,US,MONDAY COM LTD
Mondelez International Inc,US,MONDELEZ INTERNATIONAL INC
Mondi PLC,LN,MONDI PLC ORD EUR0.22
Monolithic Power Systems Inc,US,MONOLITHIC POWER SYSTEMS INC
MonotaRO Co Ltd,JP,MONOTARO CO LTD
Morgan Stanley,US,MORGAN STANLEY INVESTMENT MANAGEMENT (AUSTRALIA) PTY LIMITED
Mori Trust Reit Inc,JP,MORI TRUST REIT INC
Motorola Solutions Inc,US,MOTOROLA SOLUTIONS INC
Mowi ASA,NO,MOWI ASA
Mr Price Group Ltd,SJ,MR PRICE GROUP
NEC Corp,JP,NEC CORPORATION
NETSTREIT Corp,US,NETSTREIT CORP
NGK Insulators Ltd,JP,NGK INSULATORS LTD
NIKE Inc,US,NIKE INC CL B
NN Group NV,,NN GROUP NV
NNN REIT Inc,US,NNN REIT INC
NOK Corp,JP,NOK CORP
NP3 Fastigheter AB,SS,NP3 FASTIGHETER AB
NRG Energy Inc,US,NRG ENERGY INC
NRW Holdings Ltd,AU,NRW HOLDINGS LTD
NU Holdings Ltd/Cayman Islands,US,NU HOLDINGS LTD
NVIDIA Corp,US,NVIDIA CORP
NVR Inc,US,NVR INC
NXP Semiconductors NV,US,NXP SEMICONDUCTORS
Nanosonics Ltd,AU,NANOSONICS LTD
Nasdaq Inc,US,NASDAQ INC
NatWest Group PLC,LN,NATWEST GROUP PLC ORD
National Bank of Canada,CN,NATIONAL BANK OF CANADA
National Grid PLC,LN,NATIONAL GRID
National Health Investors Inc,US,NATIONAL HEALTH INVESTORS
National Storage Affiliates Trust,US,NATIONAL STORAGE AFFILIATES TRUST
National Storage REIT,AU,NATIONAL STORAGE REIT STAPLED SECURITY FULLY PAID
Nestle SA,SW,NESTLE SA
NetApp Inc,US,NETAPP INC
NetEase Inc,US,NETEASE INC
NetEase Inc,HK,NETEASE INC
NetEase Inc,US,NETEASE INC SPON ADS EACH REP 25 ORD SH
NetEase Inc,HK,NETEASE INC SPON ADS EACH REP 25 ORD SH
Netflix Inc,US,NETFLIX INC
Netwealth Group Ltd,AU,NETWEALTH GROUP LTD
Neuren Pharmaceuticals Ltd,AU,NEUREN PHARMACEUTICALS LTD
Neurocrine Biosciences Inc,US,NEUROCRINE BIOSCIENCES INC
New Oriental Education & Technology Group Inc,HK,NEW ORIENTAL EDUCA
Newell Brands Inc,US,NEWELL BRANDS INC
Newmont Corp,AU,NEWMONT CORP
Newmont Corp,AU,NEWMONT CORPORATION
News Corp,AU,NEWS CORP
News Corp,US,NEWS CORP
News Corp,AU,NEWS CORPORATION CLASS B
News Corp,US,NEWS CORPORATION CLASS B
NexGen Energy Ltd,AU,NEXGEN ENERGY LTD
NexPoint Residential Trust Inc,US,NEXPOINT RESIDENTIAL TRUST INC
Nexon Co Ltd,JP,NEXON CO LTD
Next PLC,LN,NEXT PLC
NextEra Energy Inc,US,NEXTERA ENERGY INC
NiSource Inc,US,NISOURCE INC
Nice Ltd,IT,NICE  LTD
Nintendo Co Ltd,JP,NINTENDO CO LTD
Nippon Accommodations Fund Inc,JP,NIPPON ACCOMMODATIONS FUND
Nippon Building Fund Inc,JP,NIPPON BUILDING FUND INC
Nippon Prologis REIT Inc,JP,NIPPON PROLOGIS REIT INC
Nippon Steel Corp,JP,NIPPON STEEL CORPORATION
Nippon Yusen KK,JP,NIPPON YUSEN KK NPV
Nitto Denko Corp,JP,NITTO DENKO CORPORATION
Nokia Oyj,US,NOKIA OYJ
Nokia Oyj,FH,NOKIA OYJ
Nokia Oyj,US,NOKIA OYJ NPV
Nokia Oyj,FH,NOKIA OYJ NPV
Nomura Holdings Inc,JP,NOMURA HOLDINGS INC
Nomura Research Institute Ltd,JP,NOMURA RESEARCH INSTITUTE LTD
Nordea Bank Abp,FH,NORDEA BANK ABP
Norfolk Southern Corp,US,NORFOLK SOUTHERN CORP USD
Northern Star Resources Ltd,AU,NORTHERN STAR RESOURCES LTD
Northern Trust Corp,US,NORTHERN TRUST CORP
Nova Ltd,US,NOVA LTD
Novartis AG,SW,NOVARTIS AG
Nucor Corp,US,NUCOR CORP
Nutanix Inc,US,NUTANIX INC
Nutrien Ltd,US,NUTRIEN LTD COM NPV
Nutrien Ltd,CN,NUTRIEN LTD COM NPV
Nyfosa AB,SS,NYFOSA AB NPV
OMV AG,AV,OMV AG
ON Semiconductor Corp,US,ON SEMICONDUCTOR CORPORATION
ONEOK Inc,US,ONEOK INC
ORIX Corp,JP,ORIX CORPORATION
Obic Co Ltd,JP,OBIC CO LTD
Occidental Petroleum Corp,US,OCCIDENTAL PETROLEUM CORP
Okta Inc,US,OKTA INC
Old Dominion Freight Line Inc,US,OLD DOMINION FREIGHT LINE INC
Olympus Corp,JP,OLYMPUS CORP
Omega Healthcare Investors Inc,US,OMEGA HEALTHCARE INVESTORS
Open Text Corp,CN,OPEN TEXT CORP
Oracle Corp,US,ORACLE CORP
Oracle Corp,US,ORACLE CORPORATION JAPAN
Oracle Corp Japan,JP,ORACLE CORP
Orion Oyj,FH,ORION OYJ
Orix JREIT Inc,JP,ORIX JREIT INC
Orkla ASA,NO,ORKLA ASA
Osaka Gas Co Ltd,JP,OSAKA GAS CO LTD JPY
Otsuka Corp,JP,OTSUKA CORPORATION
Oversea-Chinese Banking Corp Ltd,SP,OVERSEA-CHINESE BANKING CORP
Ovintiv Inc,US,OVINTIV INC
Owens Corning,US,OWENS CORNING INC
PACCAR Inc,US,PACCAR INC
PB Fintech Ltd,IN,PB FINTECH LTD
PEXA Group Ltd,AU,PEXA GROUP LTD PLC
PG&E Corp,US,PG AND E CORP
PLDT Inc,PM,PLDT INC
PLDT Inc,PM,PLDT INC ADR EACH REP 1 ORD SHS
PPL Corp,US,PPL CORPORATION
PRS REIT Plc/The,LN,PRS REIT PLC
PSP Swiss Property AG,SW,PSP SWISS PROPERTY AG
PVH Corp,US,PVH CORP COM USD1.00
Packaging Corp of America,US,PACKAGING CORP OF AMERICA
Palantir Technologies Inc,US,PALANTIR TECHNOLOGIES INC
Palo Alto Networks Inc,US,PALO ALTO NETWORKS INC
Pan American Silver Corp,CN,PAN AMERICAN SILVER CORP
Panasonic Holdings Corp,JP,PANASONIC HOLDINGS CORP
Pandox AB,SS,PANDOX AB
Paramount Group Inc,US,PARAMOUNT GROUP INC
Park Hotels & Resorts Inc,US,PARK HOTELS & RESORTS INC
Parker-Hannifin Corp,US,PARKER HANNIFIN CORP
Parkway Life Real Estate Investment Trust,SP,PARKWAY LIFE REAL ESTATE INVESTMENT TRUST
PayPal Holdings Inc,US,PAYPAL HOLDINGS INC
Paychex Inc,US,PAYCHEX INC
Pebblebrook Hotel Trust,US,PEBBLEBROOK HOTEL TRUST
Pembina Pipeline Corp,CN,PEMBINA PIPELINE
Pentair PLC,US,PENTAIR PLC COM
PepsiCo Inc,US,PEPSICO INC CAP 2/3
Perenti Ltd,AU,PERENTI LTD
Perseus Mining Ltd,AU,PERSEUS MINING LTD
PetroChina Co Ltd,HK,PETROCHINA CO LTD H
Pfizer Inc,US,PFIZER INC COM
Phillips Edison & Co Inc,US,PHILLIPS EDISON & CO INC
Phoenix Mills Ltd/The,IN,PHOENIX MILLS LTD
Pilbara Minerals Ltd,AU,PILBARA MINERALS LTD
Pinnacle Investment Management Group Ltd,AU,PINNACLE INVESTMENT MANAGEMENT GROUP LTD
Pinnacle West Capital Corp,US,PINNACLE WEST CAPITAL
Pinterest Inc,US,PINTEREST INC
Platinum Asset Management Ltd,AU,PLATINUM ASSET MANAGEMENT LTD
Pop Mart International Group Ltd,HK,POP MART INTERNATIONAL GROUP LTD
Popular Inc,US,POPULAR INC COM USD6 POST REV SPLIT
Porsche Automobil Holding SE,GR,PORSCHE AUTOMOBIL HOLDING SE
Power Corp of Canada,CN,POWER CORP OF CANADA CAD
Powszechna Kasa Oszczednosci Bank Polski SA,PW,POWSZECHNA KASA OS
Principal Financial Group Inc,US,PRINCIPAL FINANCIAL GROUP
Pro Medicus Ltd,AU,PRO MEDICUS LTD
Progress Software Corp,US,PROGRESS SOFTWARE CORPORATION
Progressive Corp/The,US,PROGRESSIVE CORP
Prologis Inc,US,PROLOGIS INC COM
Prosus NV,,PROSUS NV
Prudential Financial Inc,US,PRUDENTIAL FINANCIAL INC
Prysmian SpA,IM,PRYSMIAN SPA
Public Service Enterprise Group Inc,US,PUBLIC SERVICE ENTERPRISE GROUP INC
Public Storage,US,PUBLIC STORAGE
Publicis Groupe SA,FP,PUBLICIS GROUPE
Pure Storage Inc,US,PURE STORAGE INC
Q2 Holdings Inc,US,Q2 HOLDINGS INC
QBE Insurance Group Ltd,AU,QBE INSURANCE GROUP LTD
QIAGEN NV,S1,QIAGEN NV ORD EUR0.01 POST REV SPLT
QUALCOMM Inc,US,QUALCOMM INC
Qorvo Inc,US,QORVO INC
Quanta Computer Inc,TT,QUANTA COMPUTER INC
Quanta Services Inc,US,QUANTA SERVICES INC
Qube Holdings Ltd,AU,QUBE HOLDINGS LTD
Quest Diagnostics Inc,US,QUEST DIAGNOSTICS
RB Global Inc,CN,RB GLOBAL INC COM NPV
REA Group Ltd,AU,REA GROUP LTD
RELX PLC,LN,RELX PLC
RELX PLC,,RELX PLC
RLJ Lodging Trust,US,RLJ LODGING TRUST ORD
ROBLOX Corp,US,ROBLOX CORPORATION COM CL A ORD SHS
ROCKWOOL A/S,DC,ROCKWOOL A/S
RPM International Inc,US,RPM INTERNATIONAL INC
RTX Corp,US,RTX CORPORATION
RWE AG,GR,RWE AG
Radian Group Inc,US,RADIAN GROUP INC
Rakus Co Ltd,JP,RAKUS CO LTD
Ramsay Health Care Ltd,AU,RAMSAY HEALTH CARE
Randstad NV,,RANDSTAD NV
Realty Income Corp,US,REALTY INCOME CORPORATION
Reckitt Benckiser Group PLC,LN,RECKITT BENCKISER GROUP PLC
Regency Centers Corp,US,REGENCY CENTERS CORPORATION
Regeneron Pharmaceuticals Inc,US,REGENERON PHARMACEUTICALS INC
Region RE Ltd,AU,REGION RE LTD
Regis Resources Ltd,AU,REGIS RESOURCES LTD
Reliance Inc,US,RELIANCE INC
Repsol SA,SM,REPSOL SA
Republic Services Inc,US,REPUBLIC SERVICES INC
ResMed Inc,AU,RESMED INC
ResMed Inc,US,RESMED INC
Resona Holdings Inc,JP,RESONA HOLDINGS INC
Retail Estates NV,BB,RETAIL ESTATES NV
Retail Opportunity Investments Corp,US,RETAIL OPPORTUNITY INVESTMENT
Rexel SA,FP,REXEL SA
Rexford Industrial Realty Inc,US,REXFORD INDUSTRIAL REALTY INC
Rheinmetall AG,GR,RHEINMETALL AG
Rio Tinto PLC,LN,RIO TINTO PLC ORD
RioCan Real Estate Investment Trust,CN,RIOCAN REAL ESTATE INVESTMENT TRUST
Rivian Automotive Inc,US,RIVIAN AUTOMOTIVE INC
Robinhood Markets Inc,US,ROBINHOOD MARKETS INC
Roche Holding AG,SW,ROCHE HOLDING AG
Roku Inc,US,ROKU INC
Rollins Inc,US,ROLLINS INC
Roper Technologies Inc,US,ROPER TECHNOLOGIES INC
Ross Stores Inc,US,ROSS STORES INC
Royal Bank of Canada,CN,ROYAL BANK OF CANADA
Royalty Pharma PLC,US,ROYALTY PHARMA PLC
Ryman Hospitality Properties Inc,US,RYMAN HOSPITALITY PROPERTIES INC
S&P Global Inc,US,S AND P GLOBAL INC COM
SBA Communications Corp,US,SBA COMMUNICATIONS CORP
SBI Holdings Inc,JP,SBI HOLDINGS INC NPV
SCOR SE,FP,SCOR SE
SEB SA,FP,SEB SA
SEI Investments Co,US,SEI INVESTMENTS COMPANY
SGS SA,SW,SGS SA
