Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting,_Listed Country (before),_Listed Country (after)
31/12/2024,Care Super,Balanced,Listed Equity,1,Akbank TAS,,AKBNK,TI,8775.0,,,25992.0,0.0,TI,Turkey
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Bank,,RJHI,AB,83501.0,,,3395487.0,0.0001,AB,Saudi Arabia
31/12/2024,Care Super,Balanced,Listed Equity,1,Al Rajhi Co for Co-operative Insurance,,ARCCI,AB,3760.0,,,277329.0,0.0,AB,Saudi Arabia
31/12/2024,Care Super,Balanced,Listed Equity,1,Albertsons Cos Inc,,ACI,US,5317.0,,,168663.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AAI,AU,847287.0,,,50261048.0,0.0012,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcoa Corp,,AA,US,114291.0,,,6973945.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alcon Inc,,ALC,SW,175103.0,,,23998089.0,0.0006,SW,Switzerland
31/12/2024,Care Super,Balanced,Listed Equity,1,Alfresa Holdings Corp,,2784,JP,400.0,,,8894.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Algonquin Power & Utilities Corp,,AQN,CN,8836.0,,,63310.0,0.0,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,Alibaba Group Holding Ltd,,BABA,US,33025.0,,,4522634.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alibaba Group Holding Ltd,,9988,HK,1684531.0,,,28860507.0,0.0007000000000000001,HK,Hong Kong
31/12/2024,Care Super,Balanced,Listed Equity,1,Align Technology Inc,,ALGN,US,26868.0,,,9048295.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Allegion plc,,ALLE,US,87110.0,,,18385780.0,0.0004,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Allegro.eu SA,,ALE,PW,90336.0,,,956535.0,0.0,PW,Poland
31/12/2024,Care Super,Balanced,Listed Equity,1,ALLETE Inc,,ALE,US,686.0,,,71789.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alliance Aviation Services Ltd,,AQZ,AU,1422167.0,,,4223835.0,0.0001,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Alliant Energy Corp,,LNT,US,2922.0,,,279096.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Allianz SE,,ALV,GR,39841.0,,,19716529.0,0.0005,GR,Germany
31/12/2024,Care Super,Balanced,Listed Equity,1,Ally Financial Inc,,ALLY,US,210681.0,,,12253285.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alnylam Pharmaceuticals Inc,,ALNY,US,10864.0,,,4129042.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alpha Dhabi Holding PJSC,,ALPHADHA,UH,944938.0,,,4944557.0,0.0001,UH,United Arab Emirates
31/12/2024,Care Super,Balanced,Listed Equity,1,Alpha HPA Ltd,,A4N,AU,213646.0,,,190145.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Alphabet Inc,,GOOGL,US,589910.0,,,180360106.0,0.0043,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alphabet Inc,,GOOG,US,516231.0,,,158783793.0,0.0037,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Alps Alpine Co Ltd,,6770,JP,19168.0,,,317648.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,ALS Ltd,,ALQ,AU,2953403.0,,,44537317.0,0.0011,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Amadeus IT Group SA,,AMS,SM,53032.0,,,6048909.0,0.0001,SM,Spain
31/12/2024,Care Super,Balanced,Listed Equity,1,Amazon.com Inc,,AMZN,US,860213.0,,,304808515.0,0.0072,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Ambev SA,,ABEV,US,4437468.0,,,13259008.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Ambev SA,,ABEV3,BZ,157658.0,,,483894.0,0.0,BZ,Brazil
31/12/2024,Care Super,Balanced,Listed Equity,1,Amcor PLC,,AMC,AU,3228288.0,,,48327480.0,0.0011,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Amdocs Ltd,,DOX,US,52975.0,,,7284716.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Ameren Corp,,AEE,US,3096.0,,,445760.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,America Movil SAB de CV,,AMXB,MM,2768013.0,,,3214412.0,0.0001,MM,Mexico
31/12/2024,Care Super,Balanced,Listed Equity,1,American Electric Power Co Inc,,AEP,US,77987.0,,,11617123.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,American Express Co,,AXP,US,126091.0,,,60442030.0,0.0014000000000000002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,American International Group Inc,,AIG,US,58504.0,,,6878965.0,0.0002,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,American States Water Co,,AWR,US,416.0,,,52198.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,American Water Works Co Inc,,AWK,US,2273.0,,,457067.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Ameriprise Financial Inc,,AMP,US,13272.0,,,11413386.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Amgen Inc,,AMGN,US,29401.0,,,12376647.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Amotiv Ltd,,AOV,AU,1511113.0,,,16017800.0,0.0004,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,AMP Ltd,,AMP,AU,16807286.0,,,26639548.0,0.0006,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Amphenol Corp,,APH,US,22949.0,,,2574177.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Amplitude Energy Ltd,,AEL,AU,4840618.0,,,992327.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Ampol Ltd,,ALD,AU,2593728.0,,,73117184.0,0.0017000000000000001,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Amundi SA,,AMUN,FP,100872.0,,,10830753.0,0.0003,FP,France
31/12/2024,Care Super,Balanced,Listed Equity,1,ANA Holdings Inc,,9202,JP,24788.0,,,729968.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Analog Devices Inc,,ADI,US,40933.0,,,14046033.0,0.0003,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,ANDRITZ AG,,ANDR,AV,2454.0,,,201037.0,0.0,AV,Austria
31/12/2024,Care Super,Balanced,Listed Equity,1,Anglo American Platinum Ltd,,AMS,SJ,65342.0,,,3181977.0,0.0001,SJ,South Africa
31/12/2024,Care Super,Balanced,Listed Equity,1,Anheuser-Busch InBev SA/NV,,ABI,BB,37874.0,,,3056268.0,0.0001,BB,Belgium
31/12/2024,Care Super,Balanced,Listed Equity,1,Anritsu Corp,,6754,JP,2181.0,,,31608.0,0.0,JP,Japan
31/12/2024,Care Super,Balanced,Listed Equity,1,Ansell Ltd,,ANN,AU,476507.0,,,16115471.0,0.0004,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,ANSYS Inc,,ANSS,US,29341.0,,,15985786.0,0.0004,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,ANZ Group Holdings Ltd,,ANZ,AU,6901147.0,,,196958728.0,0.0046,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Aon PLC,,AON,US,35041.0,,,20326856.0,0.0005,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AP Moller - Maersk A/S,,MAERSKB,DC,221.0,,,590101.0,0.0,DC,Denmark
31/12/2024,Care Super,Balanced,Listed Equity,1,AP Moller - Maersk A/S,,MAERSKA,DC,137.0,,,354639.0,0.0,DC,Denmark
31/12/2024,Care Super,Balanced,Listed Equity,1,APA Corp,,APA,US,33786.0,,,1259967.0,0.0,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Apple Inc,,AAPL,US,706544.0,,,285767163.0,0.0067,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Applied Materials Inc,,AMAT,US,171783.0,,,45121697.0,0.0011,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,AppLovin Corp,,APP,US,49975.0,,,26137963.0,0.0006,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Aptiv PLC,,APTV,US,41432.0,,,4047187.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,Arab National Bank,,ARNB,AB,53628.0,,,485931.0,0.0,AB,Saudi Arabia
31/12/2024,Care Super,Balanced,Listed Equity,1,Arafura Rare Earths Ltd,,ARU,AU,468743.0,,,53905.0,0.0,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,Aramark,,ARMK,US,61500.0,,,3705969.0,0.0001,US,United States
31/12/2024,Care Super,Balanced,Listed Equity,1,ARB Corp Ltd,,ARB,AU,102212.0,,,4150809.0,0.0001,AU,Australia
31/12/2024,Care Super,Balanced,Listed Equity,1,ARC Resources Ltd,,ARX,CN,39781.0,,,1164663.0,0.0,CN,Canada
31/12/2024,Care Super,Balanced,Listed Equity,1,Arca Continental SAB de CV,,AC*,MM,129296.0,,,1734888.0,0.0,MM,Mexico
31/12/2024,Care Super,Balanced,Listed Equity,1,Arcadium Lithium PLC,,LTM,AU,54798.0,,,449340.0,0.0,AU,Australia
