Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"GENERAL MILLS, INC.",-,GIS,United States,16903.0,,-,1740944.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ANGLO AMERICAN PLC,-,AAL,United Kingdom,36372.0,,-,1739236.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"CBRE GROUP, INC.",-,CBRE,United States,8159.0,,-,1730062.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,CURTISS-WRIGHT CORP.,-,CW,United States,3018.0,,-,1729725.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,INTERGLOBE AVIATION LTD.,-,INDIGO,India,20090.0,,-,1726024.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,NONGFU SPRING CO. LTD.,-,9633,Hong Kong,244371.0,,-,1724995.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,MAKEMYTRIP LTD.,-,MMYT,United States,9506.0,,-,1723846.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"RADNET, INC.",-,RDNT,United States,15177.0,,-,1711964.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,BELLEVUE GOLD LTD.,-,BGL,Australia,1512763.0,,-,1701859.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"DOORDASH, INC.",-,DASH,United States,6265.0,,-,1697450.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"JEFFERIES FINANCIAL GROUP, INC.",-,JEF,United States,13282.0,,-,1681867.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"DELL TECHNOLOGIES, INC.",-,DELL,United States,9019.0,,-,1678630.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,ANHEUSER-BUSCH INBEV SA,-,ABI,Belgium,20774.0,,-,1676383.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,MOSAIC CO.,-,MOS,United States,42202.0,,-,1675419.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,SOFTBANK CORP.,-,9434,Japan,819142.0,,-,1674387.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,CINCINNATI FINANCIAL CORP.,-,CINF,United States,7210.0,,-,1673234.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,FTAI AVIATION LTD.,-,FTAI,United States,7171.0,,-,1668190.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,RATIONAL AG,-,RAA,Germany,1209.0,,-,1666689.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,TOTALENERGIES SE,-,TTE,France,18560.0,,-,1656619.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,FORTUM OYJ,-,FORTUM,Finland,73005.0,,-,1650159.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"COPART, INC.",-,CPRT,United States,17601.0,,-,1631500.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"ARGAN, INC.",-,AGX,United States,7341.0,,-,1624859.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"NRG ENERGY, INC.",-,NRG,United States,11086.0,,-,1615354.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"ROCKET LAB USA, INC.",-,RKLB,United States,39222.0,,-,1613495.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"VOYA FINANCIAL, INC.",-,VOYA,United States,14511.0,,-,1613220.0,0.0001
2024-12-31,aware,Balanced Growth,LISTED EQUITY,1,"CHENIERE ENERGY, INC.",-,LNG,United States,4637.0,,-,1609168.0,0.0001
