Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,ID Type,Listed Country,Sector,Industry,Units Held,% Ownership,Address,Value (AUD),Weighting
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"BOOT BARN HOLDINGS, INC.",,BOOT ,BB Ticker,US,Consumer Cyclical,Apparel Retail,601.0,,,147416.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SOULBRAIN CO. LTD.,,357780 ,BB Ticker,KS,Basic Materials,Chemicals,812.0,,,147375.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CHINA PETROLEUM & CHEMICAL CORP.,,386 ,BB Ticker,HK,Basic Materials,Paper & Paper Products,159113.0,,,147218.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,DIALOG GROUP BHD.,,DLG ,BB Ticker,MK,Communication Services,Advertising Agencies,219877.0,,,146927.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SHANJIN INTERNATIONAL GOLD CO. LTD.,,000975 ,BB Ticker,C2,Basic Materials,Other Precious Metals & Mining,43097.0,,,146569.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,L E LUNDBERGFORETAGEN AB,,LUNDB ,BB Ticker,SS,Industrials,Conglomerates,1998.0,,,146269.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CLARKSON PLC,,CKN ,BB Ticker,LN,Industrials,Marine Shipping,1826.0,,,146077.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,BECHTLE AG,,BC8 ,BB Ticker,GR,Technology,Information Technology Services,2806.0,,,145921.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,TATA ELXSI LTD.,,TELX ,BB Ticker,IN,,,1138.0,,,145897.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"H&E EQUIPMENT SERVICES, INC.",,HEES ,BB Ticker,US,,,1844.0,,,145841.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ATALAYA MINING PLC,,ATYM ,BB Ticker,LN,Basic Materials,Copper,20070.0,,,145743.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,HUNTING PLC,,HTG ,BB Ticker,LN,,,24902.0,,,145572.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SCOR SE,,SCR ,BB Ticker,FP,,,3679.0,,,145463.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"NETSCOUT SYSTEMS, INC.",,NTCT ,BB Ticker,US,Technology,Software - Infrastructure,4155.0,,,145352.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,PEPKOR HOLDINGS LTD.,,PPH ,BB Ticker,SJ,,,58639.0,,,145301.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,ALIOR BANK SA,,ALR ,BB Ticker,PW,Financial Services,Banks - Regional,4322.0,,,145299.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,GLANBIA PLC,,GLB ,BB Ticker,ID,,,6510.0,,,145144.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"TRIPADVISOR, INC.",,TRIP ,BB Ticker,US,Consumer Cyclical,Travel Services,6072.0,,,144837.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"CINEMARK HOLDINGS, INC.",,CNK ,BB Ticker,US,Communication Services,Entertainment,2894.0,,,144787.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SANY HEAVY INDUSTRY CO. LTD.,,600031 ,BB Ticker,C1,Industrials,Farm & Heavy Construction Machinery,39667.0,,,144645.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,COMMERCIAL INTERNATIONAL BANK - EGYPT (CIB),,COMI ,BB Ticker,EY,Industrials,Business Equipment & Supplies,57932.0,,,144500.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,STEPAN CO.,,SCL ,BB Ticker,US,Basic Materials,Specialty Chemicals,1380.0,,,144160.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,STAR MICRONICS CO. LTD.,,7718 ,BB Ticker,JP,Industrials,Specialty Industrial Machinery,7417.0,,,143909.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,KANZHUN LTD.,,BZ ,BB Ticker,US,Communication Services,Internet Content & Information,6439.0,,,143500.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CHINA VANKE CO. LTD.,,2202 ,BB Ticker,HK,,,130050.0,,,143042.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,GUNZE LTD.,,3002 ,BB Ticker,JP,Technology,Electronic Components,2544.0,,,142721.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CHINA GALAXY SECURITIES CO. LTD.,,6881 ,BB Ticker,HK,Technology,Electronic Components,96782.0,,,142672.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,MUTHOOT FINANCE LTD.,,MUTH ,BB Ticker,IN,Financial Services,Credit Services,3539.0,,,142607.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,RYERSON HOLDING CORP.,,RYI ,BB Ticker,US,Industrials,Metal Fabrication,4767.0,,,142524.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,PRUDENTIAL PLC,,PUK ,BB Ticker,US,Financial Services,Insurance - Life,5518.0,,,142067.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"MERCURY SYSTEMS, INC.",,MRCY ,BB Ticker,US,Industrials,Aerospace & Defense,2081.0,,,141131.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,KERRY PROPERTIES LTD.,,683 ,BB Ticker,HK,Technology,Semiconductors,43615.0,,,141103.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SINON CORP.,,1712 ,BB Ticker,TT,Industrials,Waste Management,66240.0,,,140974.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"COCA-COLA BOTTLERS JAPAN HOLDINGS, INC.",,2579 ,BB Ticker,JP,Consumer Defensive,Beverages - Non-Alcoholic,5492.0,,,140932.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"TRINET GROUP, INC.",,TNET ,BB Ticker,US,Industrials,Staffing & Employment Services,961.0,,,140890.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,LEGEND BIOTECH CORP.,,LEGN ,BB Ticker,US,Healthcare,Biotechnology,2680.0,,,140860.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,LOTTE RENTAL CO. LTD.,,089860 ,BB Ticker,KS,Industrials,Rental & Leasing Services,4274.0,,,140430.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CRANE NXT CO.,,CXT ,BB Ticker,US,Industrials,Specialty Industrial Machinery,1493.0,,,140427.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,HAMAKYOREX CO. LTD.,,9037 ,BB Ticker,JP,Industrials,Integrated Freight & Logistics,10108.0,,,140135.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,USS CO. LTD.,,4732 ,BB Ticker,JP,,,9902.0,,,140126.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"AZENTA, INC.",,AZTA ,BB Ticker,US,Healthcare,Medical Instruments & Supplies,1731.0,,,139762.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"COEUR MINING, INC.",,CDE ,BB Ticker,US,Basic Materials,Gold,15118.0,,,139667.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,AMMB HOLDINGS BHD.,,AMM ,BB Ticker,MK,Consumer Cyclical,Textile Manufacturing,70510.0,,,139567.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SAGAX AB,,SAGAB ,BB Ticker,SS,Real Estate,Real Estate Services,4213.0,,,139291.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"IMPINJ, INC.",,PI ,BB Ticker,US,Technology,Semiconductors,593.0,,,139016.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,BROOKFIELD WEALTH SOLUTIONS LTD.,,BNT ,BB Ticker,CN,Financial Services,Insurance - Diversified,1496.0,,,138921.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,FIRST COPPER TECHNOLOGY CO. LTD.,,2009 ,BB Ticker,TT,Basic Materials,Copper,75829.0,,,138781.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,INPEX CORP.,,1605 ,SEDOL,JP,,,6851.0,,,138747.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SERVCORP LTD.,,SRV ,BB Ticker,AU,Financial Services,Asset Management,28298.0,,,138661.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,FIRSTSOURCE SOLUTIONS LTD.,,FSOL ,BB Ticker,IN,,,19546.0,,,138644.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SHANDONG HIMILE MECHANICAL SCIENCE & TECHNOLOGY CO. LTD.,,002595 ,BB Ticker,C2,Industrials,Specialty Industrial Machinery,12480.0,,,138600.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,KOBAYASHI PHARMACEUTICAL CO. LTD.,,4967 ,BB Ticker,JP,Technology,Computer Hardware,2163.0,,,138464.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,TONGCHENG TRAVEL HOLDINGS LTD.,,780 ,BB Ticker,HK,,,36560.0,,,138348.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,EMBOTELLADORA ANDINA SA,,ANDINAB ,BB Ticker,CI,,,28161.0,,,138342.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"PTC THERAPEUTICS, INC.",,PTCT ,BB Ticker,US,Healthcare,Biotechnology,1897.0,,,138275.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,HYUNDAI ROTEM CO. LTD.,,064350 ,BB Ticker,KS,Industrials,Railroads,2532.0,,,138088.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,PORSCHE AUTOMOBIL HOLDING SE,,PAH3 ,BB Ticker,GR,Consumer Cyclical,Auto Manufacturers,2271.0,,,138069.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,LONGFOR GROUP HOLDINGS LTD.,,960 ,BB Ticker,HK,Technology,Information Technology Services,66371.0,,,137996.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"ABM INDUSTRIES, INC.",,ABM ,BB Ticker,US,Industrials,Specialty Business Services,1669.0,,,137972.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,T HASEGAWA CO. LTD.,,4958 ,BB Ticker,JP,Basic Materials,Specialty Chemicals,4315.0,,,137687.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,"AMERICAN ELECTRIC POWER CO., INC.",,AEP ,BB Ticker,US,Utilities,Utilities - Regulated Electric,922.0,,,137269.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,WAN HAI LINES LTD.,,2615 ,BB Ticker,TT,Industrials,Marine Shipping,34303.0,,,137050.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,CHOLAMANDALAM INVESTMENT & FINANCE CO. LTD.,,CIFC ,BB Ticker,IN,,,6124.0,,,137025.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SEVEN BANK LTD.,,8410 ,BB Ticker,JP,Basic Materials,Specialty Chemicals,42702.0,,,136789.0,0.0
31 December 2024,ArtSuper,Lifecycle_Balanced_Pool_Superannuation,Listed Equity,1,SPAREBANK 1 NORD NORGE,,NONG ,BB Ticker,NO,Consumer Defensive,Packaged Foods,7768.0,,,136400.0,0.0
