Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,% Ownership,Units Held,Address,Value (AUD),Weighting (%)
2024-12-31,aware,Balanced Growth,CASH,1,COMMONWEALTH BANK OF AUSTRALIA,AUD,,,,,-,273243198.0,0.011200000000000002
2024-12-31,aware,Balanced Growth,CASH,1,NATIONAL AUSTRALIA BANK LIMITED,AUD,,,,,-,154727273.0,0.0063
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,USD,,,,,-,30031189.0,0.0012
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,AUD,,,,,-,24810420.0,0.001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,USD,,,,,-,18920051.0,0.0008
2024-12-31,aware,Balanced Growth,CASH,1,MUFG BANK LTD.,USD,,,,,-,15926638.0,0.0007000000000000001
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,EUR,,,,,-,8469823.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,AUD,,,,,-,7994148.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,SUMITOMO MITSUI BANKING CORP.,USD,,,,,-,6241321.0,0.0003
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,GBP,,,,,-,5381593.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,AUD,,,,,-,5287390.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,GBP,,,,,-,5231645.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,,,,-,5055926.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,EUR,,,,,-,4350469.0,0.0002
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,KRW,,,,,-,2474489.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,JPY,,,,,-,2372489.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,JPY,,,,,-,2050576.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,USD,,,,,-,1515676.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,USD,,,,,-,1475015.0,0.0001
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CAD,,,,,-,1194703.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,UBS AG,AUD,,,,,-,1148083.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY & CO. INTERNATIONAL PLC,JPY,,,,,-,1094291.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,CNY,,,,,-,1036214.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,BNP PARIBAS,USD,,,,,-,1019237.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,BARCLAYS BANK PLC,USD,,,,,-,935222.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,MORGAN STANLEY,GBP,,,,,-,878169.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,JPMORGAN CHASE & CO,AUD,,,,,-,833899.0,0.0
2024-12-31,aware,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST,NZD,,,,,-,738467.0,0.0
