Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,67856.88269,0.00000098,,CZK,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1384666.916,0.00001998,,DKK,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,16968171.56,0.00024484,,EUR,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-3006649.441,-0.00004338,,EUR,
31/12/2024,Balanced Growth,Cash,,Credit Suisse Group AG,,0.021826,0,,EUR,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,3353027.439,0.00004838,,EUR,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,30026947.98,0.00043327,,EUR,
31/12/2024,Balanced Growth,Cash,,Macquarie Group Ltd,,4.838243,0,,EUR,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,-76161.45925,-0.0000011,,EUR,
31/12/2024,Balanced Growth,Cash,,Morgan Stanley,,-11077.55432,-0.00000016,,EUR,
31/12/2024,Balanced Growth,Cash,,Royal Bank of Canada,,1584.238187,0.00000002,,EUR,
31/12/2024,Balanced Growth,Cash,,Warburg Dillon,,112242.6452,0.00000162,,EUR,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,1410696.517,0.00002036,,GBP,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-997976.47,-0.0000144,,GBP,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,1135282.189,0.00001638,,GBP,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,10172646.79,0.00014678,,GBP,
31/12/2024,Balanced Growth,Cash,,Macquarie Group Ltd,,-2.012992,0,,GBP,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,1863.593041,0.00000003,,GBP,
31/12/2024,Balanced Growth,Cash,,Royal Bank of Canada,,5326.6747,0.00000008,,GBP,
31/12/2024,Balanced Growth,Cash,,Warburg Dillon,,56301.72152,0.00000081,,GBP,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,0.072754,0,,HKD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,1374153.826,0.00001983,,HKD,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,38511.59587,0.00000056,,HUF,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,341189.6805,0.00000492,,IDR,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,-335.001652,0,,ILS,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,259624.8533,0.00000375,,ILS,
31/12/2024,Balanced Growth,Cash,,CSI Bank,,0.00183,0,,INR,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,12790.85395,0.00000018,,INR,
31/12/2024,Balanced Growth,Cash,,Barclays Bank PLC,,1424783.986,0.00002056,,JPY,
31/12/2024,Balanced Growth,Cash,,Citigroup Inc,,-1746469.825,-0.0000252,,JPY,
31/12/2024,Balanced Growth,Cash,,Goldman Sachs Group Inc/The,,-384305.3256,-0.00000555,,JPY,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,5487200.293,0.00007918,,JPY,
31/12/2024,Balanced Growth,Cash,,Merrill Lynch & Co,,5563.507399,0.00000008,,JPY,
31/12/2024,Balanced Growth,Cash,,Warburg Dillon,,27503.13014,0.0000004,,JPY,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,5853291.062,0.00008446,,KRW,
31/12/2024,Balanced Growth,Cash,,JPMorgan Chase & Co,,5172.00175,0.00000007,,KWD,
