Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ADIDAS AG NPV,4031976,"1,301","515,212",0.00%
ADMIRAL GROUP PLC ORD GBP0.001,B02J639,"1,399","74,841",0.00%
ADOBE INC,2008154,"52,061","37,390,478",0.05%
ADP EUR3,B164FY1,448,"83,599",0.00%
ADRIATIC METALS PLC-CDI,BD215T5,819,"3,195",0.00%
ADVANCED DRAINAGE SYSTEMS IN WMS,BP7RS59,"113,246","21,143,970",0.03%
ADVANCED INFO SERVICE-FOR RG,6412591,"393,731","5,353,009",0.01%
ADVANCED MICRO DEVICES COM,2007849,"244,311","47,662,668",0.06%
ADVANCED MICRO-FABRICATION-A,BK71F66,"30,251","1,258,908",0.00%
ADVANTEST CORP ORD,6870490,"7,385","698,108",0.00%
ADYEN NV ADYEN,BZ1HM42,"41,069","98,702,087",0.12%
AEGON LTD,BPH0Y27,"40,976","391,995",0.00%
AENA SME SA,BVRZ8L1,900,"297,077",0.00%
AEON CO LTD,6480048,"7,490","284,414",0.00%
AERCAP HOLDINGS NV EUR0.01,B1HHKD3,"2,149","332,198",0.00%
AEROFLOT-RUSSIAN AIRLINES RUB1(USD),B58X588,"581,479",0,0.00%
AES CORP COM,2002479,"8,882","184,625",0.00%
AET AND D HOLDINGS,583032S (Sedol),"44,613",0,0.00%
AFK SISTEMA-REG S SPONS GDR,B05N809,"54,705",0,0.00%
AFLAC INC,2026361,"5,818","971,961",0.00%
AGC INC,6055208,"2,925","139,049",0.00%
AGEAS,B86S2N0,5,375,0.00%
AGILENT TECHNOLOGIES I COM,2520153,"3,003","651,587",0.00%
AGL ENERGY LTD,BSS7GP5,"3,631,537","41,000,051",0.05%
AGNICO EAGLE MINES LTD,2009823,"6,245","788,769",0.00%
AIA GROUP LTD USD1.00,B4TX8S1,"3,655,086","42,786,165",0.05%
AIB GROUP PLC,BF0L353,"347,894","3,101,192",0.00%
AICHI FINANCIAL GROUP INC,BP29PF9,"237,639","6,137,214",0.01%
AINSWORTH GAME TECHNOLOGY LT NPV,6427829,"2,315,594","2,002,989",0.00%
AIR CANADA AC,BSDHYK1,"1,266","31,655",0.00%
AIR LIQUIDE SA,B1YXBJ7,"5,127","1,345,523",0.00%
AIR NEW ZEALAND LTD NPV,6426569,"9,714,672","5,294,496",0.01%
AIR PRODS & CHEMS INC COM,2011602,"2,068","968,840",0.00%
AIRBNB INC,BMGYYH4,"4,351","923,457",0.00%
AISIN CORP,6010702,"2,568","46,904",0.00%
AITKEN SPENCE PLC SPEN,6009391,"10,164,901","8,124,779",0.01%
AJINOMOTO INC COM,6010906,"3,815","252,938",0.00%
AK TRANSNEFT PJSC,B59NHY7,"12,985",0,0.00%
AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,"1,283","198,231",0.00%
AKER BP ASA,B1L95G3,"2,149","67,756",0.00%
AKZO NOBEL,BJ2KSG2,"1,659","160,804",0.00%
ALBEMARLE CORP,2046853,"1,142","158,784",0.00%
ALBERTSONS COS INC - CLASS A,BYNQ369,"4,314","136,840",0.00%
ALCOA CORP,BYNF418,"165,327","10,088,128",0.01%
ALCOA CORP-CDI,BSY2LN7,"3,987,177","236,519,314",0.29%
ALCON INC,BJT1GR5,"4,439","608,348",0.00%
ALDAR PROPERTIES PJSC ALDAR,B0LX3Y2,"4,796,954","16,199,573",0.02%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD,2009210,"1,921","302,694",0.00%
ALFA LAVAL AB,7332687,"6,260","423,299",0.00%
ALIBABA GROUP HOLDING LTD,BK6YZP5,"2,121,228","36,342,255",0.04%
ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,"168,298","23,047,639",0.03%
ALIGN TECHNOLOGY INC COM USD0.0001,2679204,"57,799","19,465,029",0.02%
ALIMENTATION COUCHE-TARD INC,BL56KN2,"9,599","859,355",0.00%
ALLEGION PLC CIM USD0.01 'WI',BFRT3W7,"62,497","13,190,892",0.02%
ALLFUNDS GROUP PLC,BNTJ354,"3,949,863","33,294,062",0.04%
ALLIANT ENERGY CORP COM,2973821,"2,126","203,046",0.00%
ALLIANZ SE-REG,5231485,"3,698","1,830,112",0.00%
ALLSTATE CORP COM,2019952,"2,650","825,077",0.00%
ALLY FINANCIAL INC ALLY,B72XK05,"3,124","181,665",0.00%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,B00FWN1,"1,148","436,283",0.00%
ALPHA HPA LTD,BH0K666,"6,073,519","5,405,432",0.01%
ALPHA METALLURGICAL RESOURCE,BMFND53,"15,419","4,983,739",0.01%
ALPHABET INC-CL A,BYVY8G0,"572,228","174,953,955",0.21%
ALPHABET INC-CL C,BYY88Y7,"203,082","62,464,560",0.08%
ALS LTD,B86SZR5,"7,591,811","114,484,514",0.14%
ALSTOM,B0DJ8Q5,"4,692","169,191",0.00%
ALSTOM SA-SCRIP,BMY8SG5,2,0,0.00%
ALTAGAS LTD COM NPV,B43WJC5,747,"28,095",0.00%
ALTIUS MINERALS CORPORATION COM NPV,2122355,"463,117","13,844,713",0.02%
ALTRIA GROUP INC,2692632,"17,102","1,444,378",0.00%
ALUMINUM CORP OF CHINA LTD,BP3R4D3,"1,151,043","1,861,223",0.00%
AMADEUS IT GROUP SA,B3MSM28,"194,473","22,181,911",0.03%
AMAERO INTERNATIONAL LTD,BKRQJZ8,"19,331,381","4,832,845",0.01%
AMAZON COM INC COM,2000019,"822,957","291,607,076",0.36%
AMCOR PLC,BJ1F307,"12,270","186,488",0.00%
AMCOR PLC-CDI,6066608,"8,280,349","123,956,820",0.15%
AMERADA HESS CORP COM,2023748,"2,574","552,881",0.00%
AMEREN CORP COM,2050832,"3,421","492,568",0.00%
AMERICA MOVIL SAB DE C-SER B,BMVRB77,"8,113,947","9,422,549",0.01%
AMERICA MOVIL SAB DE CV,BNHN4P5,"3,085,173","71,305,552",0.09%
AMERICAN AIRLINES GROUP INC COM USD1,BCV7KT2,"390,016","10,979,537",0.01%
AMERICAN ELEC PWR INC COM,2026242,"4,826","718,842",0.00%
AMERICAN EXPRESS CO COM,2026082,"195,965","93,936,139",0.11%
AMERICAN FINL GROUP IN COM,2134532,657,"145,238",0.00%
AMERICAN HOMES 4 RENT- A AMERICAN HOMES,BCF5RR9,"3,866","233,672",0.00%
AMERICAN INTL GROUP IN COM,2027342,"347,431","40,851,179",0.05%
AMERICAN TOWER CORP COM NEW USD0.01,B7FBFL2,"4,438","1,314,614",0.00%
AMERICAN WATER WORKS CO INC COM STK USD0,B2R3PV1,"2,298","461,996",0.00%
AMERIPRISE FINANCIAL INC COM,B0J7D57,"1,048","901,290",0.00%
AMETEK INC COM USD0.01,2089212,"1,852","539,176",0.00%
AMGEN INC COM,2023607,"5,366","2,258,941",0.00%
AMOREPACIFIC CORP,B15SK50,"246,889","28,386,729",0.03%
AMOTIV LTD,BQH8HH4,"870,802","9,230,501",0.01%
AMP LIMITED,6709958,"5,796,333","9,187,187",0.01%
AMPHENOL CORP-CL A CL A,2145084,"71,385","8,007,221",0.01%
AMPLIFON SPA EUR0.02,B14NJ71,765,"31,804",0.00%
AMPLITUDE ENERGY LTD,AU0000361909 (ISIN),"35,453,565","7,267,981",0.01%
AMPOL LTD,BM91201,"1,609,904","45,383,205",0.06%
AMS-OSRAM AG,BQPGGN9,"880,684","9,316,869",0.01%
AMUNDI SA AMUN,BYZR014,138,"14,864",0.00%
ANA HOLDINGS INC,6014908,428,"12,603",0.00%
ANALOG DEVICES INC COM,2032067,"4,831","1,657,700",0.00%
ANGLO AMERICAN PLATINUM LTD,6761000,"114,031","5,552,998",0.01%
ANGLO AMERICAN PLC,B1XZS82,"613,900","29,355,672",0.04%
ANHEUSER-BUSCH INBEV SA/NV,BYYHL23,"6,980","563,269",0.00%
ANHUI CONCH CEMENT CO LTD-A,BP3R2Z1,"447,231","2,339,716",0.00%
ANHUI KOUZI DISTILLERY CO -A,BYQDNL2,"187,522","1,618,830",0.00%
ANHUI YINGJIA DISTILLERY C-A,BYV1VH3,"130,648","1,550,366",0.00%
ANHUI ZHONGDING SEALING PA-A,BD5CL31,"798,187","2,303,869",0.00%
ANKER INNOVATIONS TECHNOLO-A,BNR4MR6,"239,526","5,145,169",0.01%
ANNALY CAPITAL MANAGEMENT IN,BPMQ7X2,"3,513","103,820",0.00%
ANSELL LTD ORD,6286611,"5,529,776","187,017,018",0.23%
ANSYS INC COM USD0.01,2045623,913,"497,613",0.00%
ANTA SPORTS PRODUCTS LTD,B1YVKN8,"172,011","2,784,283",0.00%
ANTOFAGASTA PLC,45614,"711,799","22,892,947",0.03%
ANZ Bank,AU000000ANZ3,"13,025,339","371,743,176",0.45%
AON PLC,BLP1HW5,"64,150","37,212,528",0.05%
AP MOELLER-MAERSK A/S-B,4253048,"1,103","2,945,951",0.00%
APA CORP,BNNF1C1,"1,988","74,125",0.00%
APA GROUP NPV,B931078,"769,969","5,366,684",0.01%
APOLLO GLOBAL MANAGEMENT INC,BN44JF6,"64,687","17,255,355",0.02%
APOLLO HOSPITALS ENTERPRISE LTD,6273583,"97,471","13,416,102",0.02%
APPLE INC,2046251,"318,995","129,020,015",0.16%
APPLIED MATLS INC COM,2046552,"30,107","7,908,062",0.01%
APPLOVIN CORP-CLASS A,BMV3LG4,"107,040","55,984,264",0.07%
APTIV HOLDINGS LTD,JE00BTDN8H13 (ISIN),"3,092","301,985",0.00%
ARB CORPORATION LIMITED NPV,BWV03W5,"286,848","11,648,880",0.01%
