Hostplus Superannuation Fund,,,,
HC Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
BIO-RAD LABORATORIES-A,2098508,"15,865","8,417,850",0.01%
BIO-TECHNE CORP,BSHZ3Q0,"3,121","363,130",0.00%
BIO-THERA SOLUTIONS LTD-A,CN1000001000 (ISIN),"51,827","220,966",0.00%
BIZLINK HOLDING INC 3665,B5SG8Y4,"706,503","21,300,910",0.03%
BJ'S WHOLESALE CLUB HOLDINGS BJ,BFZNZF8,"127,967","18,467,082",0.02%
BKW AG CHF2.50,B76D410,334,"89,286",0.00%
BLACKROCK FUNDING INC/DE,US09290D1019 (ISIN),"1,431","2,368,756",0.00%
BLACKSTONE GROUP INC/THE,BKF2SL7,"6,751","1,879,877",0.00%
BLOCK INC,BYNZGK1,"142,508","19,561,949",0.02%
BLOCK INC - CDI,BMHJ8W1,"1,720,708","242,585,483",0.30%
BLUESCOPE STEEL LTD,6533232,"4,716,638","88,153,968",0.11%
BMW,5756029,"3,600","475,482",0.00%
BNP PARIBAS S.A.,7309681,"10,108","1,001,124",0.00%
BOC HONG KONG HOLDINGS LTD,6536112,"46,251","239,933",0.00%
BOE TECHNOLOGY GROUP CO LT-A,BD5CPL7,"7,109,153","6,865,970",0.01%
BOLIDEN AB,BPYTZ57,"3,080","139,805",0.00%
BOLLORE SE,4572709,"2,425","24,094",0.00%
BOMBARDIER INC-B,BN33PL2,"64,580","7,089,233",0.01%
BOOHOO.COM PLC BOO,BG6L729,"4,229,002","2,879,381",0.00%
BOOKING HOLDINGS INC,BDRXDB4,"22,363","179,452,723",0.22%
BOSS RESOURCES LTD BOE,B1XLCQ6,"3,023,647","7,347,463",0.01%
BOSTON SCIENTIFIC CORP COM,2113434,"15,925","2,297,336",0.00%
BOUYGUES SA,4002121,"2,375","113,341",0.00%
BP PLC SHS,798059,"422,289","3,356,985",0.00%
BRAMBLES LTD NPV,B1FJ0C0,"10,153,950","195,361,990",0.24%
BRENNTAG SE,B4YVF56,"6,301","609,928",0.00%
BREVILLE GROUP LTD,6158709,"2,171,969","76,844,246",0.09%
BRICKWORKS LIMITED,6315593,"3,430","87,978",0.00%
BRIDGESTONE CORP COM,6132101,"4,241","232,719",0.00%
BRISTOL MYERS SQUIBB C COM,2126335,"20,269","1,851,554",0.00%
BRITISH AMERICAN TOBAC ORD,287580,"245,912","14,325,822",0.02%
BROADCOM INC,BDZ78H9,"195,737","73,293,413",0.09%
BROADRIDGE FINANCIAL SOL-W/I COM STK USD,B1VP7R6,"62,308","22,752,629",0.03%
BROTHER INDUSTRIES LTD,6146500,311,"8,617",0.00%
BROWN & BROWN INC COM,2692687,"2,490","410,280",0.00%
BROWN-FORMAN CORP -CL B CL B,2146838,"3,414","209,394",0.00%
BT GROUP PLC,3091357,"83,548","243,444",0.00%
BUILDERS FIRSTSOURCE INC COM USD0.01,B0BV2M7,"1,146","264,636",0.00%
BUKIT DARAH PLC,6151667,"186,451","610,250",0.00%
BUNGE GLOBAL SA,BQ6BPG9,"1,227","154,125",0.00%
BUNZL PLC BUNZL PLC,B0744B3,"287,391","19,160,505",0.02%
BUREAU VERITAS SA EUR0.12,B28DTJ6,"1,426","69,996",0.00%
BURLINGTON STORES INC BURL,BF311Y5,727,"334,840",0.00%
BWP TRUST,6127453,"825,243","2,706,798",0.00%
BXP INC,2019479,980,"117,695",0.00%
BYD CO LTD -A,BD5CQ69,"179,977","11,191,810",0.01%
BYD CO LTD-H,6536651,"160,459","8,894,480",0.01%
C.H. ROBINSON WORLDWIDE INC COM USD0.1,2116228,"1,027","171,443",0.00%
CADENCE DESIGN SYSTEM COM,2302232,"33,632","16,320,752",0.02%
CAESARS ENTERTAINMENT INC,BMWWGB0,"40,514","2,186,811",0.00%
CAITONG SECURITIES CO LTD-A,BFY9KS5,"323,959","582,280",0.00%
CAIXIABANK,B283W97,"292,691","2,563,087",0.00%
CAMDEN PROPERTY TRUST SBI USD0.01,2166320,"1,425","267,123",0.00%
CAN APARTMENT PROP REAL ESTA,2117599,903,"43,231",0.00%
CANADIAN NAT RES LTD COM,2171573,"371,774","18,528,974",0.02%
CANADIAN NATL RY CO COM,2180632,"5,456","894,414",0.00%
CANADIAN PACIFIC KANSAS CITY,CA13645T1003,"8,933","1,044,101",0.00%
CANADIAN TIRE CORP-CLASS A,2172286,326,"55,418",0.00%
CANADIAN UTILITIES LTD A CLASS'A'COM NON,2172639,"1,213","47,480",0.00%
CANON INC ORD,6172323,"10,831","574,462",0.00%
CANSINO BIOLOGICS INC-A,BMD9JD3,"9,974","133,953",0.00%
CAPCOM CO LTD,6173694,"4,148","148,098",0.00%
CAPGEMINI SE,4163437,"1,763","466,273",0.00%
CAPITAL ONE FINANCIAL CORP,2654461,"89,119","25,666,999",0.03%
CAPITALAND INTEGRATED COMMER,6420129,"120,394","275,099",0.00%
CAPITALAND INVESTMENT LTD/SI,BNHXFJ6,"43,868","136,075",0.00%
CAPITEC BANK HOLDINGS LTD ZAR0.01,6440859,"129,988","34,872,322",0.04%
CAPLAND ASCENDAS REIT,6563875,"41,981","127,736",0.00%
CAPRAL LIMITED,6013972,"541,446","5,387,391",0.01%
CAPRICORN METALS LTD,BDD98W2,"8,968,144","56,319,943",0.07%
CAPSTONE COPPER CORP,BMY5XY9,"135,639","1,354,160",0.00%
CAPSTONE COPPER CORP-CDI,BQXH1K6,"1,665,649","16,340,016",0.02%
CARAVEL MINERALS LTD,B90KY77,"14,583,698","2,770,903",0.00%
CARAVEL MINERALS LTD-CW25,BNSP5H9,"571,428","10,286",0.00%
CARDINAL HEALTH INC COM,2175672,"2,480","473,680",0.00%
CARL ZEISS MEDITEC AG NPV,5922961,584,"44,471",0.00%
CARLISLE COS INC COM USD1,2176318,588,"350,464",0.00%
CARLSBERG AS-B,4169219,"1,095","169,437",0.00%
CARLYLE GROUP INC/THE,BKRTG56,"2,333","190,280",0.00%
CARMAX INC COM,2983563,"1,276","168,504",0.00%
CARNIVAL CORP COM,2523044,"10,293","414,297",0.00%
CARREFOUR SA,5641567,"51,207","1,175,856",0.00%
CARRIER GLOBAL CORP-W/I,BK4N0D7,"8,580","945,917",0.00%
CARSALES.COM.AU LTD NPV,BW0BGZ3,"2,438,671","87,865,318",0.11%
CARVANA CO CVNA,BYQHPG3,"40,738","13,380,335",0.02%
CATERPILLAR INC DEL COM,2180201,"4,968","2,910,832",0.00%
CBOE GLOBAL MARKETS INC,B5834C5,"1,287","406,051",0.00%
CBRE GROUP INC,B6WVMH3,"169,600","35,963,520",0.04%
CCL INDUSTRIES INC - CL B 'B'NON-VTG COM,2159795,853,"70,837",0.00%
CDN IMPERIAL BK OF COM COM,2170525,"7,228","738,092",0.00%
CDW CORP/DE COM USD0.01,BBM5MD6,"104,488","29,371,085",0.04%
CELANESE CORP-SERIES A COM SERIES 'A' US,B05MZT4,705,"78,801",0.00%
CELLNEX TELECOM SAU CLNX,BX90C05,"5,195","265,103",0.00%
CELSIUS HOLDINGS INC,B19HX21,"117,923","5,016,683",0.01%
CEMEX SA -SPONS ADR PART CER,2488671,"1,539,594","14,024,566",0.02%
CENCORA INC,2795393,"64,018","23,231,310",0.03%
CENERGY HOLDINGS SA,BE0974303357 (ISIN),"162,758","2,545,116",0.00%
CENOVUS ENERGY INC COM NPV,B57FG04,"15,378","376,304",0.00%
CENTENE CORP COM USD0.001,2807061,"24,988","2,444,928",0.00%
CENTERPOINT ENERGY INC COM,2440637,"6,627","339,611",0.00%
CENTRAL GLASS CO LTD CENTRAL GLASS CO LT,6184306,"118,086","4,029,011",0.00%
CENTRAL JAPAN RAILWAY CO,6183552,"6,011","183,155",0.00%
CENTRICA PLC,B033F22,"1,514,657","4,093,248",0.01%
Centuria Capital Group,6518745,"4,169,078","7,400,113",0.01%
CENTURIA INDUSTRIAL REIT,BD31FD8,"4,206,914","11,863,499",0.01%
CENTURIA OFFICE REIT,BKTW448,"4,049,354","4,454,290",0.01%
CETTIRE LTD,BN7J464,"3,850,922","5,814,892",0.01%
CEYLON GUARDIAN INVESTMENT GUAR,6183080,"793,459","688,883",0.00%
CF INDUSTRIES HOLDINGS INC COM USD0.01,B0G4K50,"1,861","256,447",0.00%
CGI INC GIB/A,BJ2L575,"126,659","22,371,407",0.03%
CHALICE MINING LTD,B0ZGW28,"6,180,661","6,829,631",0.01%
CHALLENGER LTD,6726300,"955,265","5,741,142",0.01%
CHAMPION IRON LTD,BLD3778,"629,712","3,663,165",0.00%
CHAMPION IRON LTD CIA,BLD1SB3,"3,012,127","17,319,733",0.02%
CHAMPIONX CORP-W/I,BMW7N69,"406,844","17,866,593",0.02%
CHANGCHUN HIGH & NEW TECH-A,BD5CDB3,"19,620","429,221",0.00%
CHANGSHA ZOOMLION HEAVY INDS,BD5CPZ1,"2,392,187","3,804,985",0.00%
CHARLES RIVER LABORATORIES COM,2604336,447,"133,278",0.00%
CHARTER COMMUNICATIONS INC,BZ6VT82,941,"521,156",0.00%
CHARTER HALL GROUP NPV (STAPLED),B15F6S6,"6,722,036","96,461,224",0.12%
CHARTER HALL LONG WALE REIT CLW,BDB46J2,"1,854,127","6,934,434",0.01%
CHARTER HALL RETAIL REIT,6225595,"5,586,863","17,598,618",0.02%
CHARTER HALL SOCIAL INFRASTR,BHJVMY0,"32,446","83,387",0.00%
CHECK POINT SOFTWARE T ORD,2181334,"242,137","73,014,701",0.09%
CHENGDU M&S ELECTRONICS TE-A,BLB3F09,"117,216","853,820",0.00%
CHENIERE ENERGY INC COM STK USD0.003,2654364,"2,294","796,159",0.00%
CHEVRON CORP COM USD0.75,2838555,"28,836","6,745,712",0.01%
CHIBA BANK LTD/THE,6190563,"13,670","171,741",0.00%
CHINA CONSTRUCTION BANK-A,BP3R3L4,"3,832,590","7,411,407",0.01%
CHINA CONSTRUCTION BANK-H,B0LMTQ3,"20,571,401","27,716,365",0.03%
CHINA ENERGY ENGINEERING COR,BP2DDJ1,"478,182","240,906",0.00%
CHINA GALAXY SECURITIES CO-A,BYWPH65,"122,892","411,757",0.00%
CHINA INTERNATIONAL CAPITA-H,BZ169C6,"8,300,345","22,124,912",0.03%
CHINA INTERNATIONAL CAPTAL-A,BMYPCF3,"309,358","2,292,884",0.00%
CHINA INTL MARINE CONTAIN-A,CNE000000644 (ISIN),"1,525,345","2,607,406",0.00%
CHINA MEDIAEXPRESS HOLDINGS COM STK USD0,B297ZZ5,"26,510",856,0.00%
CHINA MENGNIU DAIRY CO,B01B1L9,"5,403,118","19,727,240",0.02%
CHINA MERCHANTS BANK - H,B1DYPZ5,"2,378,362","19,780,409",0.02%
CHINA MERCHANTS BANK-A,BP3R273,"2,556,432","22,102,750",0.03%
CHINA MERCHANTS EXPRESSWAY-A,BFY8GC8,"1,112,108","3,413,034",0.00%
CHINA MERCHANTS SECURITIES-A,BP3R303,"499,627","2,106,012",0.00%
CHINA METAL RECYCLING,B54DPL5,"1,092,792",0,0.00%
CHINA MOLYBDENUM CO LTD-A,BP3R574,"1,429,755","2,091,716",0.00%
CHINA PACIFIC INSURANCE GR-A,BP3R2K6,"477,421","3,579,489",0.00%
CHINA PETROLEUM & CHEMICAL-A,BP3R240,"65,856","96,782",0.00%
CHINA PETROLEUM ENGINEERIN-A,BDC41N0,"154,831","121,944",0.00%
CHINA RAILWAY SIGNAL & COM-A,BK71F88,"630,742","868,652",0.00%
CHINA RESOURCES SANJIU MED-A,BD5CL42,"160,398","1,564,637",0.00%
CHINA SOUTH PUBLISHING -A,BP3R507,"2,598,119","8,579,444",0.01%
CHINA UNITED NETWORK-A,BP3R2X9,"1,752,421","2,047,163",0.00%
CHINA VANKE CO LTD -A,BD5CPW8,"471,718","753,422",0.00%
CHINA XD ELECTRIC CO LTD-A,BP3R671,"470,653","785,891",0.00%
CHINA YANGTZE POWER CO LTD-A,BP3R2M8,"228,292","1,484,117",0.00%
CHIPOTLE MEXICAN GRILL-CL A CLASS 'A' CO,B0X7DZ3,"13,518","1,316,492",0.00%
CHOCOLADEFABRIKEN LINDT-REG,5962309,1,"93,243",0.00%
CHONGOING SOKON INDUSTRY G-A,BYV1VC8,"73,385","2,153,529",0.00%
CHORUS LTD NPV,B54F6S5,"10,115,015","80,313,221",0.10%
CHUBB LTD,B3BQMF6,"4,131","1,843,380",0.00%
CHUBU ELECTRIC POWER CO INC,6195609,"6,133","104,339",0.00%
CHUGAI PHARMACEUTICAL CO LTD,6196408,"502,387","36,135,665",0.04%
CHURCH & DWIGHT CO INC USD1,2195841,"2,102","355,449",0.00%
CIA SANEAMENTO BASICO DE SP COM NPV,B1YCHL8,"733,744","16,976,786",0.02%
CIA VALE DO RIO DOCE-ADR,2857334,"889,659","12,745,341",0.02%
CIE FINANCIERE RICHEMON-REG,BCRWZ18,"113,003","27,772,248",0.03%
CIENA CORP COM STK USD0.01,B1FLZ21,"100,077","13,708,425",0.02%
CIGNA CORP,BHJ0775,"2,916","1,300,444",0.00%
CIMB GROUP HOLDINGS BERHAD,6075745,"5,072,317","15,023,527",0.02%
CINCINNATI FINL CORP COM,2196888,"1,628","377,797",0.00%
CINTAS CORP COM,2197137,"3,651","1,077,328",0.00%
CIPLA LIMITED,B011108,"646,257","18,640,579",0.02%
CISCO SYS INC COM,2198163,"39,819","3,807,275",0.00%
CITIC SECURITIES CO-A SHARES,BP3R2J5,"877,808","5,633,201",0.01%
CITIGROUP INC COM,2297907,"644,211","73,239,102",0.09%
CITIZENS FINANCIAL GROUP CFG,BQRX1X3,"92,560","6,541,946",0.01%
CIVMEC LTD/CDI,BFZL8R5,"1,075,451","1,376,578",0.00%
CK ASSET HOLDINGS LTD,BYZQ077,"17,080","113,285",0.00%
CK HUTCHISON HOLDINGS LTD,BW9P816,"657,787","5,675,845",0.01%
CK INFRASTRUCTURE HOLDINGS LTD,BYVS6J1,"8,819","105,894",0.00%
CLARIANT AG-REG,7113990,"-3,125","-56,196",0.00%
CLARITY PHARMACEUTICALS LTD,BMCHJF0,"1,168,770","4,873,770",0.01%
CLEAN HARBORS INC COM STK USD0.01,2202473,"70,427","26,177,904",0.03%
CLEANAWAY WASTE MANAGEMENT LTD,BYQ8KW7,"64,038,229","169,701,306",0.21%
CLINUVEL PHARMACEUTICALS LTD NPV,6328405,"179,802","2,168,412",0.00%
CLOROX CO DEL COM,2204026,"1,120","293,851",0.00%
CLOSE THE LOOP LTD,BP8YQ55,"4,388,411","1,031,277",0.00%
CLOUDFLARE INC - CLASS A NET,BJXC5M2,"424,941","73,903,893",0.09%
CLP HOLDINGS LTD,6097017,"17,631","239,385",0.00%
CME GROUP INC,2965839,"93,022","34,890,675",0.04%
CMS ENERGY CORP COM USD0.01,2219224,"3,378","363,585",0.00%
CNGR ADVANCED MATERIAL CO -A,BP91MT1,"25,932","206,064",0.00%
CNH INDUSTRIAL NV COM EUR0.01,BDX85Z1,"19,698","360,459",0.00%
CNO FINANCIAL GROUP INC,2657750,"208,773","12,546,958",0.02%
COCA COLA CO COM,2206657,"40,611","4,083,755",0.00%
Coca-Cola Europacific Partne,BYQQ3P5,"1,865","231,356",0.00%
COCA-COLA HBC AG-CDI COCA-COLA HBC AG-CD,B9895B7,"2,965","163,852",0.00%
COCHLEAR LIMITED,6211798,"329,126","95,406,924",0.12%
CODAN LTD NPV,6712611,"8,350","134,435",0.00%
COFACE SA COFA,BNFWV75,"136,828","3,290,693",0.00%
COGNEX CORP COM USD0.002,2208288,"95,469","5,529,407",0.01%
COGNIZANT TECHNOLOGY S CL A,2257019,"134,804","16,743,044",0.02%
COINBASE GLOBAL INC -CLASS A,BMC9P69,"1,702","682,623",0.00%
COLES GROUP LTD,BYWR0T5,"6,011,863","113,564,101",0.14%
COLGATE-PALMOLIVE CO,2209106,"8,049","1,181,852",0.00%
COLLINS FOODS LTD NPV,B6QCFP1,"1,903,490","13,819,341",0.02%
COLOPLAST-B,B8FMRX8,"86,386","15,231,836",0.02%
COMCAST CORP-CLASS A,2044545,"41,006","2,485,579",0.00%
COMMERZBANK AG,B90LKT4,"12,461","327,707",0.00%
COMMONWEALTH BANK OF AUSTRAL,6215035,"5,135,848","787,068,677",0.96%
COMPAGNIE DE SAINT-GOBAIN,7380482,"4,461","639,373",0.00%
COMPASS GROUP PLC,BD6K457,"820,133","44,161,062",0.05%
COMPUGROUP MEDICAL SE & CO K,BMY7CH1,"458,010","16,668,184",0.02%
COMPUTERSHARE LTD NPV,6180412,"3,385,370","114,933,310",0.14%
CONAGRA BRANDS INC,2215460,"4,809","215,516",0.00%
CONCORDIA FINANCIAL GROUP LTD,BD97JW7,"6,437","57,628",0.00%
CONOCOPHILLIPS COM,2685717,"490,260","78,525,455",0.10%
CONSOLIDATED EDISON INC COM,2216850,"3,234","466,033",0.00%
CONSORCIO ARA S.A.B.-SER * SER'UNICA'NPV,B1TV969,"579,138","143,955",0.00%
CONSTELLATION BRANDS INC-A,2170473,"1,632","582,490",0.00%
CONSTELLATION ENERGY-W/I,BMH4FS1,"58,113","20,997,439",0.03%
CONSTELLATION SOFTWARE IN-28,BR52TP7,194,0,0.00%
CONSTELLATION SOFTWARE INC COM STK NPV,B15C4L6,218,"1,090,651",0.00%
CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,"1,498,484","87,690,660",0.11%
CONTINENTAL AG,4598589,656,"71,133",0.00%
CONVATEC GROUP PLC-WI CTEC,BD3VFW7,"4,244,091","18,989,652",0.02%
COOPER COS INC/THE,BQPDXR3,"99,423","14,762,157",0.02%
COPA HOLDINGS SA-CLASS A NPV CLASS 'A',B0TNJH9,"20,978","2,977,575",0.00%
COPART INC COM NPV,2208073,"165,267","15,318,850",0.02%
CORBION N.V.,BFRSRR7,"355,819","12,853,974",0.02%
CORE & MAIN INC-CLASS A,BNXKS92,"282,628","23,239,269",0.03%
COREBRIDGE FINANCIAL INC,BMTX0G9,252,"12,203",0.00%
CORNING INC COM,2224701,"305,837","23,473,092",0.03%
CORONADO GLOBAL RESOURCE-CDI,BGV71W0,"3,406,917","2,606,291",0.00%
CORP INMOBILIARIA VESTA SAB COM NPV,B8F6ZF8,"6,610,035","27,320,715",0.03%
CORPAY INC,BMX5GK7,628,"343,192",0.00%
CORPORATE TRAVEL MANAGEMENT NPV,B3R1D52,"1,693,756","22,442,265",0.03%
CORTEVA INC-W/I,BK73B42,"33,982","3,126,285",0.00%
COSAN SA INDUSTRIA COMERCIO COM NPV,B0P72G5,"1,673,034","3,569,134",0.00%
COSCO SHIPPING CO LTD-A,BP3RGR1,"275,745","442,844",0.00%
COSMO ENERGY HOLDINGS CO LTD 5021,BYSJJ43,"171,248","12,194,305",0.01%
COSMOS PHARMACEUTICAL CORP NPV,B036QP1,"52,764","3,631,479",0.00%
COSTAR GROUP INC USD0.01,2262864,"3,491","403,693",0.00%
COSTCO WHSL CORP NEW COM,2701271,"28,254","41,812,677",0.05%
COTERRA ENERGY INC,2162340,"7,153","295,078",0.00%
COUPANG INC,BNYHDF3,"2,001,258","71,045,235",0.09%
COVESTRO AG-W/I 1COV,BYTBWY9,"3,038","285,350",0.00%
COVIVIO,7745638,333,"27,172",0.00%
CP ALL PCL-FOREIGN,B08YDF9,"4,136,182","10,923,471",0.01%
CRANSWICK PLC ORD GBP0.10,231888,"37,844","3,724,153",0.00%
CREDICORP LTD COM USD5,2232878,"90,758","26,872,070",0.03%
CREDIT AGRICOLE SA,7262610,"12,076","268,420",0.00%
CREDIT CORP GROUP LIMITED NPV,6287658,"482,362","7,712,963",0.01%
CRESUD S.A.-SPONS ADR,2226893,"179,501","3,661,622",0.00%
CRH PLC,B01ZKD6,"30,358","4,536,369",0.01%
CRODA INTERNATIONAL PLC,BJFFLV0,"305,935","20,947,658",0.03%
CROMWELL PROPERTY GROUP,6225476,"10,877,716","4,133,532",0.01%
CROWDSTRIKE HOLDINGS INC - A CRWD,BJJP138,"2,165","1,196,198",0.00%
CROWN CASTLE INTL CORP COM,BTGQCX1,"4,177","612,226",0.00%
CROWN HOLDINGS INC COM,2427986,900,"120,190",0.00%
CRRC CORP LTD,BP3R358,"1,027,087","1,893,524",0.00%
CSL LTD,6185495,"2,517,528","708,885,643",0.87%
CSX CORP COM,2160753,"19,486","1,015,632",0.00%
CT HOLDINGS PLC CTHR,6185202,"1,824,074","3,315,641",0.00%
CTS EVENTIM AG & CO KGAA,5881857,"1,822","248,743",0.00%
CUMMINS INC COM,2240202,"1,380","776,806",0.00%
CUSHMAN & WAKEFIELD PLC CWK,BFZ4N46,"71,334","1,506,974",0.00%
CVC CAPITAL PARTNERS PLC,BRX9808,"-2,835","-100,785",0.00%
CVS HEALTH CORP CVS,2577609,"12,120","878,740",0.00%
CYBERAGENT INC NPV,6220501,"210,743","2,373,699",0.00%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,BQT3XY6,508,"273,490",0.00%
CYPRIUM METALS LTD,BJDX9R8,"34,679,287","797,624",0.00%
CYPRIUM METALS LTD-RIGHTS03FEB2025,AU0000050536 (ISIN),"2,167,455",0,0.00%
D R HORTON INC COM,2250687,"3,356","757,967",0.00%
DAI NIPPON PRINTING CO LTD,6250906,"622,985","14,210,011",0.02%
DAIFUKU CO LTD,6250025,"2,967","100,621",0.00%
DAI-ICHI LIFE HOLDINGS INC,B601QS4,"10,101","439,634",0.00%
DAIICHI SANKYO CO LTD,B0J7D91,"17,667","790,136",0.00%
DAIMLER TRUCK HOLDING AG,BP6VLQ4,"5,062","311,974",0.00%
DAITO TRUST CONSTRUCT CO LTD,6250508,475,"85,865",0.00%
DAIWA HOUSE INDUSTRY CO LTD,6251363,"6,229","310,992",0.00%
DAIWA SECS GROUP INC,6251448,"538,689","5,801,776",0.01%
DALRYMPLE BAY,BNM6Z56,"276,100","993,959",0.00%
DANAHER CORP DEL COM,2250870,"7,258","2,691,079",0.00%
DANONE,B1Y9TB3,"5,512","600,278",0.00%
DANSKE BK A/S BEARER SHS,4588825,"10,186","465,328",0.00%
DARDEN RESTAURANTS INC COM,2289874,"1,409","424,889",0.00%
DASSAULT AVIATION SA,BMT9L19,378,"124,630",0.00%
DASSAULT SYSTEMES SE,BM8H5Y5,"7,285","408,180",0.00%
DATA#3 LIMITED NPV,6093015,"30,175","192,818",0.00%
DATADOG INC - CLASS A DDOG,BKT9Y49,"149,490","34,499,823",0.04%
DAVIDE CAMPARI-MILANO NV,BMQ5W17,"871,954","8,776,064",0.01%
DAVITA INC,2898087,"1,034","249,823",0.00%
DAYFORCE INC,BFX1V56,"1,274","149,496",0.00%
DBAPPSECURITY LTD-A,BMF7P37,"142,827","1,282,007",0.00%
DBS GROUP HOLDINGS LTD,6175203,"18,226","943,404",0.00%
DCC PLC ORD,242493,"1,222","127,074",0.00%
DE GREY MINING LTD DEG,6534837,"12,336,803","21,774,458",0.03%
DECKERS OUTDOOR CORP COM USD0.01,2267278,"1,208","396,084",0.00%
DEEP YELLOW LTD NPV,6480275,"27,064,604","30,447,679",0.04%
DEERE & CO COM,2261203,"41,255","28,232,075",0.03%
DELIVERY HERO AG,BZCNB42,"1,552","70,382",0.00%
DELL TECHNOLOGIES -C W/I,BHKD3S6,"2,889","537,640",0.00%
DELTA AIR LINES INC COM USD0.0001,B1W9D46,"107,325","10,487,214",0.01%
DELTA ELECTRONICS INC,6260734,"1,310,370","27,790,711",0.03%
DEMANT A/S,BZ01RF1,681,"40,332",0.00%
DENSO CORP ORD,6640381,"16,836","383,163",0.00%
DENTSU GROUP INC,6416281,"2,001","78,380",0.00%
DESCARTES SYSTEMS GRP/THE COM NPV,2141941,"1,648","302,433",0.00%
DETERRA ROYALTIES LTD,BJP5T05,"244,996","911,385",0.00%
DEUTSCHE BANK AG NAMEN ORD,5750355,"19,226","535,047",0.00%
DEUTSCHE BOERSE AG,7021963,"63,881","23,760,943",0.03%
DEUTSCHE TELEKOM NPV(REGD),5842359,"32,600","1,575,140",0.00%
DEUTZ AG NPV,4557847,"313,002","2,113,818",0.00%
DEVELOP GLOBAL LTD,BNVQGB0,"4,074,756","9,534,928",0.01%
DEVON ENERGY CORP NEW COM,2480677,"6,969","368,416",0.00%
DEXCO SA,BN7F4X9,"6,932,721","10,802,339",0.01%
DEXCOM INC COM USD0.001,B0796X4,"286,631","36,003,000",0.04%
DEXUS,B033YN6,"11,366,918","75,703,672",0.09%
DEXUS INDUSTRIA REIT,BP2RQ94,"2,469,392","6,346,338",0.01%
DHL GROUP,4617859,"8,239","468,248",0.00%
DHT HOLDINGS INC DHT,B7JB336,"1,062,879","15,947,912",0.02%
DIAGEO PLC,237400,"600,408","30,817,645",0.04%
DIALOG AXIATA PLC DIAL,B0DJQ38,"113,191,947","7,300,318",0.01%
DIAMONDBACK ENERGY INC,B7Y8YR3,"54,980","14,548,086",0.02%
DIANA SHIPPING INC COM STK USD0.01,B06FL27,"589,427","1,865,908",0.00%
DIANA SHIPPING INC-28,BQ72J03,"116,947","20,985",0.00%
DIASORIN SPA EUR1,B234WN9,-52,"-8,653",0.00%
DICK'S SPORTING GOODS INC COM USD0.01,2969637,689,"254,706",0.00%
DIGICO INFRASTRUCTURE REIT,AU0000367088 (ISIN),"142,427","633,799",0.00%
DIGITAL REALTY TRUST INC COM STK USD0.01,B03GQS4,"3,156","903,810",0.00%
DINO POLSKA SA DNP,BD0YVN2,"257,556","39,255,950",0.05%
DISCO CORP JPY50,6270948,789,"346,537",0.00%
DISCOVER FINANCIAL-W/I COM STK USD0.01,B1YLC43,"2,672","747,533",0.00%
DISCOVERY LTD,6177878,"208,085","3,468,914",0.00%
DISNEY WALT CO COM DISNEY,2270726,"49,596","8,919,476",0.01%
D-MARKET ELECTRONIC SERV-ADR,BLD30P7,"1,260,310","6,167,712",0.01%
DMCI HOLDINGS INC PHP1,6272483,"2,144,165","647,790",0.00%
DMG MORI CO LTD,6602563,"149,299","3,901,811",0.00%
DNB BANK ASA,BNG7113,"12,747","411,322",0.00%
DOCUSIGN INC DOCU,BFYT7B7,"1,879","272,955",0.00%
DOLLAR GENERAL CORP COM USD0.875,B5B1S13,"180,087","22,053,134",0.03%
DOLLAR TREE INC,2272476,"2,077","251,422",0.00%
DOLLARAMA INC COM NPV,B4TP9G2,"2,782","438,231",0.00%
DOMINION ENERGY INC,2542049,"7,997","695,671",0.00%
DOMINO'S PIZZA ENTERPRISES L,B07SFG7,"548,723","16,154,414",0.02%
DOMINOS PIZZA INC COM USD0.01,B01SD70,293,"198,669",0.00%
DONG-E E-JIAO-A,BD5CM61,"275,421","3,800,338",0.00%
DOORDASH INC - A,BN13P03,"3,185","862,922",0.00%
DOVER CORP COM,2278407,"1,526","462,247",0.00%
DOW INC-W/I,BHXCF84,"6,793","440,266",0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071,"406,770","554,980",0.00%
DOWNER EDI LTD,6465573,"32,318,742","169,673,394",0.21%
DR ING HC F PORSCHE AG,BJN59B8,962,"93,975",0.00%
DRAFTKINGS INC-CL A,BLDDH12,"4,137","248,570",0.00%
DROPSUITE LTD,BYV57V1,"1,712,561","7,946,282",0.01%
DSM-FIRMENICH AG,CH1216478797,"1,970","321,921",0.00%
DSV A/S,B1WT5G2,"73,347","25,151,626",0.03%
DTE ENERGY CO COM,2280220,"2,068","403,335",0.00%
DUKE ENERGY CORP COM,B7VD3F2,"7,307","1,271,540",0.00%
DUPONT DE NEMOURS INC,BK0VN47,"4,779","588,511",0.00%
DYNATRACE INC DT,BJV2RD9,"2,248","197,351",0.00%
E.ON SE,4942904,"22,376","420,828",0.00%
EAGERS AUTOMOTIVE LTD,6296201,"2,278,694","26,979,732",0.03%
EAST JAPAN RAILWAY CO,6298542,"8,794","252,587",0.00%
