Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,Units Held,% Ownership,Address,Value (AUD),Weighting
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PHP,,,,,,1218,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,PLN,,,,,,132982,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RON,,,,,,5570,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,RUB,,,,,,93726,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SAR,,,,,,82627,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SEK,,,,,,106521,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,SGD,,,,,,2733053,0.0001
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,THB,,,,,,862,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TRY,,,,,,15144,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,TWD,,,,,,216525,0
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,USD,,,,,,293896978,0.0069
31/12/2024,Care Super,Balanced,Cash,1,JP Morgan Chase & Co,ZAR,,,,,,256731,0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,AUD,,,,,,38983009,0.0009
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,CHF,,,,,,-352808,0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,EUR,,,,,,1356796,0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,GBP,,,,,,-95725,0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,JPY,,,,,,-502274,0
31/12/2024,Care Super,Balanced,Cash,1,Macquarie Bank,USD,,,,,,8957298,0.0002
31/12/2024,Care Super,Balanced,Cash,1,Members Equity Bank,AUD,,,,,,15352942,0.0004
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,AUD,,,,,,58,0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,CAD,,,,,,-194605,0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,EUR,,,,,,546406,0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,GBP,,,,,,-84088,0
31/12/2024,Care Super,Balanced,Cash,1,MSCI Inc,JPY,,,,,,-168,0
