Effective Date,Fund Name,Option Name,Asset Class Name,Int/Ext,Name/Kind of Investment Item,Currency,Stock ID,Listed Country,% Ownership,Units Held,Address,Value (AUD),Weighting (%)
2024-12-31,rest,Balanced Growth,CASH,1,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,,,,-,18.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,MORGAN STANLEY,EUR,,,,,-,15.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,THB,,,,,-,3.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,KRW,,,,,-,2.0,0.0
2024-12-31,rest,Balanced Growth,CASH,1,STATE STREET BANK AND TRUST COMPANY,AUD,,,,,-,-4093977.0,-0.0024
2024-12-31,rest,Balanced Growth,CASH,1,SUB TOTAL,,,,,,,61160174.0,0.0353
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,AUSTRALIA GOVERNMENT BONDS,-,,,,,-,45070226.0,0.026000000000000002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NATIONAL AUSTRALIA BANK LTD.,-,,,,,-,19440969.0,0.011200000000000002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,WESTPAC BANKING CORP.,-,,,,,-,19376883.0,0.011200000000000002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,,,,,-,16593263.0,0.0096
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NEW SOUTH WALES TREASURY CORP.,-,,,,,-,16438089.0,0.0095
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,BENDIGO AND ADELAIDE BANK LTD.,-,,,,,-,14672876.0,0.0085
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,TREASURY CORPORATION OF VICTORIA,-,,,,,-,13336929.0,0.0077
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,BANK OF TOKYO-MITSUBISHI UFJ LTD.,-,,,,,-,11464232.0,0.0066
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,QUEENSLAND TREASURY CORP.,-,,,,,-,10564885.0,0.0060999999999999995
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,OVERSEAS-CHINESE BANKING CORP. LTD.,-,,,,,-,9360861.0,0.0054
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NBN CO. LTD.,-,,,,,-,8939938.0,0.0052
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,COMMONWEALTH BANK OF AUSTRALIA LTD.,-,,,,,-,7735295.0,0.0045000000000000005
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,AIRSERVICES AUSTRALIA,-,,,,,-,6290024.0,0.0036
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,CANADIAN IMPERIAL BANK OF COMMERCE,-,,,,,-,6140182.0,0.0034999999999999996
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,BANK OF CHINA LTD.,-,,,,,-,4885814.0,0.0028000000000000004
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,BANK OF QUEENSLAND LTD.,-,,,,,-,4877540.0,0.0028000000000000004
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,MACQUARIE BANK LTD,-,,,,,-,4333683.0,0.0025
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,ROYAL BANK OF CANADA,-,,,,,-,4330449.0,0.0025
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,SUNCORP-METWAY LTD.,-,,,,,-,4164254.0,0.0024
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,ING BANK AUSTRALIA LTD.,-,,,,,-,3839752.0,0.0022
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,SUMITOMO MITSUI BANKING CORP.,-,,,,,-,3479370.0,0.002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,WESTERN AUSTRALIAN TREASURY CORP.,-,,,,,-,3360456.0,0.0019
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,UBS GROUP AG,-,,,,,-,3323585.0,0.0019
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,-,,,,,-,3235722.0,0.0019
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NORFINA LTD.,-,,,,,-,2801039.0,0.0016
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,UNITED OVERSEAS BANK LTD.,-,,,,,-,2530584.0,0.0015
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,TASMANIAN PUBLIC FINANCE CORP.,-,,,,,-,2311094.0,0.0013
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,MIZUHO BANK LTD.,-,,,,,-,2254307.0,0.0013
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,-,,,,,-,1996610.0,0.0012
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,APOLLO TRUST,-,,,,,-,1575283.0,0.0009
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,-,,,,,-,1503303.0,0.0009
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,IDOL TRUST,-,,,,,-,1168767.0,0.0007000000000000001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,PUMA SERIES 2023-1,-,,,,,-,956130.0,0.0006
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NORTHERN TERRITORY TREASURY CORP.,-,,,,,-,950071.0,0.0005
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,INTER-AMERICAN DEVELOPMENT BANK,-,,,,,-,869256.0,0.0005
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,AUSTRALIAN CAPITAL TERRITORY,-,,,,,-,675133.0,0.0004
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,TORONTO-DOMINION BANK,-,,,,,-,634862.0,0.0004
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,RABOBANK UA/AU,-,,,,,-,616745.0,0.0004
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,LION TRUST,-,,,,,-,487589.0,0.0003
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,LANDWIRTSCHAFTLICHE RENTENBANK,-,,,,,-,399323.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,PROGRESS TRUST,-,,,,,-,387556.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,KREDITANSTALT FUER WIEDERAUFBAU,-,,,,,-,373451.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,INTERNATIONAL FINANCE CORP.,-,,,,,-,369015.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,MEDALLION TRUST,-,,,,,-,361659.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,THE SUPERANNUATION MEMBERS HOME LOAN PROGRAMME,-,,,,,-,354729.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,ASIAN DEVELOPMENT BANK,-,,,,,-,343136.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,KOMMUNALBANKEN AS,-,,,,,-,288109.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,HOUSING AUSTRALIA,-,,,,,-,273807.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,EUROPEAN INVESTMENT BANK,-,,,,,-,261306.0,0.0002
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,WESTPAC SECURITISATION TRUST,-,,,,,-,257569.0,0.0001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,KINGFISHER TRUST,-,,,,,-,254527.0,0.0001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,NATIONAL RMBS TRUST,-,,,,,-,249450.0,0.0001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,REDS TRUST,-,,,,,-,219381.0,0.0001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,TORRENS TRUST,-,,,,,-,186491.0,0.0001
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,CNH INDUSTRIAL CAPITAL AUSTRALIA RECEIVABLES TRUST,-,,,,,-,38288.0,0.0
2024-12-31,rest,Balanced Growth,FIXED INCOME,0,SUB TOTAL,,,,,,,271203847.0,0.1564
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,UBS ASSET MANAGEMENT (AUSTRALIA) LIMITED,-,,,,,-,205345742.0,0.1184
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,BARINGS LLC,-,,,,,-,30866238.0,0.0178
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,"AP KENT MANAGEMENT, LLC",-,,,,,-,19271412.0,0.0111
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,WELLINGTON MANAGEMENT AUSTRALIA PTY LTD,-,,,,,-,13361234.0,0.0077
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,BENTHAM ASSET MANAGEMENT PTY LTD,-,,,,,-,11873853.0,0.0068000000000000005
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,METRICS CREDIT PARTNERS PTY LTD,-,,,,,-,11325661.0,0.006500000000000001
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,HAYFIN MANAGEMENT LIMITED,-,,,,,-,4960033.0,0.0029
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,"BAIN CAPITAL CREDIT, LP",-,,,,,-,2215831.0,0.0013
2024-12-31,rest,Balanced Growth,FIXED INCOME,1,SUB TOTAL,,,,,,,299220004.0,0.1725
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,BHP GROUP LTD.,-,BHP,AU,,529675.0,-,20948607.0,0.0121
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,COMMONWEALTH BANK OF AUSTRALIA LTD.,-,CBA,AU,,120474.0,-,18462615.0,0.0106
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"APPLE, INC.",-,AAPL,US,,39581.0,-,16009349.0,0.0092
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,CSL LTD.,-,CSL,AU,,54439.0,-,15329001.0,0.0088
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NVIDIA CORP.,-,NVDA,US,,65989.0,-,14312758.0,0.0083
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,MICROSOFT CORP.,-,MSFT,US,,20093.0,-,13678604.0,0.0079
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NATIONAL AUSTRALIA BANK LTD.,-,NAB,AU,,311130.0,-,11542941.0,0.0067
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"AMAZON.COM, INC.",-,AMZN,US,,30169.0,-,10690438.0,0.0062
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,MACQUARIE GROUP LTD.,-,MQG,AU,,45598.0,-,10106730.0,0.0058
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ANZ GROUP HOLDINGS LTD.,-,ANZ,AU,,303741.0,-,8668768.0,0.005
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WESTPAC BANKING CORP.,-,WBC,AU,,196756.0,-,6359158.0,0.0037
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"META PLATFORMS, INC.",-,META,US,,6363.0,-,6018071.0,0.0034999999999999996
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"ALPHABET, INC.",-,GOOGL,US,,18925.0,-,5786197.0,0.0033
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,QBE INSURANCE GROUP LTD.,-,QBE,AU,,287465.0,-,5519309.0,0.0032
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,RIO TINTO LTD.,-,RIO,AU,,44464.0,-,5222826.0,0.003
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WESFARMERS LTD.,-,WES,AU,,68509.0,-,4900418.0,0.0028000000000000004
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"TESLA, INC.",-,TSLA,US,,7423.0,-,4841637.0,0.0028000000000000004
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TELSTRA GROUP LTD.,-,TLS,AU,,1160158.0,-,4652234.0,0.0027
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WISETECH GLOBAL LTD.,-,WTC,AU,,36304.0,-,4394931.0,0.0025
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"RESMED, INC.",-,RMD,AU,,117285.0,-,4312531.0,0.0025
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TAIWAN SEMICONDUCTOR MANUFACTURING CO. LTD.,-,2330,TT,,76516.0,-,4052299.0,0.0023
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"BROADCOM, INC.",-,AVGO,US,,10558.0,-,3953347.0,0.0023
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ARISTOCRAT LEISURE LTD.,-,ALL,AU,,57094.0,-,3902911.0,0.0023
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,XERO LTD.,-,XRO,AU,,21389.0,-,3605460.0,0.0021
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,SANTOS LTD.,-,STO,AU,,536569.0,-,3584271.0,0.0021
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ELI LILLY & CO.,-,LLY,US,,2868.0,-,3574457.0,0.0021
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,COLES GROUP LTD.,-,COL,AU,,180909.0,-,3417358.0,0.002
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"ALPHABET, INC.",-,GOOG,US,,11025.0,-,3391269.0,0.002
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"BLOCK, INC.",-,SQ2,AU,,23160.0,-,3265106.0,0.0019
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ALCOA CORP.,-,AAI,AU,,51472.0,-,3053342.0,0.0018
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,NORTHERN STAR RESOURCES LTD.,-,NST,AU,,186953.0,-,2886544.0,0.0017000000000000001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ORICA LTD.,-,ORI,AU,,173326.0,-,2873750.0,0.0017000000000000001
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,INCITEC PIVOT LTD.,-,IPL,AU,,950218.0,-,2784135.0,0.0016
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WOOLWORTHS GROUP LTD.,-,WOW,AU,,87493.0,-,2667684.0,0.0015
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WOODSIDE ENERGY GROUP LTD.,-,WDS,AU,,107907.0,-,2654514.0,0.0015
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,AMCOR PLC,-,AMC,AU,,175328.0,-,2624660.0,0.0015
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,"VISA, INC.",-,V,US,,5134.0,-,2620036.0,0.0015
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,JPMORGAN CHASE & CO.,-,JPM,US,,6495.0,-,2514632.0,0.0015
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TENCENT HOLDINGS LTD.,-,700,HK,,28160.0,-,2441526.0,0.0014000000000000002
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,ORIGIN ENERGY LTD.,-,ORG,AU,,214713.0,-,2340365.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,TRANSURBAN GROUP,-,TCL,AU,,174549.0,-,2337222.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,WORLEY LTD.,-,WOR,AU,,169452.0,-,2321507.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,BANK OF AMERICA CORP.,-,BAC,US,,32532.0,-,2309244.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,BRAMBLES LTD.,-,BXB,AU,,117606.0,-,2262750.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,INSURANCE AUSTRALIA GROUP LTD.,-,IAG,AU,,266265.0,-,2252607.0,0.0013
2024-12-31,rest,Balanced Growth,LISTED EQUITY,1,PRO MEDICUS LTD.,-,PME,AU,,8972.0,-,2244204.0,0.0013
